frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 23754, 4.973, 0.98, 1, -0.022806, 0.081888, -0.996381, -0.109951, 0.070587, -0.991427, -0.067, 0.077, -5.0, 36.0, 383.3, -0.029, 0.048, -0.096
2, 23754, 5.468, 0.98, 1, -0.071246, 0.096397, -0.992790, -0.109533, 0.061161, -0.992100, -0.091, 0.079, -5.3, 37.0, 383.7, -0.011, 0.052, -0.099
3, 23754, 5.557, 0.98, 1, 0.015707, 0.118388, -0.992843, -0.017722, 0.112213, -0.993526, -0.001, 0.116, -4.7, 36.5, 379.7, -0.018, 0.042, -0.093
4, 23754, 5.649, 0.98, 1, 0.026546, 0.116210, -0.992870, -0.029530, 0.110946, -0.993388, -0.002, 0.114, -4.5, 36.9, 379.8, -0.012, 0.043, -0.094
5, 23754, 5.728, 0.98, 1, -0.075597, 0.097116, -0.992398, -0.114501, 0.103446, -0.988023, -0.096, 0.101, -4.7, 37.5, 378.9, -0.005, 0.059, -0.103
6, 23754, 5.831, 0.98, 1, -0.082752, 0.129238, -0.988155, -0.105812, 0.080464, -0.991125, -0.095, 0.106, -4.9, 37.6, 376.6, -0.006, 0.077, -0.107
7, 23754, 5.927, 0.98, 1, -0.076872, 0.102986, -0.991708, -0.118687, 0.066133, -0.990727, -0.098, 0.085, -5.3, 37.5, 379.4, -0.012, 0.078, -0.106
8, 23754, 6.018, 0.98, 1, -0.002674, 0.121261, -0.992617, -0.057793, 0.119492, -0.991152, -0.030, 0.121, -5.9, 37.0, 379.5, -0.023, 0.075, -0.101
9, 23754, 6.109, 0.98, 1, 0.025573, 0.120223, -0.992417, -0.070257, 0.101051, -0.992397, -0.023, 0.111, -6.5, 37.4, 379.5, -0.003, 0.071, -0.104
10, 23754, 6.205, 0.98, 1, 0.036938, 0.134874, -0.990174, -0.070748, 0.095533, -0.992909, -0.017, 0.116, -6.4, 37.3, 380.7, -0.016, 0.067, -0.104
11, 23754, 6.298, 0.98, 1, 0.023833, 0.115438, -0.993029, -0.053516, 0.100823, -0.993464, -0.015, 0.108, -5.6, 37.1, 380.6, -0.019, 0.056, -0.101
12, 23754, 6.392, 0.98, 1, 0.070287, 0.121773, -0.990066, -0.023319, 0.100342, -0.994680, 0.024, 0.111, -5.2, 37.3, 379.6, -0.024, 0.054, -0.099
13, 23754, 6.488, 0.98, 1, 0.020470, 0.106751, -0.994075, -0.070775, 0.097389, -0.992727, -0.025, 0.102, -4.1, 37.7, 380.5, -0.014, 0.046, -0.096
14, 23754, 6.585, 0.98, 1, 0.056143, 0.111625, -0.992163, -0.029824, 0.100912, -0.994448, 0.013, 0.107, -2.3, 38.1, 379.6, -0.013, 0.027, -0.088
15, 23754, 6.668, 0.98, 1, 0.073932, 0.125130, -0.989382, -0.025057, 0.098808, -0.994791, 0.025, 0.112, -2.0, 38.1, 380.1, -0.011, 0.028, -0.089
16, 23754, 6.753, 0.98, 1, -0.049434, 0.104480, -0.993298, -0.127214, 0.119448, -0.984657, -0.089, 0.113, -2.4, 38.2, 379.4, -0.000, 0.032, -0.093
