frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
2, 15243, 31.659, 0.77, 1, 0.095118, 0.037509, -0.994759, 0.145750, 0.095967, -0.984656, 0.121, 0.067, -20.1, 70.1, 384.0, -0.099, -0.118, -0.029
3, 15243, 31.746, 0.98, 1, 0.178228, 0.153463, -0.971948, 0.119178, 0.140324, -0.982907, 0.151, 0.149, -20.0, 73.6, 369.8, -0.002, -0.117, -0.013
4, 15243, 31.846, 0.98, 1, 0.153438, 0.123626, -0.980395, 0.052124, 0.075455, -0.995786, 0.104, 0.100, -20.3, 74.9, 373.2, -0.015, -0.123, -0.017
5, 15243, 31.971, 0.98, 1, 0.150768, 0.106713, -0.982793, 0.025179, 0.067960, -0.997370, 0.089, 0.088, -20.0, 74.6, 371.6, -0.038, -0.117, -0.019
6, 15243, 32.063, 0.98, 1, 0.213596, 0.112402, -0.970434, 0.123708, 0.089546, -0.988270, 0.171, 0.103, -19.9, 74.2, 368.6, -0.047, -0.120, -0.023
7, 15243, 32.157, 0.98, 1, 0.206682, 0.103329, -0.972937, 0.103987, 0.056368, -0.992980, 0.157, 0.081, -20.1, 75.0, 370.9, -0.052, -0.118, -0.027
8, 15243, 32.244, 0.98, 1, 0.248108, 0.092640, -0.964293, 0.162484, 0.084941, -0.983048, 0.208, 0.091, -19.8, 74.5, 370.8, -0.065, -0.126, -0.030
9, 15243, 32.351, 0.98, 1, 0.272245, 0.102900, -0.956710, 0.132273, 0.092565, -0.986882, 0.205, 0.100, -19.2, 73.5, 369.4, -0.080, -0.131, -0.034
10, 15243, 32.449, 0.98, 1, 0.263125, 0.089177, -0.960631, 0.152591, 0.049462, -0.987051, 0.210, 0.071, -19.1, 72.5, 371.2, -0.099, -0.137, -0.038
11, 15243, 32.540, 0.98, 1, 0.198524, 0.060819, -0.978207, 0.064518, 0.071409, -0.995358, 0.133, 0.067, -19.3, 71.1, 377.9, -0.128, -0.137, -0.045
12, 15243, 32.636, 0.98, 1, 0.155387, 0.055790, -0.986277, 0.043422, 0.062141, -0.997122, 0.100, 0.059, -21.5, 68.9, 381.0, -0.155, -0.116, -0.050
13, 15243, 32.748, 0.98, 1, 0.133283, 0.047697, -0.989930, 0.027509, -0.003748, -0.999615, 0.081, 0.022, -26.9, 65.0, 376.6, -0.187, -0.062, -0.054
14, 15243, 32.849, 0.98, 1, 0.130342, 0.070626, -0.988950, 0.037762, 0.038751, -0.998535, 0.084, 0.055, -30.6, 65.3, 373.6, -0.160, -0.054, -0.050
15, 15243, 32.946, 0.98, 1, 0.144730, 0.068569, -0.987092, 0.038567, 0.028640, -0.998846, 0.092, 0.049, -34.3, 65.9, 376.4, -0.159, -0.039, -0.049
16, 15243, 33.043, 0.98, 1, 0.155784, 0.076315, -0.984839, 0.008826, 0.037817, -0.999246, 0.083, 0.057, -35.4, 65.4, 378.4, -0.159, -0.047, -0.049
17, 15243, 33.156, 0.98, 1, 0.143885, 0.065935, -0.987395, 0.044165, 0.024330, -0.998728, 0.094, 0.045, -34.9, 64.8, 380.9, -0.165, -0.051, -0.050
18, 15243, 33.258, 0.98, 1, 0.136716, 0.056911, -0.988974, 0.056409, 0.052311, -0.997036, 0.097, 0.055, -30.8, 63.5, 374.8, -0.169, -0.068, -0.055
19, 15243, 33.362, 0.98, 1, 0.149307, 0.096480, -0.984073, 0.068905, 0.080075, -0.994404, 0.110, 0.089, -26.7, 64.3, 363.6, -0.128, -0.073, -0.040
20, 15243, 33.455, 0.98, 1, 0.221553, 0.111116, -0.968797, 0.087971, 0.090023, -0.992047, 0.157, 0.102, -26.4, 63.5, 357.9, -0.125, -0.078, -0.039
21, 15243, 33.560, 0.98, 1, 0.259352, 0.103711, -0.960198, 0.103525, 0.076666, -0.991668, 0.184, 0.092, -27.7, 63.0, 354.3, -0.127, -0.083, -0.044
22, 15243, 33.684, 0.98, 1, 0.187730, 0.134081, -0.973026, 0.050277, 0.094667, -0.994239, 0.120, 0.116, -29.5, 62.5, 345.6, -0.102, -0.079, -0.046
23, 15243, 33.768, 0.98, 1, 0.182102, 0.109463, -0.977168, 0.088754, 0.061714, -0.994140, 0.137, 0.087, -29.5, 61.1, 343.8, -0.132, -0.076, -0.058
24, 15243, 33.850, 0.98, 1, 0.222438, 0.128912, -0.966387, 0.070175, 0.099974, -0.992512, 0.148, 0.116, -27.7, 61.8, 341.2, -0.113, -0.100, -0.053
25, 15243, 33.949, 0.98, 1, 0.271649, 0.159521, -0.949084, 0.089132, 0.103268, -0.990652, 0.184, 0.135, -25.4, 62.7, 340.9, -0.080, -0.120, -0.047
26, 15243, 34.055, 0.98, 1, 0.208365, 0.133367, -0.968916, 0.065260, 0.089187, -0.993875, 0.139, 0.113, -23.6, 63.0, 339.4, -0.076, -0.126, -0.045
27, 15243, 34.138, 0.98, 1, 0.187463, 0.121883, -0.974681, 0.048371, 0.090561, -0.994716, 0.119, 0.107, -22.8, 64.9, 340.5, -0.066, -0.133, -0.039
28, 15243, 34.240, 0.98, 1, 0.183579, 0.125920, -0.974907, 0.063808, 0.101840, -0.992752, 0.125, 0.115, -23.5, 65.8, 343.1, -0.101, -0.130, -0.043
29, 15243, 34.348, 0.98, 1, 0.221614, 0.152127, -0.963195, 0.100729, 0.115327, -0.988207, 0.164, 0.136, -24.1, 65.3, 340.3, -0.090, -0.136, -0.041
30, 15243, 34.449, 0.98, 1, 0.233666, 0.153381, -0.960143, 0.093478, 0.123964, -0.987874, 0.166, 0.141, -24.3, 65.0, 341.7, -0.111, -0.145, -0.046
31, 15243, 34.553, 0.98, 1, 0.270768, 0.149535, -0.950960, 0.128226, 0.093582, -0.987320, 0.203, 0.125, -24.1, 65.4, 343.5, -0.089, -0.166, -0.041
32, 15243, 34.673, 0.98, 1, 0.268042, 0.130755, -0.954493, 0.119841, 0.087484, -0.988931, 0.197, 0.112, -22.9, 66.0, 347.4, -0.087, -0.189, -0.049
33, 15243, 34.776, 0.98, 1, 0.253669, 0.153381, -0.955053, 0.138075, 0.058577, -0.988688, 0.199, 0.109, -22.1, 66.7, 345.7, -0.067, -0.190, -0.041
34, 15243, 34.880, 0.98, 1, 0.259155, 0.149202, -0.954242, 0.123026, 0.083105, -0.988918, 0.194, 0.119, -21.2, 66.4, 346.3, -0.087, -0.191, -0.040
35, 15243, 34.975, 0.98, 1, 0.238184, 0.149804, -0.959597, 0.125167, 0.083179, -0.988643, 0.184, 0.119, -20.6, 66.7, 346.5, -0.088, -0.185, -0.041
36, 15243, 35.064, 0.98, 1, 0.269323, 0.124603, -0.954955, 0.107932, 0.049318, -0.992934, 0.191, 0.089, -20.9, 66.1, 346.4, -0.101, -0.180, -0.039
37, 15243, 35.162, 0.98, 1, 0.228681, 0.123782, -0.965600, 0.137374, 0.093357, -0.986110, 0.185, 0.111, -21.3, 66.2, 346.3, -0.100, -0.173, -0.039
38, 15243, 35.265, 0.98, 1, 0.208243, 0.090819, -0.973851, 0.054474, 0.102610, -0.993229, 0.133, 0.098, -22.1, 66.4, 350.8, -0.105, -0.177, -0.041
39, 15243, 35.366, 0.98, 1, 0.182108, 0.116033, -0.976408, 0.058513, 0.073150, -0.995603, 0.121, 0.096, -22.6, 66.3, 349.9, -0.104, -0.167, -0.044
40, 15243, 35.470, 0.98, 1, 0.224787, 0.083549, -0.970819, 0.042915, 0.039130, -0.998312, 0.135, 0.062, -23.1, 66.4, 351.9, -0.100, -0.169, -0.044
41, 15243, 35.573, 0.98, 1, 0.219611, 0.117813, -0.968448, 0.084347, 0.116177, -0.989641, 0.154, 0.119, -23.0, 66.2, 349.7, -0.099, -0.165, -0.045
42, 15243, 35.684, 0.98, 1, 0.254621, 0.135000, -0.957571, 0.140060, 0.106386, -0.984411, 0.201, 0.124, -22.9, 65.7, 348.6, -0.110, -0.165, -0.043
43, 15243, 35.779, 0.98, 1, 0.271186, 0.139934, -0.952301, 0.102007, 0.120017, -0.987517, 0.190, 0.133, -23.5, 65.9, 349.2, -0.108, -0.160, -0.043
44, 15243, 35.865, 0.98, 1, 0.203330, 0.100164, -0.973973, 0.085769, 0.046601, -0.995225, 0.146, 0.074, -24.3, 65.9, 350.1, -0.110, -0.155, -0.043
45, 15243, 35.965, 0.98, 1, 0.196100, 0.100872, -0.975382, 0.128475, 0.073120, -0.989013, 0.164, 0.088, -24.5, 65.7, 350.2, -0.113, -0.156, -0.042
46, 15243, 36.069, 0.98, 1, 0.223497, 0.074007, -0.971891, 0.094017, 0.024009, -0.995281, 0.160, 0.050, -24.5, 65.5, 351.5, -0.115, -0.158, -0.042
47, 15243, 36.176, 0.98, 1, 0.197866, 0.086068, -0.976443, 0.074762, 0.067729, -0.994899, 0.137, 0.078, -24.4, 65.2, 351.6, -0.125, -0.152, -0.042
48, 15243, 36.264, 0.98, 1, 0.191980, 0.093364, -0.976948, 0.077666, 0.056443, -0.995380, 0.136, 0.076, -24.2, 65.8, 352.8, -0.121, -0.153, -0.041
49, 15243, 36.348, 0.98, 1, 0.208285, 0.099581, -0.972986, 0.058089, 0.080905, -0.995028, 0.135, 0.091, -23.5, 65.6, 352.6, -0.124, -0.161, -0.038
50, 15243, 36.441, 0.98, 1, 0.187242, 0.102007, -0.977003, 0.052247, 0.059114, -0.996883, 0.121, 0.081, -22.8, 65.6, 352.3, -0.115, -0.161, -0.039
51, 15243, 36.523, 0.98, 1, 0.272643, 0.117210, -0.954949, 0.112978, 0.073030, -0.990910, 0.196, 0.097, -22.2, 65.0, 350.2, -0.121, -0.157, -0.039
52, 15243, 36.608, 0.98, 1, 0.251253, 0.103692, -0.962351, 0.127001, 0.069294, -0.989479, 0.191, 0.088, -22.0, 65.2, 351.6, -0.125, -0.163, -0.038
53, 15243, 36.710, 0.98, 1, 0.245290, 0.105582, -0.963683, 0.127879, 0.085588, -0.988090, 0.189, 0.098, -21.8, 64.6, 350.5, -0.129, -0.161, -0.038
54, 15243, 36.817, 0.98, 1, 0.234509, 0.102218, -0.966725, 0.114501, 0.072916, -0.990744, 0.176, 0.089, -21.9, 64.7, 351.4, -0.130, -0.162, -0.039
55, 15243, 36.921, 0.98, 1, 0.206767, 0.096994, -0.973571, 0.105904, 0.080581, -0.991106, 0.158, 0.090, -22.5, 64.9, 352.2, -0.128, -0.159, -0.040
56, 15243, 37.047, 0.98, 1, 0.180582, 0.106830, -0.977741, 0.085032, 0.092056, -0.992117, 0.134, 0.101, -23.0, 65.2, 352.6, -0.126, -0.161, -0.039
57, 15243, 37.153, 0.98, 1, 0.189579, 0.101740, -0.976580, 0.083682, 0.067622, -0.994195, 0.138, 0.086, -23.4, 64.9, 352.1, -0.128, -0.160, -0.042
58, 15243, 37.255, 0.98, 1, 0.234428, 0.076497, -0.969119, 0.062400, 0.045300, -0.997023, 0.150, 0.062, -23.9, 65.4, 354.0, -0.130, -0.156, -0.043
59, 15243, 37.361, 0.98, 1, 0.199835, 0.119341, -0.972535, 0.084967, 0.075399, -0.993527, 0.144, 0.099, -24.2, 65.3, 353.2, -0.130, -0.153, -0.043
60, 15243, 37.445, 0.98, 1, 0.213914, 0.102497, -0.971460, 0.089806, 0.089162, -0.991960, 0.153, 0.097, -24.2, 65.3, 352.2, -0.127, -0.152, -0.042
61, 15243, 37.533, 0.98, 1, 0.244308, 0.121338, -0.962076, 0.115372, 0.089607, -0.989272, 0.182, 0.108, -23.8, 65.1, 351.2, -0.125, -0.150, -0.042
62, 15243, 37.636, 0.98, 1, 0.253025, 0.123146, -0.959590, 0.118367, 0.068807, -0.990583, 0.188, 0.098, -23.6, 65.2, 351.2, -0.124, -0.151, -0.041
63, 15243, 37.743, 0.98, 1, 0.262979, 0.120370, -0.957263, 0.114077, 0.117924, -0.986448, 0.192, 0.122, -23.6, 65.4, 352.4, -0.121, -0.154, -0.040
64, 15243, 37.826, 0.98, 1, 0.291399, 0.125906, -0.948280, 0.129799, 0.088562, -0.987577, 0.214, 0.110, -23.6, 65.4, 352.5, -0.117, -0.152, -0.042
65, 15243, 37.927, 0.98, 1, 0.285596, 0.141395, -0.947862, 0.152719, 0.087541, -0.984385, 0.223, 0.118, -23.6, 65.4, 352.4, -0.118, -0.151, -0.042
66, 15243, 38.026, 0.98, 1, 0.289708, 0.134394, -0.947633, 0.126971, 0.098049, -0.987049, 0.212, 0.120, -23.6, 65.4, 351.9, -0.118, -0.153, -0.040
67, 15243, 38.131, 0.98, 1, 0.194000, 0.114680, -0.974275, 0.080493, 0.091890, -0.992510, 0.139, 0.105, -23.8, 66.1, 354.5, -0.119, -0.150, -0.041
68, 15243, 38.231, 0.98, 1, 0.216472, 0.115854, -0.969391, 0.033546, 0.080342, -0.996203, 0.127, 0.099, -24.0, 66.7, 357.4, -0.121, -0.156, -0.042
69, 15243, 38.334, 0.98, 1, 0.186712, 0.082976, -0.978904, 0.047450, 0.069521, -0.996451, 0.118, 0.077, -24.1, 66.2, 355.4, -0.121, -0.154, -0.044
