frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 24469, 11.268, 0.98, 1, 0.127193, 0.135092, -0.982635, -0.065403, 0.075804, -0.994976, 0.031, 0.106, -22.8, 18.0, 448.5, 0.002, 0.003, -0.014
2, 24469, 11.682, 0.98, 1, 0.174783, 0.247716, -0.952936, 0.009228, 0.229546, -0.973254, 0.095, 0.243, -15.8, 24.3, 437.8, 0.122, 0.022, 0.022
3, 24469, 11.774, 0.98, 1, 0.176264, 0.245364, -0.953272, -0.006750, 0.209581, -0.977768, 0.088, 0.231, -12.9, 26.0, 437.4, 0.135, -0.002, 0.042
4, 24469, 11.892, 0.98, 1, 0.052968, 0.210561, -0.976145, -0.130466, 0.202109, -0.970634, -0.040, 0.209, -11.6, 25.5, 439.9, 0.122, -0.022, 0.037
5, 24469, 11.988, 0.98, 1, -0.021532, 0.180910, -0.983264, -0.178988, 0.200101, -0.963288, -0.103, 0.193, -12.0, 24.0, 443.0, 0.098, -0.015, 0.030
6, 24469, 12.063, 0.98, 1, -0.010812, 0.197677, -0.980208, -0.185381, 0.178391, -0.966339, -0.100, 0.191, -13.0, 23.1, 442.5, 0.092, -0.002, 0.025
7, 24469, 12.156, 0.98, 1, -0.030869, 0.159839, -0.986660, -0.175450, 0.161755, -0.971109, -0.105, 0.163, -15.5, 21.8, 444.5, 0.084, 0.017, 0.015
8, 24469, 12.252, 0.98, 1, -0.006069, 0.157357, -0.987523, -0.186434, 0.125970, -0.974358, -0.098, 0.143, -19.4, 20.9, 445.6, 0.071, 0.035, 0.003
9, 24469, 12.354, 0.98, 1, 0.008059, 0.178281, -0.983947, -0.187069, 0.147531, -0.971205, -0.091, 0.165, -21.9, 20.1, 445.4, 0.064, 0.049, -0.004
10, 24469, 12.443, 0.98, 1, -0.026487, 0.181482, -0.983037, -0.210255, 0.166483, -0.963367, -0.121, 0.177, -22.7, 19.8, 444.6, 0.057, 0.052, -0.008
11, 24469, 12.542, 0.98, 1, 0.019303, 0.169680, -0.985310, -0.204703, 0.122443, -0.971136, -0.094, 0.148, -23.5, 19.6, 446.9, 0.053, 0.060, -0.011
12, 24469, 12.641, 0.98, 1, -0.015345, 0.170679, -0.985207, -0.209831, 0.154951, -0.965381, -0.115, 0.165, -23.1, 19.4, 447.2, 0.051, 0.055, -0.011
13, 24469, 12.723, 0.98, 1, -0.031486, 0.160755, -0.986492, -0.203435, 0.150599, -0.967437, -0.120, 0.158, -22.5, 18.8, 446.7, 0.048, 0.054, -0.012
14, 24469, 12.807, 0.98, 1, -0.010118, 0.159170, -0.987199, -0.198617, 0.151832, -0.968245, -0.106, 0.158, -21.9, 18.7, 446.6, 0.048, 0.060, -0.010
15, 24469, 12.917, 0.98, 1, -0.028693, 0.175315, -0.984094, -0.196242, 0.157421, -0.967837, -0.115, 0.169, -21.2, 18.7, 446.4, 0.051, 0.056, -0.010
16, 24469, 13.015, 0.98, 1, 0.024901, 0.165796, -0.985846, -0.111159, 0.138741, -0.984070, -0.044, 0.153, -20.2, 18.9, 447.0, 0.054, 0.052, -0.007
17, 24469, 13.108, 0.98, 1, 0.107495, 0.177947, -0.978151, -0.061930, 0.157181, -0.985626, 0.023, 0.169, -20.0, 19.1, 447.8, 0.053, 0.053, -0.006
18, 24469, 13.201, 0.98, 1, 0.126796, 0.211412, -0.969138, -0.011487, 0.169394, -0.985482, 0.059, 0.192, -19.7, 19.2, 448.9, 0.051, 0.051, -0.006
19, 24469, 13.303, 0.98, 1, 0.142149, 0.181559, -0.973052, 0.009959, 0.157560, -0.987459, 0.077, 0.171, -19.6, 19.4, 449.7, 0.047, 0.052, -0.006
20, 24469, 13.404, 0.98, 1, 0.159454, 0.196605, -0.967430, 0.041082, 0.164117, -0.985585, 0.102, 0.183, -19.4, 19.4, 449.4, 0.046, 0.044, -0.004
21, 24469, 13.506, 0.98, 1, 0.109913, 0.201980, -0.973202, -0.003896, 0.174133, -0.984714, 0.054, 0.190, -19.5, 19.6, 450.7, 0.042, 0.043, -0.003
22, 24469, 13.613, 0.98, 1, 0.124117, 0.165917, -0.978298, -0.058032, 0.138889, -0.988606, 0.034, 0.154, -19.7, 19.6, 451.0, 0.049, 0.038, -0.003
23, 24469, 13.727, 0.98, 1, 0.134194, 0.188141, -0.972931, -0.081123, 0.136006, -0.987381, 0.027, 0.164, -19.4, 19.6, 450.9, 0.049, 0.035, -0.001
24, 24469, 13.808, 0.98, 1, 0.094538, 0.169572, -0.980973, -0.069596, 0.125344, -0.989669, 0.013, 0.149, -19.1, 19.5, 449.2, 0.045, 0.030, -0.000
25, 24469, 13.911, 0.98, 1, 0.108408, 0.191494, -0.975488, -0.073330, 0.134595, -0.988184, 0.018, 0.165, -18.9, 19.4, 450.3, 0.041, 0.027, 0.002
26, 24469, 14.018, 0.98, 1, 0.105915, 0.156444, -0.981991, -0.025731, 0.132888, -0.990797, 0.041, 0.146, -18.6, 19.3, 449.2, 0.042, 0.024, 0.001
27, 24469, 14.121, 0.98, 1, 0.132422, 0.158030, -0.978515, -0.032559, 0.153705, -0.987580, 0.051, 0.157, -18.5, 19.3, 451.2, 0.039, 0.022, 0.003
28, 24469, 14.204, 0.98, 1, 0.130680, 0.166580, -0.977330, -0.054483, 0.149655, -0.987236, 0.039, 0.160, -18.2, 19.4, 451.1, 0.042, 0.021, 0.003
29, 24469, 14.295, 0.98, 1, 0.118263, 0.167455, -0.978761, -0.056639, 0.161888, -0.985182, 0.031, 0.166, -18.2, 19.5, 452.4, 0.042, 0.023, 0.003
30, 24469, 14.400, 0.98, 1, 0.096113, 0.164561, -0.981673, -0.044280, 0.137581, -0.989500, 0.026, 0.152, -18.2, 19.5, 450.7, 0.040, 0.024, 0.004
31, 24469, 14.500, 0.98, 1, 0.121466, 0.174357, -0.977162, -0.058716, 0.143505, -0.987906, 0.032, 0.160, -18.2, 19.6, 451.2, 0.043, 0.019, 0.004
32, 24469, 14.620, 0.98, 1, 0.011309, 0.138960, -0.990233, -0.138572, 0.141156, -0.980241, -0.064, 0.141, -18.6, 19.6, 450.0, 0.045, 0.016, 0.001
33, 24469, 14.722, 0.98, 1, -0.012688, 0.139229, -0.990179, -0.118867, 0.100533, -0.987808, -0.066, 0.121, -18.8, 19.6, 448.9, 0.043, 0.012, 0.001
34, 24469, 14.804, 0.98, 1, -0.011751, 0.174688, -0.984554, -0.155545, 0.146917, -0.976842, -0.085, 0.163, -19.0, 19.5, 450.1, 0.040, 0.015, 0.001
35, 24469, 14.908, 0.98, 1, -0.015877, 0.161238, -0.986788, -0.161275, 0.167325, -0.972622, -0.090, 0.166, -19.3, 19.5, 449.9, 0.047, 0.012, 0.001
36, 24469, 15.015, 0.98, 1, 0.024067, 0.151624, -0.988145, -0.161355, 0.122208, -0.979301, -0.070, 0.138, -19.8, 19.3, 450.4, 0.044, 0.016, -0.003
37, 24469, 15.114, 0.98, 1, 0.026960, 0.172009, -0.984726, -0.138627, 0.137964, -0.980688, -0.057, 0.156, -20.0, 19.2, 450.7, 0.041, 0.014, -0.003
38, 24469, 15.215, 0.98, 1, 0.030792, 0.143088, -0.989231, -0.145044, 0.128652, -0.981025, -0.058, 0.137, -20.1, 19.3, 451.3, 0.042, 0.019, -0.005
39, 24469, 15.329, 0.98, 1, 0.022926, 0.128081, -0.991499, -0.140745, 0.149071, -0.978759, -0.060, 0.140, -20.1, 19.2, 450.8, 0.038, 0.017, -0.004
40, 24469, 15.431, 0.98, 1, 0.046201, 0.140776, -0.988963, -0.148197, 0.133235, -0.979942, -0.052, 0.138, -20.3, 19.3, 451.8, 0.036, 0.021, -0.004
41, 24469, 15.531, 0.98, 1, 0.016100, 0.128261, -0.991610, -0.132992, 0.137633, -0.981514, -0.059, 0.134, -20.1, 19.4, 449.7, 0.044, 0.022, -0.005
42, 24469, 15.643, 0.98, 1, 0.033588, 0.155035, -0.987338, -0.164570, 0.146013, -0.975498, -0.067, 0.152, -20.0, 19.4, 450.8, 0.037, 0.023, -0.006
43, 24469, 15.745, 0.98, 1, 0.026699, 0.170419, -0.985010, -0.143572, 0.150545, -0.978122, -0.059, 0.162, -20.0, 19.4, 451.2, 0.038, 0.021, -0.005
44, 24469, 15.849, 0.98, 1, 0.030653, 0.160699, -0.986527, -0.155047, 0.138998, -0.978080, -0.063, 0.151, -20.1, 19.4, 451.2, 0.038, 0.023, -0.005
45, 24469, 15.971, 0.98, 1, 0.045624, 0.142074, -0.988804, -0.149521, 0.138109, -0.979066, -0.053, 0.141, -20.0, 19.4, 450.2, 0.041, 0.021, -0.005
46, 24469, 16.079, 0.98, 1, 0.132182, 0.150088, -0.979797, -0.044380, 0.130198, -0.990494, 0.045, 0.141, -20.0, 19.4, 451.9, 0.039, 0.025, -0.002
47, 24469, 16.183, 0.98, 1, 0.138845, 0.179903, -0.973836, -0.028381, 0.156360, -0.987292, 0.056, 0.170, -19.8, 19.3, 451.2, 0.038, 0.024, -0.002
48, 24469, 16.283, 0.98, 1, 0.173217, 0.183150, -0.967704, 0.021515, 0.168738, -0.985426, 0.099, 0.178, -19.6, 19.4, 450.9, 0.040, 0.021, -0.001
49, 24469, 16.393, 0.98, 1, 0.171118, 0.147609, -0.974130, 0.016476, 0.162153, -0.986628, 0.095, 0.157, -19.5, 19.4, 451.7, 0.038, 0.020, -0.000
50, 24469, 16.494, 0.98, 1, 0.194205, 0.169567, -0.966194, 0.030407, 0.134342, -0.990468, 0.114, 0.154, -19.5, 19.4, 452.1, 0.040, 0.021, 0.001
51, 24469, 16.598, 0.98, 1, 0.181109, 0.187627, -0.965399, 0.009470, 0.132414, -0.991149, 0.097, 0.162, -19.4, 19.2, 450.5, 0.040, 0.017, 0.003
52, 24469, 16.711, 0.98, 1, 0.177081, 0.118246, -0.977067, 0.021707, 0.128790, -0.991434, 0.101, 0.125, -19.5, 19.3, 452.6, 0.039, 0.020, 0.003
