frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 17600, 3.853, 0.98, 1, 0.048677, 0.197083, -0.979178, -0.062701, 0.095277, -0.993474, -0.007, 0.147, -11.8, 54.8, 362.4, -0.041, 0.036, 0.039
2, 17600, 4.428, 0.98, 1, 0.021121, 0.165615, -0.985964, -0.044740, 0.056706, -0.997388, -0.012, 0.112, -9.7, 53.3, 357.3, -0.027, 0.035, 0.051
3, 17600, 4.539, 0.98, 1, 0.041409, 0.162285, -0.985875, -0.073995, 0.078616, -0.994155, -0.016, 0.121, -9.8, 53.1, 356.2, -0.022, 0.031, 0.055
4, 17600, 4.642, 0.98, 1, 0.139844, 0.233180, -0.962326, -0.172259, 0.191839, -0.966191, -0.017, 0.217, -9.8, 55.4, 366.9, 0.004, 0.043, 0.063
5, 17600, 4.750, 0.98, 1, 0.062307, 0.159480, -0.985233, -0.099027, 0.104226, -0.989611, -0.019, 0.133, -10.2, 53.5, 358.3, -0.009, 0.021, 0.053
6, 17600, 4.868, 0.98, 1, -0.002975, 0.202394, -0.979300, -0.025184, 0.040997, -0.998842, -0.014, 0.122, -10.1, 52.5, 355.2, -0.010, 0.013, 0.065
7, 17600, 4.985, 0.98, 1, 0.021993, 0.221219, -0.974976, -0.037522, 0.044333, -0.998312, -0.008, 0.134, -10.4, 51.8, 352.9, -0.001, 0.002, 0.072
8, 17600, 5.093, 0.98, 1, 0.017938, 0.207833, -0.978000, -0.019035, 0.110493, -0.993695, -0.001, 0.160, -11.4, 52.0, 354.1, 0.015, -0.004, 0.070
9, 17600, 5.206, 0.98, 1, 0.024506, 0.234882, -0.971715, -0.067475, 0.106485, -0.992022, -0.022, 0.172, -12.5, 51.9, 354.6, 0.025, 0.001, 0.070
10, 17600, 5.317, 0.98, 1, 0.033101, 0.215409, -0.975963, -0.051693, 0.100689, -0.993574, -0.009, 0.159, -13.1, 52.4, 356.9, 0.039, -0.002, 0.071
11, 17600, 5.453, 0.98, 1, 0.039821, 0.217505, -0.975247, -0.041790, 0.078581, -0.996031, -0.001, 0.149, -12.4, 52.0, 354.2, 0.024, -0.011, 0.080
12, 17600, 5.590, 0.98, 1, 0.055985, 0.191612, -0.979873, 0.015496, 0.069002, -0.997496, 0.036, 0.131, -12.7, 52.3, 358.1, 0.027, -0.009, 0.081
13, 17600, 5.716, 0.98, 1, 0.050354, 0.183816, -0.981670, -0.002414, 0.068260, -0.997665, 0.024, 0.127, -12.7, 51.8, 356.2, 0.019, -0.014, 0.082
14, 17600, 5.842, 0.98, 1, 0.057876, 0.220720, -0.973619, -0.033721, 0.093906, -0.995010, 0.012, 0.158, -12.8, 52.3, 357.9, 0.041, -0.006, 0.081
15, 17600, 5.965, 0.98, 1, 0.069353, 0.205000, -0.976302, -0.033692, 0.099213, -0.994496, 0.018, 0.153, -12.5, 52.0, 355.8, 0.041, -0.014, 0.084
16, 17600, 6.082, 0.98, 1, 0.049995, 0.166237, -0.984818, -0.014750, 0.108620, -0.993974, 0.018, 0.138, -12.9, 52.6, 359.7, 0.054, -0.011, 0.078
17, 17600, 6.199, 0.98, 1, 0.080008, 0.195147, -0.977505, -0.046858, 0.132164, -0.990120, 0.017, 0.165, -12.8, 52.5, 358.5, 0.058, -0.009, 0.076
18, 17600, 6.317, 0.98, 1, 0.083553, 0.175436, -0.980939, -0.051172, 0.099243, -0.993747, 0.016, 0.138, -12.8, 52.1, 356.8, 0.060, -0.006, 0.077
19, 17600, 6.446, 0.98, 1, 0.084248, 0.201153, -0.975930, -0.034535, 0.100401, -0.994347, 0.025, 0.152, -12.5, 52.2, 356.0, 0.059, -0.007, 0.074
20, 17600, 6.584, 0.98, 1, 0.060962, 0.228282, -0.971685, -0.012504, 0.091844, -0.995695, 0.025, 0.161, -12.5, 52.3, 356.6, 0.050, -0.007, 0.079
21, 17600, 6.730, 0.98, 1, 0.051469, 0.215492, -0.975148, -0.017180, 0.096410, -0.995193, 0.017, 0.157, -12.7, 52.3, 355.6, 0.055, -0.011, 0.077
22, 17600, 6.877, 0.98, 1, 0.050354, 0.198417, -0.978823, -0.008501, 0.117584, -0.993027, 0.021, 0.159, -12.8, 52.3, 355.7, 0.053, -0.010, 0.078
23, 17600, 7.009, 0.98, 1, 0.080725, 0.226019, -0.970772, -0.033721, 0.046453, -0.998351, 0.024, 0.137, -12.8, 52.3, 355.7, 0.045, -0.012, 0.077
24, 17600, 7.154, 0.98, 1, 0.041561, 0.238358, -0.970288, -0.020665, 0.090412, -0.995690, 0.011, 0.166, -12.7, 52.4, 356.8, 0.051, -0.014, 0.080
25, 17600, 7.301, 0.98, 1, 0.025201, 0.211133, -0.977132, -0.009677, 0.121104, -0.992593, 0.008, 0.167, -12.7, 52.5, 356.2, 0.046, -0.012, 0.076
26, 17600, 7.448, 0.98, 1, 0.066859, 0.183627, -0.980720, -0.010764, 0.114185, -0.993401, 0.028, 0.150, -12.7, 52.7, 356.6, 0.053, -0.016, 0.076
27, 17600, 7.597, 0.98, 1, 0.037575, 0.222717, -0.974159, -0.001745, 0.107507, -0.994203, 0.018, 0.166, -12.9, 52.6, 355.6, 0.052, -0.013, 0.074
28, 17600, 7.761, 0.98, 1, 0.043496, 0.204264, -0.977949, -0.012513, 0.098623, -0.995046, 0.016, 0.152, -13.2, 52.9, 358.6, 0.061, -0.014, 0.075
29, 17600, 7.906, 0.98, 1, 0.025490, 0.237273, -0.971108, -0.001037, 0.146062, -0.989275, 0.012, 0.193, -12.9, 52.5, 355.6, 0.053, -0.013, 0.078
30, 17600, 8.060, 0.98, 1, 0.029864, 0.223762, -0.974186, 0.007451, 0.116004, -0.993221, 0.019, 0.171, -13.0, 52.4, 354.9, 0.040, -0.015, 0.081
31, 17600, 8.206, 0.98, 1, 0.029574, 0.228329, -0.973135, 0.002637, 0.101932, -0.994788, 0.016, 0.166, -12.6, 52.4, 353.8, 0.039, -0.016, 0.081
32, 17600, 8.341, 0.98, 1, 0.029023, 0.238669, -0.970667, -0.043818, 0.116614, -0.992210, -0.008, 0.179, -12.7, 52.5, 354.6, 0.047, -0.016, 0.078
33, 17600, 8.488, 0.98, 1, 0.038380, 0.218292, -0.975128, -0.051936, 0.161359, -0.985528, -0.007, 0.191, -12.7, 52.9, 357.1, 0.051, -0.008, 0.079
34, 17600, 8.640, 0.98, 1, 0.039315, 0.231620, -0.972011, -0.023652, 0.172918, -0.984652, 0.008, 0.204, -12.5, 53.1, 357.6, 0.051, -0.012, 0.081
35, 17600, 8.788, 0.98, 1, 0.041667, 0.218664, -0.974910, -0.054219, 0.152562, -0.986806, -0.006, 0.187, -11.9, 52.9, 356.2, 0.043, -0.009, 0.082
36, 17600, 8.922, 0.98, 1, 0.037329, 0.222160, -0.974295, -0.030180, 0.140447, -0.989628, 0.004, 0.183, -12.3, 52.9, 357.2, 0.052, -0.016, 0.079
