frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
2, 15572, 8.816, 0.98, 1, 0.234127, -0.006831, -0.972182, 0.142386, 0.047418, -0.988675, 0.190, 0.021, -33.4, 78.5, 403.7, -0.172, -0.165, -0.086
3, 15572, 8.918, 0.98, 1, 0.219332, 0.002540, -0.975647, 0.172599, 0.006748, -0.984969, 0.197, 0.005, -33.2, 78.6, 404.6, -0.171, -0.160, -0.088
4, 15572, 9.004, 0.98, 1, 0.218105, 0.001120, -0.975925, 0.179199, -0.021745, -0.983573, 0.200, -0.011, -33.0, 78.2, 401.2, -0.154, -0.156, -0.089
5, 15572, 9.105, 0.98, 1, 0.216006, -0.007328, -0.976364, 0.110334, -0.019487, -0.993703, 0.164, -0.014, -33.2, 78.1, 404.0, -0.160, -0.156, -0.090
6, 15572, 9.208, 0.98, 1, 0.186997, 0.029331, -0.981922, 0.049436, -0.015481, -0.998657, 0.119, 0.007, -33.5, 76.2, 411.3, -0.198, -0.152, -0.091
7, 15572, 9.304, 0.98, 1, 0.190822, -0.032141, -0.981098, 0.090477, -0.033611, -0.995331, 0.141, -0.033, -32.9, 73.1, 415.6, -0.237, -0.144, -0.096
8, 15572, 9.421, 0.98, 1, 0.249196, -0.021579, -0.968213, 0.134944, -0.024108, -0.990560, 0.194, -0.023, -31.0, 70.6, 419.4, -0.257, -0.139, -0.087
9, 15572, 9.518, 0.98, 1, 0.275424, -0.020196, -0.961111, 0.119530, -0.064777, -0.990715, 0.200, -0.044, -27.9, 68.9, 417.5, -0.255, -0.145, -0.071
10, 15572, 9.615, 0.98, 1, 0.250435, 0.033363, -0.967558, 0.088352, -0.027160, -0.995719, 0.171, 0.003, -27.3, 71.8, 422.0, -0.215, -0.147, -0.055
11, 15572, 9.726, 0.98, 1, 0.262870, 0.057803, -0.963098, 0.133915, 0.004409, -0.990983, 0.200, 0.032, -28.7, 71.6, 424.9, -0.219, -0.145, -0.049
12, 15572, 9.837, 0.98, 1, 0.247472, 0.022529, -0.968633, 0.108507, -0.007762, -0.994065, 0.179, 0.008, -30.8, 69.6, 418.8, -0.223, -0.138, -0.058
13, 15572, 9.925, 0.98, 1, 0.259765, 0.042547, -0.964734, 0.109777, 0.020472, -0.993745, 0.186, 0.032, -30.2, 70.4, 413.1, -0.202, -0.140, -0.057
14, 15572, 10.008, 0.98, 1, 0.283723, 0.103836, -0.953268, -0.057879, 0.130200, -0.989797, 0.116, 0.120, -31.6, 73.5, 402.4, -0.148, -0.126, -0.042
