frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
2, 15432, 14.208, 0.98, 1, 0.218920, -0.047778, -0.974572, 0.021877, -0.070511, -0.997271, 0.122, -0.060, -28.4, 64.8, 475.8, -0.320, -0.085, -0.056
3, 15432, 14.668, 0.98, 1, 0.211118, -0.095458, -0.972788, 0.044363, -0.135890, -0.989730, 0.129, -0.117, -31.2, 64.7, 483.2, -0.388, -0.103, -0.078
4, 15432, 14.763, 0.98, 1, 0.199537, -0.067014, -0.977596, 0.035270, -0.103685, -0.993985, 0.119, -0.086, -30.2, 62.5, 456.8, -0.346, -0.090, -0.084
5, 15432, 14.868, 0.98, 1, 0.199204, -0.046113, -0.978873, 0.066228, -0.068101, -0.995478, 0.134, -0.058, -28.0, 58.8, 434.7, -0.331, -0.070, -0.077
6, 15432, 14.968, 0.98, 1, 0.228005, -0.025085, -0.973337, 0.038802, -0.025876, -0.998912, 0.134, -0.026, -25.5, 57.7, 415.6, -0.291, -0.062, -0.067
7, 15432, 15.064, 0.98, 1, 0.174614, -0.009942, -0.984587, 0.038785, -0.027130, -0.998879, 0.107, -0.019, -25.4, 56.1, 409.2, -0.295, -0.057, -0.060
8, 15432, 15.151, 0.98, 1, 0.138710, 0.011399, -0.990268, 0.005310, -0.018171, -0.999821, 0.072, -0.003, -26.2, 53.7, 401.3, -0.287, -0.045, -0.063
9, 15432, 15.245, 0.98, 1, 0.145291, 0.019193, -0.989203, 0.011150, -0.020931, -0.999719, 0.078, -0.001, -25.3, 53.5, 395.6, -0.271, -0.043, -0.056
10, 15432, 15.343, 0.98, 1, 0.163048, 0.022910, -0.986352, -0.010022, -0.014098, -0.999850, 0.077, 0.004, -24.4, 54.5, 387.9, -0.256, -0.052, -0.054
11, 15432, 15.436, 0.98, 1, 0.145228, 0.034310, -0.988803, -0.005823, 0.029233, -0.999556, 0.070, 0.032, -26.0, 55.3, 378.6, -0.231, -0.039, -0.051
12, 15432, 15.531, 0.98, 1, 0.160158, 0.029521, -0.986650, 0.000094, 0.023312, -0.999728, 0.081, 0.027, -27.0, 56.3, 376.7, -0.221, -0.029, -0.049
13, 15432, 15.639, 0.98, 1, 0.133976, 0.024887, -0.990672, -0.037475, 0.016306, -0.999165, 0.048, 0.021, -27.2, 55.6, 377.9, -0.241, -0.027, -0.053
14, 15432, 15.744, 0.98, 1, 0.161235, 0.034323, -0.986319, -0.035927, 0.010740, -0.999297, 0.063, 0.023, -27.4, 55.9, 376.5, -0.250, -0.023, -0.051
15, 15432, 15.853, 0.98, 1, 0.219983, 0.027962, -0.975103, 0.061836, 0.009803, -0.998038, 0.142, 0.019, -23.0, 57.8, 372.1, -0.227, -0.072, -0.054
16, 15432, 15.958, 0.98, 1, 0.233871, 0.040384, -0.971428, 0.040349, 0.013457, -0.999095, 0.138, 0.027, -19.4, 59.8, 367.9, -0.215, -0.104, -0.060
17, 15432, 16.063, 0.98, 1, 0.253683, 0.042044, -0.966373, 0.067473, -0.014269, -0.997619, 0.162, 0.014, -19.6, 59.8, 368.2, -0.229, -0.105, -0.070
18, 15432, 16.146, 0.98, 1, 0.186725, 0.053137, -0.980974, 0.070704, 0.001247, -0.997497, 0.129, 0.027, -19.7, 60.7, 371.5, -0.231, -0.113, -0.080
19, 15432, 16.249, 0.98, 1, 0.184049, 0.040796, -0.982070, 0.048596, 0.026157, -0.998476, 0.117, 0.034, -20.2, 61.0, 372.0, -0.227, -0.104, -0.082
20, 15432, 16.337, 0.98, 1, 0.175512, 0.035657, -0.983831, 0.038583, 0.018136, -0.999091, 0.108, 0.027, -22.6, 61.0, 371.7, -0.224, -0.079, -0.087
21, 15432, 16.454, 0.98, 1, 0.199699, 0.043944, -0.978871, 0.050954, 0.017024, -0.998556, 0.126, 0.031, -24.9, 62.2, 373.9, -0.217, -0.066, -0.083
22, 15432, 16.555, 0.98, 1, 0.243552, 0.037987, -0.969144, -0.015767, 0.013948, -0.999778, 0.115, 0.026, -25.7, 62.1, 376.5, -0.226, -0.061, -0.083
23, 15432, 16.636, 0.98, 1, 0.191121, 0.063932, -0.979482, 0.015747, 0.015428, -0.999757, 0.104, 0.040, -26.2, 62.2, 374.7, -0.222, -0.062, -0.082
24, 15432, 16.723, 0.98, 1, 0.165545, 0.037778, -0.985478, 0.038037, 0.019872, -0.999079, 0.102, 0.029, -27.6, 62.3, 376.6, -0.218, -0.061, -0.086
25, 15432, 16.828, 0.98, 1, 0.163736, 0.039337, -0.985720, 0.028095, 0.034297, -0.999017, 0.096, 0.037, -27.7, 63.0, 377.2, -0.216, -0.068, -0.086
26, 15432, 16.931, 0.98, 1, 0.174089, 0.064423, -0.982620, -0.000782, 0.018529, -0.999828, 0.087, 0.042, -27.0, 62.4, 375.2, -0.212, -0.070, -0.085
