frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 15008, 43.100, 0.98, 1, 0.215193, 0.076029, -0.973608, 0.034969, 0.045418, -0.998356, 0.126, 0.062, -17.2, 38.2, 387.5, -0.174, -0.095, -0.050
2, 15008, 43.574, 0.98, 1, 0.228831, 0.046544, -0.972353, 0.048734, 0.035265, -0.998189, 0.140, 0.041, -16.3, 37.5, 385.8, -0.192, -0.097, -0.053
3, 15008, 43.672, 0.98, 1, 0.199204, 0.099266, -0.974917, 0.023872, 0.064407, -0.997638, 0.113, 0.083, -17.7, 38.2, 388.2, -0.187, -0.084, -0.057
4, 15008, 43.777, 0.98, 1, 0.156073, 0.076067, -0.984812, 0.007276, 0.065368, -0.997835, 0.082, 0.071, -19.5, 39.0, 388.5, -0.184, -0.073, -0.066
5, 15008, 43.872, 0.98, 1, 0.159094, 0.066194, -0.985042, -0.025061, 0.060926, -0.997828, 0.067, 0.064, -22.6, 39.1, 387.7, -0.185, -0.040, -0.064
6, 15008, 43.990, 0.98, 1, 0.124294, 0.085053, -0.988594, -0.026167, 0.024960, -0.999346, 0.049, 0.055, -25.9, 39.5, 386.8, -0.187, -0.002, -0.058
7, 15008, 44.080, 0.98, 1, 0.150657, 0.073860, -0.985823, -0.025444, 0.045704, -0.998631, 0.063, 0.060, -25.7, 39.6, 386.7, -0.183, -0.012, -0.059
8, 15008, 44.176, 0.98, 1, 0.105392, 0.092190, -0.990148, 0.020096, 0.038535, -0.999055, 0.063, 0.066, -25.6, 40.1, 387.9, -0.181, -0.009, -0.058
9, 15008, 44.262, 0.98, 1, 0.219134, 0.059939, -0.973852, 0.011992, 0.061080, -0.998061, 0.117, 0.061, -25.0, 40.0, 386.2, -0.181, -0.015, -0.056
10, 15008, 44.358, 0.98, 1, 0.225473, 0.074351, -0.971408, 0.018129, 0.053313, -0.998413, 0.123, 0.065, -24.1, 40.2, 386.5, -0.185, -0.025, -0.055
11, 15008, 44.464, 0.98, 1, 0.211387, 0.091761, -0.973085, 0.023992, 0.042266, -0.998818, 0.119, 0.068, -22.9, 40.2, 385.9, -0.183, -0.038, -0.055
12, 15008, 44.571, 0.98, 1, 0.214309, 0.079082, -0.973559, 0.045307, 0.037263, -0.998278, 0.131, 0.059, -22.5, 40.7, 386.9, -0.181, -0.040, -0.055
13, 15008, 44.682, 0.98, 1, 0.242246, 0.084239, -0.966551, 0.046565, 0.057553, -0.997256, 0.146, 0.072, -20.7, 40.8, 386.0, -0.171, -0.066, -0.054
14, 15008, 44.778, 0.98, 1, 0.247796, 0.106888, -0.962898, 0.061836, 0.042059, -0.997200, 0.157, 0.076, -16.5, 41.2, 384.1, -0.164, -0.106, -0.060
15, 15008, 44.875, 0.98, 1, 0.247277, 0.118147, -0.961715, 0.080187, 0.068808, -0.994402, 0.166, 0.095, -14.7, 41.6, 383.2, -0.155, -0.121, -0.056
16, 15008, 44.967, 0.98, 1, 0.223496, 0.110161, -0.968460, 0.057495, 0.065197, -0.996215, 0.142, 0.089, -15.2, 41.9, 383.9, -0.152, -0.117, -0.054
