frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 10721, 12.059, 0.98, 1, 0.164214, 0.100231, -0.981319, 0.007872, 0.085815, -0.996280, 0.087, 0.094, -66.0, 61.3, 496.9, -0.042, -0.091, 0.041
2, 10721, 12.548, 0.98, 1, 0.240497, 0.083316, -0.967068, 0.076447, 0.083831, -0.993543, 0.160, 0.085, -64.0, 62.8, 499.4, -0.036, -0.105, 0.049
3, 10721, 12.653, 0.98, 1, 0.127582, 0.082073, -0.988427, 0.001830, 0.064044, -0.997945, 0.065, 0.073, -62.7, 62.2, 497.2, -0.037, -0.112, 0.048
4, 10721, 12.756, 0.98, 1, 0.159983, 0.089661, -0.983039, -0.029053, 0.059839, -0.997785, 0.066, 0.075, -61.4, 62.1, 498.3, -0.037, -0.113, 0.049
5, 10721, 12.855, 0.98, 1, 0.142409, 0.099039, -0.984841, -0.031705, 0.087252, -0.995682, 0.056, 0.094, -59.7, 61.9, 495.2, -0.026, -0.104, 0.045
6, 10721, 12.948, 0.98, 1, 0.198395, 0.106015, -0.974372, 0.033889, 0.098793, -0.994531, 0.117, 0.104, -57.9, 61.6, 491.7, -0.019, -0.100, 0.042
7, 10721, 13.037, 0.98, 1, 0.148719, 0.090912, -0.984692, -0.013163, 0.076922, -0.996950, 0.068, 0.084, -57.0, 61.4, 495.2, -0.025, -0.098, 0.042
8, 10721, 13.145, 0.98, 1, 0.178523, 0.110309, -0.977733, -0.010332, 0.088170, -0.996052, 0.085, 0.100, -56.3, 60.2, 494.0, -0.031, -0.088, 0.038
9, 10721, 13.253, 0.98, 1, 0.129123, 0.104768, -0.986079, -0.044956, 0.061809, -0.997075, 0.042, 0.084, -56.6, 59.8, 496.1, -0.050, -0.067, 0.034
10, 10721, 13.344, 0.98, 1, 0.157689, 0.071635, -0.984887, -0.040863, 0.053649, -0.997723, 0.059, 0.063, -56.1, 59.6, 494.4, -0.051, -0.064, 0.027
