frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
2, 10597, 14.165, 0.98, 1, 0.138517, 0.064566, -0.988253, -0.045421, 0.059718, -0.997181, 0.047, 0.063, -23.3, 46.9, 480.0, -0.092, -0.067, 0.015
3, 10597, 14.584, 0.98, 1, 0.145869, 0.076616, -0.986333, -0.009203, 0.061017, -0.998094, 0.069, 0.069, -23.0, 48.7, 479.6, -0.061, -0.074, 0.018
4, 10597, 14.683, 0.98, 1, 0.120465, 0.062978, -0.990718, -0.020640, 0.045212, -0.998764, 0.050, 0.054, -23.5, 49.3, 480.0, -0.050, -0.073, 0.019
5, 10597, 14.808, 0.98, 1, 0.089596, 0.068146, -0.993644, -0.063202, 0.079907, -0.994797, 0.013, 0.074, -24.1, 49.5, 479.5, -0.045, -0.075, 0.017
6, 10597, 14.899, 0.98, 1, 0.040309, 0.079248, -0.996040, -0.080258, 0.080793, -0.993494, -0.020, 0.080, -24.5, 49.6, 479.7, -0.049, -0.075, 0.013
7, 10597, 14.993, 0.98, 1, 0.069986, 0.053162, -0.996130, -0.086281, 0.047436, -0.995141, -0.008, 0.050, -25.3, 49.8, 479.8, -0.049, -0.073, 0.015
8, 10597, 15.094, 0.98, 1, 0.091831, 0.059720, -0.993982, -0.056891, 0.064070, -0.996323, 0.018, 0.062, -25.8, 49.6, 479.3, -0.047, -0.075, 0.014
9, 10597, 15.215, 0.98, 1, 0.095246, 0.072806, -0.992788, -0.097269, 0.077771, -0.992215, -0.001, 0.076, -26.4, 49.9, 479.8, -0.049, -0.078, 0.012
10, 10597, 15.317, 0.98, 1, 0.084237, 0.057657, -0.994776, -0.059515, 0.058253, -0.996526, 0.012, 0.058, -27.4, 50.0, 480.4, -0.046, -0.074, 0.012
11, 10597, 15.417, 0.98, 1, 0.110619, 0.086625, -0.990081, -0.046469, 0.053525, -0.997485, 0.032, 0.070, -28.0, 50.3, 482.2, -0.044, -0.075, 0.011
12, 10597, 15.517, 0.98, 1, 0.058291, 0.071087, -0.995765, -0.072521, 0.071620, -0.994792, -0.007, 0.072, -28.9, 50.3, 481.4, -0.047, -0.072, 0.009
13, 10597, 15.606, 0.98, 1, 0.071488, 0.066254, -0.995239, -0.064245, 0.066498, -0.995716, 0.004, 0.067, -29.3, 50.4, 482.0, -0.049, -0.073, 0.008
14, 10597, 15.690, 0.98, 1, 0.106454, 0.070894, -0.991787, -0.067883, 0.079561, -0.994516, 0.019, 0.076, -30.2, 50.4, 482.1, -0.045, -0.078, 0.007
15, 10597, 15.791, 0.98, 1, 0.075572, 0.062973, -0.995150, -0.066437, 0.066208, -0.995592, 0.005, 0.065, -30.7, 50.3, 481.3, -0.050, -0.076, 0.007
16, 10597, 15.911, 0.98, 1, 0.078553, 0.063199, -0.994905, -0.051634, 0.048654, -0.997480, 0.014, 0.056, -31.2, 50.6, 481.4, -0.045, -0.079, 0.007
17, 10597, 16.015, 0.98, 1, 0.197224, 0.085156, -0.976653, 0.032668, 0.069681, -0.997034, 0.116, 0.078, -31.5, 50.9, 482.5, -0.040, -0.077, 0.011
18, 10597, 16.135, 0.98, 1, 0.171711, 0.095870, -0.980471, 0.042422, 0.072461, -0.996469, 0.108, 0.085, -31.5, 51.0, 483.4, -0.041, -0.081, 0.011
19, 10597, 16.237, 0.98, 1, 0.204689, 0.090975, -0.974590, 0.076188, 0.051978, -0.995738, 0.142, 0.072, -31.2, 51.0, 482.5, -0.038, -0.083, 0.015
