frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 15948, 2.782, 0.98, 1, 0.212884, 0.070498, -0.974531, 0.058422, 0.018670, -0.998117, 0.137, 0.045, -36.9, 81.7, 394.8, -0.168, -0.135, -0.069
2, 15948, 3.349, 0.98, 1, 0.275347, -0.057225, -0.959640, 0.137491, -0.065346, -0.988345, 0.209, -0.063, -42.9, 70.6, 483.2, -0.290, -0.195, -0.104
3, 15948, 3.777, 0.98, 1, 0.320238, -0.083552, -0.943645, 0.158536, -0.132305, -0.978449, 0.244, -0.112, -40.9, 71.4, 488.5, -0.343, -0.197, -0.128
4, 15948, 3.893, 0.88, 1, 0.313612, -0.061060, -0.947586, 0.115997, -0.079354, -0.990075, 0.218, -0.072, -35.7, 70.9, 471.7, -0.301, -0.223, -0.122
5, 15948, 3.995, 0.98, 1, 0.260855, -0.041632, -0.964480, 0.097075, -0.068579, -0.992912, 0.181, -0.056, -34.9, 70.0, 465.5, -0.289, -0.194, -0.140
6, 15948, 4.104, 0.98, 1, 0.230224, -0.034011, -0.972543, 0.090143, -0.068215, -0.993590, 0.162, -0.052, -32.8, 71.6, 447.4, -0.268, -0.202, -0.130
7, 15948, 4.207, 0.98, 1, 0.241587, -0.017417, -0.970223, 0.094529, -0.007155, -0.995496, 0.169, -0.012, -31.0, 73.3, 438.9, -0.219, -0.220, -0.122
8, 15948, 4.322, 0.98, 1, 0.209626, 0.029101, -0.977349, 0.091249, 0.032651, -0.995293, 0.151, 0.031, -31.0, 76.0, 437.1, -0.186, -0.206, -0.141
9, 15948, 4.424, 0.98, 1, 0.408981, 0.029313, -0.912072, 0.101146, 0.054998, -0.993350, 0.262, 0.044, -29.4, 78.3, 437.3, -0.172, -0.238, -0.139
10, 15948, 4.535, 0.98, 1, 0.351065, 0.075741, -0.933283, 0.079478, 0.090844, -0.992689, 0.220, 0.086, -28.7, 80.2, 432.6, -0.149, -0.213, -0.163
