frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 17715, 8.372, 0.98, 1, 0.047868, 0.044993, -0.997840, -0.074143, 0.034557, -0.996649, -0.013, 0.040, 2.6, 23.6, 359.1, -0.103, 0.048, 0.049
2, 17715, 8.879, 0.98, 1, 0.033450, 0.107007, -0.993695, -0.088062, 0.140757, -0.986120, -0.028, 0.124, 0.1, 25.7, 361.1, -0.082, 0.060, 0.046
3, 17715, 8.982, 0.98, 1, -0.001001, 0.125132, -0.992140, -0.083761, 0.138838, -0.986766, -0.043, 0.133, -0.8, 26.4, 358.9, -0.078, 0.056, 0.048
4, 17715, 9.093, 0.98, 1, 0.083296, 0.187587, -0.978710, -0.210866, 0.201439, -0.956535, -0.066, 0.198, -1.2, 27.9, 362.5, -0.083, 0.062, 0.053
5, 17715, 9.205, 0.98, 1, 0.021301, 0.117249, -0.992874, -0.130532, 0.126012, -0.983404, -0.055, 0.122, -2.3, 28.1, 357.2, -0.087, 0.049, 0.051
6, 17715, 9.312, 0.98, 1, 0.001440, 0.128442, -0.991716, -0.162142, 0.095954, -0.982091, -0.081, 0.113, -2.8, 28.3, 355.7, -0.092, 0.050, 0.052
7, 17715, 9.428, 0.98, 1, -0.012299, 0.085591, -0.996254, -0.084511, 0.096719, -0.991717, -0.049, 0.091, -3.1, 28.8, 355.3, -0.096, 0.045, 0.051
8, 17715, 9.536, 0.98, 1, 0.007766, 0.110972, -0.993793, -0.110903, 0.116396, -0.986992, -0.052, 0.114, -3.1, 29.6, 356.3, -0.085, 0.032, 0.053
9, 17715, 9.636, 0.98, 1, 0.075833, 0.126030, -0.989124, -0.056303, 0.111726, -0.992143, 0.010, 0.119, -2.8, 30.0, 357.0, -0.091, 0.028, 0.062
10, 17715, 9.751, 0.98, 1, 0.068859, 0.111945, -0.991326, -0.087087, 0.112560, -0.989821, -0.009, 0.113, -3.4, 30.6, 355.9, -0.091, 0.026, 0.063
11, 17715, 9.881, 0.98, 1, 0.070779, 0.121903, -0.990015, -0.039144, 0.138365, -0.989607, 0.016, 0.131, -4.6, 31.3, 357.1, -0.083, 0.012, 0.060
12, 17715, 10.005, 0.98, 1, 0.092390, 0.136319, -0.986347, -0.037771, 0.147560, -0.988332, 0.028, 0.143, -6.0, 32.4, 358.1, -0.065, 0.004, 0.061
13, 17715, 10.118, 0.98, 1, 0.081503, 0.115008, -0.990015, -0.026881, 0.130800, -0.991044, 0.028, 0.123, -7.7, 33.3, 359.5, -0.063, -0.003, 0.069
14, 17715, 10.231, 0.98, 1, 0.092715, 0.105603, -0.990077, -0.056489, 0.132861, -0.989524, 0.018, 0.120, -8.9, 33.7, 359.5, -0.051, -0.014, 0.073
15, 17715, 10.340, 0.98, 1, 0.061564, 0.125911, -0.990129, 0.012693, 0.202228, -0.979256, 0.038, 0.165, -11.1, 34.7, 358.7, -0.040, -0.025, 0.075
16, 17715, 10.457, 0.98, 1, 0.078171, 0.126960, -0.988823, 0.013171, 0.174043, -0.984650, 0.046, 0.151, -12.7, 35.1, 360.6, -0.030, -0.032, 0.076
17, 17715, 10.585, 0.98, 1, 0.121044, 0.160625, -0.979565, -0.005064, 0.176216, -0.984338, 0.059, 0.170, -14.8, 35.5, 364.3, -0.028, -0.030, 0.074
18, 17715, 10.691, 0.98, 1, 0.115102, 0.133569, -0.984333, -0.025100, 0.184419, -0.982527, 0.046, 0.160, -15.5, 35.5, 361.3, -0.021, -0.038, 0.070
19, 17715, 10.805, 0.98, 1, 0.090368, 0.181528, -0.979225, -0.084238, 0.150436, -0.985024, 0.003, 0.167, -16.1, 35.6, 362.1, -0.012, -0.043, 0.072
