frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 23845, 12.853, 0.98, 1, 0.023027, 0.219803, -0.975272, -0.084043, 0.222717, -0.971254, -0.031, 0.224, -13.5, 57.2, 448.1, 0.167, 0.054, -0.066
2, 23845, 13.407, 0.93, 1, -0.065686, 0.141628, -0.987738, -0.182999, 0.128553, -0.974672, -0.126, 0.137, 18.0, 83.2, 491.9, 0.033, 0.151, -0.116
3, 23845, 13.769, 0.98, 1, -0.043741, 0.128483, -0.990747, -0.159478, 0.123418, -0.979456, -0.103, 0.127, 8.2, 82.0, 486.1, -0.003, 0.125, -0.193
4, 23845, 13.890, 0.98, 1, -0.040180, 0.104269, -0.993737, -0.124295, 0.149874, -0.980861, -0.083, 0.128, 7.0, 81.9, 492.1, 0.009, 0.146, -0.223
5, 23845, 13.974, 0.98, 1, -0.025658, 0.143869, -0.989264, -0.094561, 0.115694, -0.988774, -0.061, 0.130, 9.6, 81.5, 494.1, 0.017, 0.139, -0.223
6, 23845, 14.066, 0.98, 1, 0.071214, 0.142135, -0.987282, -0.040474, 0.129150, -0.990799, 0.016, 0.136, 14.1, 82.0, 496.1, 0.013, 0.122, -0.212
7, 23845, 14.194, 0.98, 1, 0.126608, 0.103770, -0.986510, -0.042308, 0.134228, -0.990047, 0.043, 0.120, 19.4, 84.7, 502.6, 0.035, 0.061, -0.199
8, 23845, 14.295, 0.98, 1, 0.066913, 0.121601, -0.990321, -0.037647, 0.150786, -0.987849, 0.015, 0.137, 20.3, 85.8, 503.0, 0.016, 0.040, -0.201
9, 23845, 14.389, 0.98, 1, 0.104782, 0.088317, -0.990566, -0.045368, 0.162166, -0.985720, 0.030, 0.126, 18.4, 87.1, 506.0, 0.002, 0.055, -0.198
10, 23845, 14.515, 0.98, 1, 0.114862, 0.118154, -0.986330, 0.008326, 0.127238, -0.991837, 0.062, 0.123, 16.9, 87.0, 504.9, 0.011, 0.055, -0.206
11, 23845, 14.637, 0.98, 1, 0.120092, 0.120318, -0.985445, 0.015525, 0.127308, -0.991742, 0.068, 0.125, 16.6, 85.1, 499.9, 0.010, 0.050, -0.210
12, 23845, 14.720, 0.98, 1, 0.132853, 0.098537, -0.986225, 0.021659, 0.110865, -0.993599, 0.078, 0.105, 17.6, 83.1, 497.7, 0.004, 0.046, -0.216
13, 23845, 14.820, 0.98, 1, 0.117716, 0.089349, -0.989020, 0.047139, 0.134531, -0.989788, 0.083, 0.113, 18.8, 82.2, 496.4, 0.007, 0.042, -0.214
14, 23845, 14.955, 0.98, 1, 0.099915, 0.097209, -0.990236, 0.016893, 0.131560, -0.991164, 0.059, 0.115, 24.2, 82.2, 498.5, 0.000, 0.011, -0.206
15, 23845, 15.068, 0.98, 1, 0.057819, 0.094664, -0.993829, -0.008953, 0.132842, -0.991097, 0.025, 0.114, 27.5, 82.3, 499.6, -0.012, -0.005, -0.199
16, 23845, 15.200, 0.98, 1, 0.061652, 0.123543, -0.990422, -0.018540, 0.125328, -0.991942, 0.022, 0.125, 28.7, 81.4, 497.9, -0.019, -0.010, -0.197
17, 23845, 15.303, 0.98, 1, 0.084177, 0.098292, -0.991591, -0.017686, 0.134121, -0.990807, 0.034, 0.117, 28.2, 82.0, 497.4, -0.018, -0.007, -0.198
18, 23845, 15.411, 0.98, 1, 0.091377, 0.107169, -0.990033, -0.037181, 0.140078, -0.989442, 0.027, 0.124, 27.5, 81.9, 497.8, -0.021, -0.004, -0.202
19, 23845, 15.504, 0.98, 1, 0.091051, 0.127653, -0.987631, 0.004223, 0.134860, -0.990856, 0.048, 0.132, 27.1, 81.7, 496.1, -0.019, -0.003, -0.203
20, 23845, 15.596, 0.98, 1, 0.049656, 0.123965, -0.991043, -0.038960, 0.130573, -0.990673, 0.005, 0.128, 27.0, 81.6, 495.2, -0.013, -0.007, -0.207
21, 23845, 15.721, 0.98, 1, 0.020664, 0.086500, -0.996038, -0.053448, 0.106820, -0.992841, -0.016, 0.097, 26.4, 82.3, 494.4, -0.014, 0.002, -0.201
22, 23845, 15.823, 0.98, 1, -0.008865, 0.114218, -0.993416, -0.084172, 0.136310, -0.987084, -0.047, 0.126, 25.3, 83.1, 497.6, 0.022, 0.017, -0.197
23, 23845, 15.961, 0.98, 1, -0.016156, 0.115719, -0.993151, -0.083910, 0.176050, -0.980798, -0.051, 0.147, 21.7, 83.6, 496.6, 0.038, 0.065, -0.193
24, 23845, 16.086, 0.98, 1, -0.024557, 0.124279, -0.991943, -0.097439, 0.141537, -0.985126, -0.062, 0.134, 20.3, 83.2, 492.8, 0.022, 0.081, -0.184
25, 23845, 16.215, 0.98, 1, -0.019594, 0.098666, -0.994928, -0.091484, 0.125688, -0.987843, -0.056, 0.113, 19.9, 82.4, 494.6, -0.002, 0.089, -0.175
26, 23845, 16.332, 0.98, 1, -0.005023, 0.108680, -0.994064, -0.094777, 0.152423, -0.983760, -0.050, 0.131, 19.8, 82.4, 498.1, 0.003, 0.089, -0.172
27, 23845, 16.453, 0.98, 1, 0.008936, 0.108965, -0.994005, -0.098569, 0.156957, -0.982674, -0.045, 0.134, 19.9, 83.7, 498.7, 0.022, 0.086, -0.167
28, 23845, 16.554, 0.98, 1, -0.014874, 0.126591, -0.991844, -0.094479, 0.136114, -0.986178, -0.055, 0.132, 18.5, 82.8, 498.6, 0.030, 0.089, -0.163
29, 23845, 16.653, 0.98, 1, 0.002504, 0.134900, -0.990856, -0.109283, 0.155466, -0.981778, -0.054, 0.146, 13.7, 81.2, 494.7, 0.019, 0.122, -0.162
30, 23845, 16.754, 0.98, 1, 0.017621, 0.155917, -0.987613, -0.133462, 0.161763, -0.977763, -0.059, 0.160, 11.6, 84.8, 496.6, 0.019, 0.120, -0.171
31, 23845, 16.855, 0.98, 1, 0.104108, 0.132566, -0.985692, -0.068328, 0.128990, -0.989289, 0.018, 0.132, 13.9, 86.2, 504.0, 0.003, 0.070, -0.175
32, 23845, 16.982, 0.98, 1, 0.088534, 0.166459, -0.982066, -0.043207, 0.192195, -0.980405, 0.023, 0.181, 13.4, 85.1, 501.0, 0.073, 0.050, -0.183
33, 23845, 17.066, 0.98, 1, 0.114524, 0.156461, -0.981022, -0.003863, 0.148681, -0.988878, 0.056, 0.154, 12.6, 84.6, 498.7, 0.063, 0.059, -0.185
34, 23845, 17.165, 0.98, 1, 0.109107, 0.165578, -0.980143, -0.031922, 0.173057, -0.984394, 0.039, 0.171, 12.6, 84.1, 498.4, 0.059, 0.072, -0.183
35, 23845, 17.268, 0.98, 1, 0.083064, 0.153933, -0.984584, -0.054764, 0.184966, -0.981218, 0.014, 0.171, 13.0, 83.2, 498.4, 0.051, 0.075, -0.182
36, 23845, 17.352, 0.98, 1, 0.116344, 0.142541, -0.982927, -0.010822, 0.118226, -0.992928, 0.053, 0.131, 15.6, 80.3, 501.1, 0.024, 0.049, -0.171
37, 23845, 17.450, 0.98, 1, 0.134772, 0.099928, -0.985825, 0.015674, 0.103530, -0.994503, 0.076, 0.102, 19.4, 75.6, 498.7, -0.031, -0.004, -0.149
38, 23845, 17.580, 0.98, 1, 0.132780, 0.085719, -0.987432, -0.026606, 0.066879, -0.997406, 0.053, 0.077, 24.2, 71.1, 498.1, -0.082, -0.060, -0.131
39, 23845, 17.661, 0.98, 1, 0.146948, 0.048519, -0.987954, -0.017808, 0.042113, -0.998954, 0.065, 0.046, 25.9, 70.2, 502.6, -0.097, -0.069, -0.124
40, 23845, 17.761, 0.98, 1, 0.120809, 0.067034, -0.990410, 0.017120, 0.041182, -0.999005, 0.069, 0.054, 26.7, 70.1, 500.9, -0.092, -0.062, -0.121
41, 23845, 17.908, 0.98, 1, 0.122501, 0.066278, -0.990253, -0.027589, 0.039669, -0.998832, 0.048, 0.053, 28.0, 71.5, 501.4, -0.087, -0.046, -0.113
42, 23845, 18.004, 0.98, 1, 0.112662, 0.054450, -0.992140, -0.041772, 0.052723, -0.997735, 0.036, 0.054, 27.8, 71.4, 499.6, -0.096, -0.032, -0.111
43, 23845, 18.106, 0.98, 1, 0.112820, 0.070033, -0.991144, -0.052045, 0.044191, -0.997667, 0.031, 0.057, 26.8, 71.6, 498.9, -0.092, -0.009, -0.112
44, 23845, 18.191, 0.98, 1, 0.105974, 0.068990, -0.991973, -0.063831, 0.067157, -0.995699, 0.021, 0.068, 26.3, 71.0, 500.8, -0.094, -0.007, -0.112
45, 23845, 18.292, 0.98, 1, 0.073469, 0.063330, -0.995285, -0.049010, 0.051477, -0.997471, 0.012, 0.058, 26.0, 69.9, 501.9, -0.097, -0.006, -0.111
