frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 20648, 21.063, 0.98, 1, 0.157178, -0.025232, -0.987248, -0.014677, 0.018015, -0.999730, 0.072, -0.004, -9.0, 56.2, 435.8, -0.152, -0.055, 0.035
2, 20648, 21.909, 0.98, 1, 0.087291, 0.042790, -0.995263, -0.121247, 0.057751, -0.990941, -0.017, 0.051, -14.5, 56.5, 440.5, -0.144, -0.047, 0.009
3, 20648, 21.999, 0.98, 1, 0.113691, 0.027867, -0.993125, -0.126930, 0.035373, -0.991281, -0.007, 0.032, -15.0, 56.6, 443.0, -0.144, -0.035, 0.009
4, 20648, 22.093, 0.98, 1, 0.105415, 0.031090, -0.993942, -0.136998, 0.024043, -0.990279, -0.016, 0.028, -14.6, 56.6, 442.4, -0.140, -0.029, 0.007
5, 20648, 22.226, 0.98, 1, 0.134022, 0.037196, -0.990280, -0.067904, 0.074023, -0.994942, 0.033, 0.056, -14.0, 56.9, 444.3, -0.140, -0.036, 0.014
6, 20648, 22.310, 0.98, 1, 0.146493, -0.002061, -0.989210, -0.076302, 0.046347, -0.996007, 0.035, 0.022, -13.3, 57.4, 443.9, -0.143, -0.048, 0.014
7, 20648, 22.396, 0.98, 1, 0.162970, -0.006617, -0.986609, -0.064680, 0.072498, -0.995269, 0.050, 0.033, -13.2, 56.9, 441.6, -0.142, -0.052, 0.012
8, 20648, 22.479, 0.98, 1, 0.089921, -0.015826, -0.995823, -0.057509, 0.054314, -0.996866, 0.016, 0.019, -13.3, 57.2, 440.7, -0.141, -0.042, 0.013
9, 20648, 22.568, 0.98, 1, 0.109658, -0.016579, -0.993831, -0.085579, 0.057642, -0.994663, 0.012, 0.021, -13.7, 57.5, 443.1, -0.145, -0.042, 0.013
10, 20648, 22.659, 0.98, 1, 0.120608, 0.053862, -0.991238, -0.099932, 0.048284, -0.993822, 0.010, 0.051, -13.9, 57.8, 442.8, -0.141, -0.032, 0.013
11, 20648, 22.739, 0.98, 1, 0.137756, 0.029410, -0.990029, -0.086289, 0.056365, -0.994674, 0.026, 0.043, -13.9, 57.5, 441.0, -0.143, -0.035, 0.012
12, 20648, 22.820, 0.98, 1, 0.138323, 0.046354, -0.989302, -0.047026, 0.053494, -0.997460, 0.046, 0.050, -13.9, 57.7, 441.0, -0.134, -0.040, 0.011
