frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 10842, 10.710, 0.98, 1, 0.094446, 0.138019, -0.985916, -0.091630, 0.084646, -0.992189, 0.001, 0.112, -9.9, 40.2, 460.0, -0.052, 0.030, 0.018
2, 10842, 11.266, 0.98, 1, 0.031324, 0.098968, -0.994597, -0.127021, 0.064901, -0.989775, -0.048, 0.082, -11.0, 41.4, 461.3, -0.030, 0.014, 0.016
3, 10842, 11.370, 0.98, 1, 0.021028, 0.088339, -0.995869, -0.145066, 0.077090, -0.986414, -0.062, 0.083, -10.6, 41.3, 460.5, -0.032, 0.009, 0.017
4, 10842, 11.473, 0.98, 1, 0.019213, 0.086685, -0.996050, -0.124485, 0.063641, -0.990178, -0.053, 0.076, -10.4, 41.3, 460.0, -0.030, 0.009, 0.018
5, 10842, 11.582, 0.98, 1, 0.008660, 0.091674, -0.995751, -0.107815, 0.057770, -0.992491, -0.050, 0.075, -10.2, 41.3, 459.3, -0.025, 0.007, 0.019
6, 10842, 11.666, 0.98, 1, 0.029627, 0.103408, -0.994198, -0.152497, 0.103655, -0.982853, -0.062, 0.104, -10.6, 41.5, 460.4, -0.022, 0.006, 0.020
7, 10842, 11.764, 0.98, 1, 0.033732, 0.110478, -0.993306, -0.137179, 0.067187, -0.988265, -0.052, 0.089, -11.0, 41.7, 460.8, -0.022, 0.007, 0.019
8, 10842, 11.867, 0.98, 1, 0.030529, 0.104669, -0.994038, -0.126962, 0.087512, -0.988040, -0.049, 0.097, -11.3, 41.8, 460.4, -0.025, 0.010, 0.017
9, 10842, 11.976, 0.98, 1, 0.044069, 0.103296, -0.993674, -0.126775, 0.082692, -0.988479, -0.042, 0.094, -11.6, 42.1, 460.9, -0.023, 0.008, 0.018
10, 10842, 12.086, 0.98, 1, 0.015528, 0.094975, -0.995359, -0.105486, 0.090957, -0.990252, -0.045, 0.093, -11.6, 42.0, 460.7, -0.020, 0.009, 0.019
11, 10842, 12.171, 0.98, 1, 0.022742, 0.129013, -0.991382, -0.102646, 0.067463, -0.992428, -0.040, 0.099, -12.1, 41.9, 459.8, -0.020, 0.007, 0.021
12, 10842, 12.273, 0.98, 1, 0.019706, 0.105566, -0.994217, -0.115754, 0.108647, -0.987318, -0.048, 0.108, -12.3, 41.7, 459.7, -0.021, 0.007, 0.021
13, 10842, 12.377, 0.98, 1, 0.037301, 0.117579, -0.992363, -0.141125, 0.101419, -0.984783, -0.052, 0.110, -12.9, 41.6, 459.7, -0.017, 0.008, 0.021
14, 10842, 12.486, 0.98, 1, 0.162490, 0.130245, -0.978076, 0.001709, 0.091354, -0.995817, 0.083, 0.112, -13.0, 41.3, 459.4, -0.011, 0.006, 0.025
