frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 10414, 25.050, 0.98, 1, 0.003400, 0.064589, -0.997906, -0.153409, 0.023411, -0.987885, -0.075, 0.044, 14.6, 45.4, 473.3, -0.064, 0.060, -0.017
2, 10414, 25.535, 0.98, 1, -0.024622, 0.074639, -0.996907, -0.171856, 0.038821, -0.984357, -0.099, 0.057, 14.4, 45.5, 472.6, -0.047, 0.059, -0.018
3, 10414, 25.646, 0.98, 1, -0.018343, 0.070518, -0.997342, -0.203858, 0.071238, -0.976405, -0.112, 0.072, 14.4, 45.8, 473.9, -0.042, 0.062, -0.017
4, 10414, 25.764, 0.98, 1, -0.023457, 0.078435, -0.996643, -0.177873, 0.041815, -0.983165, -0.101, 0.061, 14.4, 45.8, 474.1, -0.045, 0.062, -0.017
5, 10414, 25.863, 0.98, 1, -0.008766, 0.077800, -0.996930, -0.194972, 0.076692, -0.977806, -0.103, 0.078, 14.3, 45.9, 473.8, -0.044, 0.066, -0.016
6, 10414, 25.966, 0.98, 1, -0.022848, 0.077701, -0.996715, -0.173884, 0.048715, -0.983561, -0.099, 0.064, 14.3, 46.0, 473.1, -0.046, 0.062, -0.018
7, 10414, 26.073, 0.98, 1, -0.030284, 0.080572, -0.996289, -0.170239, 0.059840, -0.983584, -0.101, 0.071, 14.3, 46.1, 473.9, -0.046, 0.065, -0.017
8, 10414, 26.174, 0.98, 1, -0.013501, 0.078363, -0.996834, -0.137933, 0.044803, -0.989428, -0.076, 0.062, 14.3, 46.0, 473.5, -0.047, 0.067, -0.019
9, 10414, 26.291, 0.98, 1, -0.016190, 0.071215, -0.997330, -0.155820, 0.039956, -0.986977, -0.086, 0.056, 14.4, 46.0, 474.0, -0.050, 0.070, -0.019
10, 10414, 26.404, 0.98, 1, 0.071280, 0.076858, -0.994491, -0.096281, 0.050778, -0.994058, -0.013, 0.064, 14.4, 46.1, 474.2, -0.050, 0.069, -0.016
11, 10414, 26.511, 0.98, 1, 0.079399, 0.107847, -0.990992, -0.067186, 0.050454, -0.996464, 0.006, 0.079, 14.2, 46.1, 474.2, -0.048, 0.071, -0.015
12, 10414, 26.613, 0.98, 1, 0.097226, 0.103197, -0.989898, -0.039516, 0.064527, -0.997133, 0.029, 0.084, 14.1, 46.1, 474.4, -0.049, 0.073, -0.015
13, 10414, 26.720, 0.98, 1, 0.106959, 0.079305, -0.991096, -0.043787, 0.068033, -0.996722, 0.032, 0.074, 13.9, 46.1, 473.8, -0.047, 0.070, -0.014
14, 10414, 26.813, 0.98, 1, 0.091342, 0.088987, -0.991836, -0.028151, 0.063991, -0.997553, 0.032, 0.077, 14.0, 46.3, 474.2, -0.049, 0.069, -0.013
15, 10414, 26.913, 0.98, 1, 0.118598, 0.077122, -0.989943, -0.058368, 0.062700, -0.996324, 0.030, 0.070, 14.1, 46.4, 475.5, -0.050, 0.068, -0.012
16, 10414, 27.002, 0.98, 1, 0.071843, 0.111254, -0.991192, -0.025712, 0.052552, -0.998287, 0.023, 0.082, 14.1, 46.4, 474.2, -0.043, 0.067, -0.011
