frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 7190, 9.494, 0.93, 1, 0.062477, 0.152115, -0.986386, -0.179758, 0.066165, -0.981483, -0.060, 0.110, -9.0, 43.9, 444.5, -0.127, 0.168, 0.051
2, 7190, 10.355, 0.93, 1, -0.022509, 0.124329, -0.991986, -0.116204, 0.099926, -0.988186, -0.070, 0.113, -3.4, 48.9, 449.5, -0.105, 0.164, 0.076
3, 7190, 10.434, 0.93, 1, 0.020328, 0.118853, -0.992704, -0.141300, 0.066719, -0.987716, -0.061, 0.093, -3.6, 49.7, 446.2, -0.098, 0.165, 0.084
4, 7190, 10.521, 0.93, 1, 0.018433, 0.115370, -0.993151, -0.079309, 0.071750, -0.994265, -0.031, 0.094, -3.4, 50.1, 444.5, -0.091, 0.159, 0.081
5, 7190, 10.613, 0.93, 1, 0.033575, 0.108549, -0.993524, -0.209287, 0.115487, -0.971011, -0.089, 0.114, -3.2, 50.3, 441.0, -0.077, 0.156, 0.074
6, 7190, 10.689, 0.98, 1, -0.013504, 0.154326, -0.987928, -0.223596, 0.143022, -0.964131, -0.121, 0.151, -2.3, 49.8, 438.7, -0.070, 0.133, 0.061
7, 7190, 10.768, 0.93, 1, 0.008818, 0.121467, -0.992556, -0.157678, 0.103877, -0.982012, -0.075, 0.114, -1.2, 48.8, 433.8, -0.079, 0.143, 0.030
8, 7190, 10.847, 0.93, 1, 0.017591, 0.113099, -0.993428, -0.216798, 0.128466, -0.967727, -0.101, 0.123, -2.9, 48.5, 442.8, -0.108, 0.175, 0.058
9, 7190, 10.930, 0.93, 1, 0.013595, 0.097312, -0.995161, -0.096845, 0.085167, -0.991649, -0.042, 0.092, -2.7, 48.9, 447.4, -0.113, 0.176, 0.073
10, 7190, 11.012, 0.93, 1, -0.026541, 0.091328, -0.995467, -0.193835, 0.003324, -0.981028, -0.111, 0.048, -2.1, 48.1, 447.6, -0.125, 0.163, 0.091
11, 7190, 11.092, 0.98, 1, 0.025848, 0.149091, -0.988486, -0.171789, 0.100148, -0.980030, -0.074, 0.126, -0.8, 47.9, 436.1, -0.090, 0.120, 0.088
12, 7190, 11.180, 0.98, 1, -0.028640, 0.156921, -0.987196, -0.142115, 0.081695, -0.986473, -0.086, 0.120, 1.3, 47.4, 431.8, -0.086, 0.124, 0.060
13, 7190, 11.261, 0.98, 1, 0.002412, 0.121659, -0.992569, -0.079970, 0.052068, -0.995436, -0.039, 0.087, 2.6, 46.8, 433.2, -0.095, 0.128, 0.051
14, 7190, 11.340, 0.98, 1, 0.016894, 0.108213, -0.993984, -0.143991, 0.049691, -0.988331, -0.064, 0.079, 2.5, 45.5, 437.3, -0.132, 0.141, 0.052
15, 7190, 11.420, 0.98, 1, 0.012168, 0.121809, -0.992479, -0.113022, 0.070540, -0.991085, -0.051, 0.097, 3.2, 45.9, 433.7, -0.095, 0.133, 0.044
16, 7190, 11.506, 0.98, 1, -0.065351, 0.138030, -0.988270, -0.189928, 0.052781, -0.980378, -0.129, 0.097, 3.4, 46.1, 434.0, -0.091, 0.123, 0.040
17, 7190, 11.590, 0.98, 1, 0.012695, 0.121138, -0.992554, -0.101579, 0.071036, -0.992288, -0.045, 0.097, 2.4, 45.6, 438.8, -0.106, 0.131, 0.041
18, 7190, 11.713, 0.93, 1, -0.007925, 0.108762, -0.994036, -0.139600, 0.075001, -0.987364, -0.074, 0.092, 1.0, 45.8, 441.8, -0.117, 0.153, 0.051
19, 7190, 11.789, 0.98, 1, -0.008620, 0.146925, -0.989110, -0.215082, 0.104311, -0.971009, -0.114, 0.127, 1.0, 46.1, 441.7, -0.090, 0.130, 0.055
