frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 15844, 5.729, 0.98, 1, 0.163028, 0.015068, -0.986506, 0.064088, -0.021663, -0.997709, 0.114, -0.003, -27.6, 73.6, 395.7, -0.224, -0.092, -0.061
2, 15844, 6.181, 0.98, 1, 0.193985, 0.015913, -0.980875, 0.040626, 0.010760, -0.999116, 0.118, 0.013, -26.7, 59.2, 448.7, -0.213, -0.081, -0.034
3, 15844, 6.590, 0.98, 1, 0.247461, -0.008809, -0.968858, -0.013189, 0.042801, -0.998997, 0.118, 0.017, -33.4, 58.3, 442.7, -0.223, -0.025, -0.087
4, 15844, 6.700, 0.98, 1, 0.219267, 0.033013, -0.975106, 0.045447, 0.049071, -0.997761, 0.133, 0.042, -33.6, 57.6, 436.1, -0.201, -0.041, -0.088
5, 15844, 6.796, 0.88, 1, 0.225366, 0.050865, -0.972946, 0.011999, 0.072401, -0.997303, 0.120, 0.062, -33.7, 57.3, 425.8, -0.162, -0.049, -0.080
6, 15844, 6.894, 0.98, 1, 0.210950, 0.111359, -0.971133, 0.020100, 0.103354, -0.994442, 0.117, 0.109, -34.2, 58.8, 421.9, -0.084, -0.079, -0.086
7, 15844, 6.975, 0.88, 1, 0.190098, 0.159848, -0.968665, 0.040741, 0.141860, -0.989048, 0.117, 0.153, -34.2, 59.9, 411.7, -0.027, -0.078, -0.076
8, 15844, 7.071, 0.88, 1, 0.157524, 0.184016, -0.970219, 0.012433, 0.126093, -0.991941, 0.086, 0.157, -34.0, 61.6, 408.8, -0.015, -0.061, -0.069
9, 15844, 7.167, 0.88, 1, 0.188848, 0.153361, -0.969957, 0.015409, 0.107230, -0.994115, 0.104, 0.132, -34.2, 60.6, 407.0, -0.035, -0.051, -0.067
10, 15844, 7.275, 0.88, 1, 0.181972, 0.170753, -0.968364, -0.026403, 0.134714, -0.990533, 0.079, 0.155, -36.3, 59.8, 402.4, -0.037, -0.033, -0.074
11, 15844, 7.379, 0.98, 1, 0.177740, 0.157760, -0.971350, 0.011783, 0.127124, -0.991817, 0.096, 0.144, -36.3, 59.5, 398.8, 0.011, -0.049, -0.073
12, 15844, 7.481, 0.98, 1, 0.233124, 0.208631, -0.949803, 0.046622, 0.139316, -0.989150, 0.143, 0.178, -35.3, 61.6, 403.9, 0.009, -0.083, -0.063
13, 15844, 7.603, 0.93, 1, 0.342261, 0.203272, -0.917354, 0.064026, 0.162508, -0.984628, 0.210, 0.190, -35.2, 62.6, 409.1, 0.016, -0.113, -0.065
14, 15844, 7.699, 0.93, 1, 0.325509, 0.221904, -0.919132, 0.082993, 0.175376, -0.980997, 0.212, 0.206, -35.1, 63.6, 410.0, 0.037, -0.137, -0.076
15, 15844, 7.798, 0.98, 1, 0.345439, 0.254415, -0.903296, 0.017850, 0.278947, -0.960141, 0.193, 0.279, -36.4, 69.0, 425.9, 0.094, -0.141, -0.078
16, 15844, 7.897, 0.93, 1, 0.280232, 0.238376, -0.929864, 0.058643, 0.219982, -0.973740, 0.176, 0.236, -35.7, 68.6, 420.8, 0.105, -0.149, -0.090
17, 15844, 8.006, 0.93, 1, 0.196628, 0.081482, -0.977087, 0.021762, 0.035702, -0.999126, 0.110, 0.059, -32.2, 76.2, 389.5, -0.152, -0.130, -0.070
18, 15844, 8.449, 0.98, 1, 0.280067, 0.071365, -0.957324, 0.060783, 0.035068, -0.997535, 0.173, 0.054, -28.6, 75.3, 385.5, -0.120, -0.125, -0.040
19, 15844, 8.548, 0.98, 1, 0.274621, 0.104478, -0.955860, 0.065926, 0.047485, -0.996694, 0.173, 0.078, -27.7, 75.3, 387.2, -0.115, -0.138, -0.035
20, 15844, 8.666, 0.82, 1, 0.268313, 0.121471, -0.955643, 0.102034, 0.060561, -0.992936, 0.188, 0.093, -23.7, 72.9, 379.8, -0.072, -0.194, -0.020
21, 15844, 8.789, 0.77, 1, 0.169123, 0.126223, -0.977479, 0.000955, 0.055152, -0.998478, 0.086, 0.092, -20.0, 75.7, 393.6, -0.032, -0.162, -0.002
22, 15844, 8.911, 0.98, 1, 0.513097, 0.220952, -0.829405, 0.298167, 0.108325, -0.948347, 0.428, 0.183, -1.4, 78.4, 453.1, 0.054, -0.591, 0.072
23, 15844, 9.448, 0.88, 1, 0.238995, -0.009135, -0.970978, 0.101568, -0.023147, -0.994559, 0.172, -0.016, -29.5, 76.7, 436.5, -0.223, -0.251, -0.096
24, 15844, 9.969, 0.98, 1, 0.240445, -0.004801, -0.970651, 0.129680, -0.050848, -0.990251, 0.187, -0.028, -29.7, 69.2, 411.0, -0.265, -0.157, -0.095
