frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
2, 21993, 10.344, 0.98, 1, 0.097124, 0.149508, -0.983979, 0.007081, 0.083307, -0.996499, 0.053, 0.117, 3.9, 103.2, 554.9, -0.013, -0.024, 0.034
3, 21993, 10.481, 0.98, 1, 0.061922, 0.085974, -0.994371, -0.087378, 0.085192, -0.992526, -0.013, 0.086, 7.3, 99.5, 528.2, -0.062, 0.022, -0.001
4, 21993, 10.582, 0.98, 1, 0.044219, 0.065625, -0.996864, -0.050340, 0.052555, -0.997348, -0.003, 0.059, 6.9, 99.6, 523.0, -0.086, 0.044, -0.017
5, 21993, 10.730, 0.98, 1, 0.051020, 0.076497, -0.995764, -0.033627, 0.096481, -0.994767, 0.009, 0.087, 6.0, 101.5, 520.9, -0.067, 0.048, -0.028
6, 21993, 10.878, 0.98, 1, 0.084809, 0.101604, -0.991203, -0.032562, 0.112931, -0.993069, 0.026, 0.108, 5.7, 101.7, 513.2, -0.026, 0.044, -0.038
7, 21993, 10.979, 0.98, 1, 0.016607, 0.130037, -0.991370, -0.110473, 0.134551, -0.984729, -0.047, 0.133, 4.6, 100.8, 506.3, 0.001, 0.048, -0.055
8, 21993, 11.114, 0.98, 1, -0.002632, 0.119353, -0.992848, -0.109733, 0.121221, -0.986541, -0.057, 0.121, 2.6, 101.2, 505.2, 0.011, 0.080, -0.070
9, 21993, 11.244, 0.98, 1, -0.028237, 0.102738, -0.994308, -0.098806, 0.130909, -0.986458, -0.064, 0.117, 3.5, 102.3, 508.3, -0.004, 0.085, -0.075
10, 21993, 11.345, 0.98, 1, 0.010623, 0.108917, -0.993994, -0.089249, 0.126409, -0.987955, -0.040, 0.118, 4.3, 102.4, 511.7, -0.007, 0.084, -0.074
11, 21993, 11.439, 0.98, 1, -0.005913, 0.088336, -0.996073, -0.071307, 0.116501, -0.990627, -0.039, 0.103, 5.1, 102.5, 516.6, -0.022, 0.081, -0.066
12, 21993, 11.582, 0.98, 1, 0.013177, 0.095556, -0.995337, -0.084470, 0.082811, -0.992979, -0.036, 0.089, 3.8, 101.9, 519.1, -0.035, 0.070, -0.064
13, 21993, 11.689, 0.98, 1, 0.016511, 0.078952, -0.996742, -0.055694, 0.099935, -0.993434, -0.020, 0.090, 2.1, 100.8, 518.5, -0.038, 0.072, -0.066
14, 21993, 11.829, 0.98, 1, 0.051240, 0.090565, -0.994572, -0.047954, 0.111537, -0.992603, 0.002, 0.101, -0.3, 99.9, 515.6, -0.031, 0.084, -0.072
15, 21993, 11.924, 0.98, 1, 0.034788, 0.073833, -0.996664, -0.060626, 0.098341, -0.993304, -0.013, 0.086, -0.3, 100.8, 517.5, -0.029, 0.075, -0.074
16, 21993, 12.036, 0.98, 1, 0.045276, 0.116136, -0.992201, -0.047642, 0.129298, -0.990461, -0.001, 0.123, -0.4, 101.1, 517.4, -0.029, 0.078, -0.076
17, 21993, 12.118, 0.98, 1, 0.042554, 0.074758, -0.996293, -0.051005, 0.097982, -0.993880, -0.004, 0.087, -0.6, 101.8, 518.6, -0.029, 0.080, -0.077
18, 21993, 12.195, 0.98, 1, 0.032374, 0.089598, -0.995452, -0.035411, 0.105665, -0.993771, -0.002, 0.098, -0.7, 101.3, 517.2, -0.033, 0.081, -0.078
19, 21993, 12.318, 0.98, 1, 0.080679, 0.086687, -0.992963, -0.020871, 0.111894, -0.993501, 0.030, 0.100, -0.8, 101.4, 518.0, -0.037, 0.071, -0.075
20, 21993, 12.447, 0.98, 1, 0.101331, 0.081358, -0.991521, 0.016679, 0.095275, -0.995311, 0.059, 0.089, -0.9, 101.2, 516.0, -0.030, 0.061, -0.079
21, 21993, 12.533, 0.98, 1, 0.088518, 0.059067, -0.994322, 0.021003, 0.079490, -0.996614, 0.055, 0.069, -0.5, 101.7, 514.5, -0.030, 0.072, -0.086
22, 21993, 12.645, 0.98, 1, 0.092303, 0.084593, -0.992131, -0.033792, 0.106135, -0.993777, 0.029, 0.096, 3.1, 101.9, 515.5, -0.024, 0.084, -0.083
23, 21993, 12.750, 0.98, 1, 0.078229, 0.087496, -0.993088, -0.036982, 0.087364, -0.995490, 0.021, 0.088, 7.5, 102.8, 519.2, -0.025, 0.071, -0.063
24, 21993, 12.845, 0.98, 1, 0.090554, 0.058357, -0.994180, -0.040569, 0.083774, -0.995659, 0.025, 0.071, 10.5, 103.6, 520.2, -0.030, 0.057, -0.049
