frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 31503, 3.484, 0.98, 1, -0.010545, 0.009007, -0.999904, -0.040927, -0.034877, -0.998553, -0.026, -0.013, -6.9, 53.1, 337.1, -0.145, -0.010, 0.035
2, 31503, 3.913, 0.98, 1, -0.055475, -0.037876, -0.997741, -0.110501, -0.067743, -0.991565, -0.083, -0.053, -7.3, 53.2, 337.3, -0.154, -0.013, 0.042
3, 31503, 4.003, 0.98, 1, -0.093272, -0.021752, -0.995403, -0.129883, -0.078428, -0.988423, -0.112, -0.050, -7.5, 53.3, 337.9, -0.155, -0.016, 0.045
4, 31503, 4.103, 0.98, 1, -0.079686, -0.033909, -0.996243, -0.135767, -0.068212, -0.988390, -0.108, -0.051, -7.6, 53.3, 337.7, -0.160, -0.017, 0.047
5, 31503, 4.199, 0.98, 1, -0.088563, -0.020818, -0.995853, -0.137573, -0.069197, -0.988072, -0.113, -0.045, -7.6, 53.1, 337.4, -0.161, -0.022, 0.051
6, 31503, 4.282, 0.98, 1, -0.101104, -0.039246, -0.994101, -0.127427, -0.072668, -0.989182, -0.115, -0.056, -7.7, 53.4, 338.0, -0.159, -0.019, 0.054
7, 31503, 4.355, 0.98, 1, -0.097889, -0.030413, -0.994733, -0.145097, -0.061310, -0.987516, -0.122, -0.046, -7.7, 53.4, 337.8, -0.156, -0.022, 0.056
8, 31503, 4.458, 0.98, 1, 0.005346, 0.002912, -0.999981, -0.066505, -0.036741, -0.997109, -0.031, -0.017, -7.6, 52.9, 335.6, -0.155, -0.025, 0.060
9, 31503, 4.544, 0.98, 1, -0.001806, -0.008483, -0.999962, -0.040355, -0.042592, -0.998277, -0.021, -0.026, -7.5, 52.9, 335.5, -0.158, -0.026, 0.059
10, 31503, 4.635, 0.98, 1, 0.005651, -0.006313, -0.999964, -0.074284, -0.040166, -0.996428, -0.034, -0.023, -7.5, 52.9, 335.0, -0.153, -0.024, 0.059
11, 31503, 4.724, 0.98, 1, 0.004368, -0.007307, -0.999964, -0.054601, -0.051597, -0.997174, -0.025, -0.029, -7.4, 52.9, 335.1, -0.154, -0.024, 0.059
12, 31503, 4.824, 0.98, 1, 0.061925, 0.011111, -0.998019, -0.031865, -0.032933, -0.998949, 0.015, -0.011, -7.3, 52.9, 335.4, -0.155, -0.023, 0.061
13, 31503, 4.926, 0.98, 1, 0.079206, -0.009041, -0.996817, 0.024904, -0.012517, -0.999611, 0.052, -0.011, -7.3, 53.1, 336.5, -0.160, -0.023, 0.063
14, 31503, 5.006, 0.98, 1, 0.095863, -0.011137, -0.995332, 0.043768, -0.009640, -0.998995, 0.070, -0.010, -7.2, 53.0, 335.7, -0.154, -0.025, 0.063
15, 31503, 5.097, 0.98, 1, 0.124185, -0.015459, -0.992139, 0.060399, -0.031266, -0.997684, 0.092, -0.023, -7.0, 52.9, 335.9, -0.158, -0.024, 0.066
16, 31503, 5.192, 0.98, 1, 0.145774, -0.015731, -0.989193, 0.068746, -0.032307, -0.997111, 0.108, -0.024, -7.1, 52.9, 336.9, -0.159, -0.023, 0.065
17, 31503, 5.271, 0.98, 1, 0.156449, -0.034279, -0.987091, 0.056193, -0.042478, -0.997516, 0.107, -0.039, -7.0, 52.9, 336.7, -0.162, -0.029, 0.066
18, 31503, 5.352, 0.98, 1, 0.170394, -0.027574, -0.984990, 0.081884, -0.019220, -0.996457, 0.127, -0.024, -6.9, 52.8, 336.0, -0.158, -0.026, 0.066
19, 31503, 5.451, 0.98, 1, 0.165814, -0.025297, -0.985833, 0.089356, -0.013478, -0.995908, 0.128, -0.020, -6.8, 52.8, 335.8, -0.158, -0.028, 0.067
20, 31503, 5.540, 0.98, 1, 0.181375, -0.028564, -0.982999, 0.079596, -0.029374, -0.996394, 0.131, -0.029, -6.7, 52.8, 336.0, -0.157, -0.027, 0.067
21, 31503, 5.622, 0.98, 1, 0.162689, -0.024631, -0.986370, 0.075954, -0.019200, -0.996926, 0.120, -0.022, -6.5, 53.0, 336.6, -0.158, -0.029, 0.068
22, 31503, 5.720, 0.98, 1, 0.149136, -0.023089, -0.988547, 0.098941, -0.024938, -0.994781, 0.124, -0.024, -6.4, 53.0, 336.6, -0.157, -0.027, 0.069
23, 31503, 5.808, 0.98, 1, 0.141864, -0.027132, -0.989514, 0.072170, -0.010673, -0.997335, 0.107, -0.019, -6.4, 52.9, 335.7, -0.158, -0.027, 0.067
24, 31503, 5.907, 0.98, 1, 0.136525, -0.020070, -0.990433, 0.074872, -0.011488, -0.997127, 0.106, -0.016, -6.5, 53.0, 336.3, -0.160, -0.026, 0.067
25, 31503, 5.990, 0.98, 1, 0.120383, -0.027896, -0.992335, 0.057316, -0.006852, -0.998333, 0.089, -0.017, -6.6, 53.1, 336.5, -0.163, -0.024, 0.065
26, 31503, 6.091, 0.98, 1, 0.120671, -0.038677, -0.991939, 0.049337, -0.031214, -0.998294, 0.085, -0.035, -6.7, 53.0, 336.4, -0.163, -0.024, 0.065
27, 31503, 6.180, 0.98, 1, 0.126325, -0.032861, -0.991444, 0.075136, 0.000577, -0.997173, 0.101, -0.016, -6.6, 52.9, 336.1, -0.164, -0.026, 0.065
28, 31503, 6.264, 0.98, 1, 0.096130, -0.039540, -0.994583, 0.075731, -0.024920, -0.996817, 0.086, -0.032, -6.5, 52.9, 335.5, -0.162, -0.027, 0.066
29, 31503, 6.343, 0.98, 1, 0.042202, -0.027937, -0.998718, -0.005935, -0.034901, -0.999373, 0.018, -0.031, -6.6, 52.6, 333.5, -0.161, -0.027, 0.065
30, 31503, 6.442, 0.98, 1, 0.020185, -0.016145, -0.999666, -0.057244, -0.043858, -0.997396, -0.019, -0.030, -6.7, 52.7, 333.5, -0.161, -0.028, 0.064
31, 31503, 6.532, 0.98, 1, 0.020083, -0.022513, -0.999545, -0.048797, -0.060669, -0.996964, -0.014, -0.042, -6.6, 53.0, 335.9, -0.167, -0.026, 0.062
32, 31503, 6.612, 0.98, 1, 0.008493, -0.011199, -0.999901, -0.029713, -0.065960, -0.997380, -0.011, -0.039, -6.6, 52.9, 334.5, -0.161, -0.026, 0.062
33, 31503, 6.708, 0.98, 1, 0.024206, -0.010311, -0.999654, -0.023870, -0.057600, -0.998054, 0.000, -0.034, -6.6, 53.0, 334.9, -0.160, -0.028, 0.062
34, 31503, 6.812, 0.98, 1, -0.029032, -0.021960, -0.999337, -0.074102, -0.065694, -0.995085, -0.052, -0.044, -6.9, 53.2, 336.4, -0.163, -0.025, 0.062
35, 31503, 6.899, 0.98, 1, -0.029723, -0.032948, -0.999015, -0.095037, -0.067376, -0.993191, -0.063, -0.050, -7.0, 53.1, 336.7, -0.170, -0.025, 0.062
36, 31503, 7.000, 0.98, 1, -0.047045, -0.038119, -0.998165, -0.098134, -0.082961, -0.991709, -0.073, -0.061, -7.1, 53.1, 336.9, -0.169, -0.026, 0.061
37, 31503, 7.082, 0.98, 1, -0.076085, -0.046995, -0.995993, -0.112616, -0.069630, -0.991196, -0.095, -0.059, -7.2, 53.1, 336.9, -0.165, -0.024, 0.060
38, 31503, 7.182, 0.98, 1, -0.061737, -0.062015, -0.996164, -0.098399, -0.078525, -0.992044, -0.080, -0.071, -7.2, 53.0, 336.7, -0.164, -0.025, 0.060
39, 31503, 7.270, 0.98, 1, -0.035606, -0.044778, -0.998362, -0.102288, -0.089274, -0.990741, -0.069, -0.067, -7.1, 53.1, 336.8, -0.165, -0.026, 0.062
40, 31503, 7.350, 0.98, 1, -0.058499, -0.054090, -0.996821, -0.101127, -0.083855, -0.991333, -0.080, -0.069, -7.1, 53.0, 336.4, -0.165, -0.025, 0.061
41, 31503, 7.448, 0.98, 1, -0.048507, -0.041557, -0.997958, -0.096096, -0.065752, -0.993198, -0.072, -0.054, -7.1, 53.0, 336.4, -0.164, -0.025, 0.061
42, 31503, 7.538, 0.98, 1, -0.060287, -0.051860, -0.996833, -0.095253, -0.080771, -0.992171, -0.078, -0.067, -7.2, 53.3, 337.1, -0.164, -0.024, 0.061
43, 31503, 7.639, 0.98, 1, -0.073818, -0.051881, -0.995921, -0.104956, -0.084276, -0.990900, -0.090, -0.068, -7.2, 53.1, 336.3, -0.161, -0.024, 0.061
44, 31503, 7.721, 0.98, 1, -0.079453, -0.043296, -0.995898, -0.094149, -0.074801, -0.992744, -0.087, -0.059, -7.2, 53.0, 336.4, -0.159, -0.024, 0.061
45, 31503, 7.819, 0.98, 1, -0.020337, -0.022096, -0.999549, -0.073803, -0.041968, -0.996389, -0.047, -0.032, -7.2, 52.9, 334.5, -0.154, -0.026, 0.062
46, 31503, 7.912, 0.98, 1, 0.096993, -0.023512, -0.995007, 0.028141, -0.032014, -0.999091, 0.063, -0.028, -7.0, 53.0, 336.0, -0.153, -0.023, 0.065
47, 31503, 7.991, 0.98, 1, 0.093145, -0.029574, -0.995213, 0.023460, -0.044046, -0.998754, 0.058, -0.037, -6.8, 52.8, 334.9, -0.154, -0.024, 0.065
48, 31503, 8.071, 0.98, 1, 0.152417, -0.039767, -0.987516, 0.101968, -0.036536, -0.994117, 0.128, -0.038, -6.7, 53.0, 335.6, -0.156, -0.024, 0.065
49, 31503, 8.151, 0.98, 1, 0.164625, -0.050156, -0.985080, 0.089003, -0.039835, -0.995234, 0.127, -0.045, -6.6, 53.0, 335.8, -0.157, -0.023, 0.068
50, 31503, 8.239, 0.98, 1, 0.172181, -0.048491, -0.983871, 0.098942, -0.035166, -0.994472, 0.136, -0.042, -6.6, 53.0, 336.1, -0.157, -0.025, 0.067
51, 31503, 8.336, 0.98, 1, 0.171417, -0.043014, -0.984259, 0.103101, -0.037462, -0.993965, 0.138, -0.041, -6.6, 53.0, 336.4, -0.159, -0.024, 0.067
52, 31503, 8.420, 0.98, 1, 0.149452, -0.016302, -0.988635, 0.081569, -0.029115, -0.996242, 0.116, -0.023, -6.6, 53.1, 336.0, -0.157, -0.025, 0.067
53, 31503, 8.520, 0.98, 1, 0.080421, -0.007120, -0.996736, 0.038945, -0.007318, -0.999215, 0.060, -0.007, -6.6, 53.1, 335.0, -0.155, -0.027, 0.067
54, 31503, 8.608, 0.98, 1, 0.127373, 0.024747, -0.991546, 0.065661, 0.057848, -0.996164, 0.097, 0.042, -6.5, 53.5, 336.4, -0.161, -0.027, 0.068
55, 31503, 8.688, 0.98, 1, 0.120396, 0.026014, -0.992385, 0.050200, 0.055075, -0.997220, 0.086, 0.041, -6.5, 53.8, 337.2, -0.161, -0.026, 0.067
56, 31503, 8.768, 0.98, 1, 0.137770, 0.022614, -0.990206, 0.065793, 0.051012, -0.996529, 0.102, 0.037, -6.6, 53.9, 337.4, -0.161, -0.026, 0.067
57, 31503, 8.877, 0.98, 1, 0.117858, 0.014089, -0.992930, 0.062953, 0.036841, -0.997336, 0.091, 0.026, -6.6, 53.7, 337.2, -0.160, -0.026, 0.067
58, 31503, 8.977, 0.98, 1, 0.096319, 0.012609, -0.995271, 0.051166, 0.023593, -0.998411, 0.074, 0.018, -6.6, 53.7, 337.1, -0.157, -0.024, 0.065
59, 31503, 9.061, 0.98, 1, 0.086026, -0.017767, -0.996134, 0.026009, -0.035472, -0.999032, 0.056, -0.027, -6.7, 53.5, 336.3, -0.159, -0.027, 0.065
60, 31503, 9.146, 0.98, 1, 0.082829, -0.018659, -0.996389, 0.034871, -0.019823, -0.999195, 0.059, -0.019, -6.5, 53.3, 335.7, -0.162, -0.029, 0.066
61, 31503, 9.235, 0.98, 1, 0.062358, -0.039102, -0.997288, 0.029915, -0.062273, -0.997611, 0.046, -0.051, -6.5, 53.2, 335.5, -0.160, -0.029, 0.066
62, 31503, 9.335, 0.98, 1, 0.059446, -0.041287, -0.997377, 0.027287, -0.044799, -0.998623, 0.043, -0.043, -6.5, 53.2, 335.5, -0.160, -0.029, 0.067
63, 31503, 9.416, 0.98, 1, 0.098362, -0.048532, -0.993967, 0.039018, -0.056981, -0.997613, 0.069, -0.053, -6.5, 53.2, 335.5, -0.162, -0.027, 0.068
64, 31503, 9.498, 0.98, 1, -0.008106, -0.012950, -0.999883, -0.036424, -0.046089, -0.998273, -0.022, -0.030, -6.6, 53.1, 335.5, -0.160, -0.029, 0.064
65, 31503, 9.585, 0.98, 1, -0.052396, -0.007541, -0.998598, -0.058843, -0.040896, -0.997429, -0.056, -0.024, -6.7, 53.1, 335.3, -0.158, -0.028, 0.065
66, 31503, 9.673, 0.98, 1, 0.072923, -0.028064, -0.996943, 0.013134, -0.030747, -0.999441, 0.043, -0.029, -6.6, 53.1, 335.3, -0.161, -0.028, 0.066
67, 31503, 9.753, 0.98, 1, 0.092819, -0.040134, -0.994874, 0.054718, -0.039024, -0.997739, 0.074, -0.040, -6.5, 52.7, 334.8, -0.164, -0.028, 0.067
68, 31503, 9.832, 0.98, 1, 0.120023, -0.072636, -0.990110, 0.071474, -0.062001, -0.995514, 0.096, -0.068, -6.6, 52.8, 335.3, -0.159, -0.027, 0.067
