frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 22114, 11.864, 0.98, 1, 0.066001, 0.110726, -0.991657, -0.076300, 0.127776, -0.988864, -0.005, 0.120, -1.0, 88.3, 500.0, -0.024, 0.082, -0.042
2, 22114, 12.349, 0.98, 1, -0.002940, 0.097171, -0.995263, -0.113407, 0.101539, -0.988346, -0.059, 0.100, 0.5, 87.2, 495.9, -0.042, 0.080, -0.043
3, 22114, 12.445, 0.98, 1, -0.005372, 0.101875, -0.994783, -0.112513, 0.092041, -0.989378, -0.059, 0.097, -0.2, 87.2, 495.2, -0.041, 0.090, -0.051
4, 22114, 12.597, 0.98, 1, 0.008648, 0.079250, -0.996817, -0.110782, 0.093929, -0.989396, -0.051, 0.087, -1.0, 87.2, 493.7, -0.044, 0.094, -0.068
5, 22114, 12.699, 0.98, 1, 0.009730, 0.103719, -0.994559, -0.116654, 0.106836, -0.987410, -0.054, 0.106, -1.1, 86.1, 492.0, -0.049, 0.107, -0.074
6, 22114, 12.827, 0.98, 1, 0.002647, 0.115974, -0.993249, -0.103315, 0.136134, -0.985289, -0.051, 0.127, 0.6, 89.3, 494.2, -0.013, 0.112, -0.080
7, 22114, 12.976, 0.98, 1, -0.007213, 0.086371, -0.996237, -0.112873, 0.115205, -0.986908, -0.060, 0.101, 1.0, 90.0, 496.8, -0.022, 0.105, -0.071
8, 22114, 13.084, 0.98, 1, -0.005264, 0.096693, -0.995300, -0.117638, 0.095650, -0.988439, -0.062, 0.097, -0.8, 88.5, 495.4, -0.041, 0.123, -0.069
9, 22114, 13.215, 0.98, 1, -0.022082, 0.102676, -0.994470, -0.105080, 0.098071, -0.989616, -0.064, 0.101, -3.1, 87.7, 494.6, -0.034, 0.122, -0.075
10, 22114, 13.330, 0.98, 1, -0.004190, 0.104050, -0.994563, -0.086123, 0.114421, -0.989692, -0.045, 0.110, -3.7, 87.4, 493.1, -0.039, 0.119, -0.075
11, 22114, 13.453, 0.98, 1, -0.002737, 0.102353, -0.994744, -0.114536, 0.101245, -0.988246, -0.059, 0.102, -3.8, 87.0, 493.3, -0.038, 0.112, -0.078
12, 22114, 13.559, 0.98, 1, -0.023085, 0.094575, -0.995250, -0.085889, 0.103053, -0.990961, -0.055, 0.099, -3.5, 87.0, 493.6, -0.042, 0.112, -0.080
13, 22114, 13.670, 0.98, 1, 0.067811, 0.067631, -0.995403, -0.035015, 0.088551, -0.995456, 0.016, 0.078, -2.4, 87.6, 494.5, -0.035, 0.111, -0.074
14, 22114, 13.776, 0.98, 1, 0.072220, 0.096160, -0.992742, -0.027904, 0.102107, -0.994382, 0.022, 0.099, -1.7, 87.0, 493.8, -0.042, 0.104, -0.071
15, 22114, 13.875, 0.98, 1, 0.080798, 0.075172, -0.993892, -0.020922, 0.079330, -0.996629, 0.030, 0.077, -1.8, 87.3, 495.5, -0.040, 0.104, -0.070
