frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 20808, 9.552, 0.98, 1, 0.153880, -0.005179, -0.988076, -0.103706, -0.024968, -0.994295, 0.025, -0.015, -9.4, 50.1, 445.3, -0.114, -0.053, 0.015
2, 20808, 10.369, 0.98, 1, 0.132351, 0.045410, -0.990162, -0.107287, 0.047479, -0.993094, 0.013, 0.047, -12.2, 52.5, 444.0, -0.099, -0.049, 0.004
3, 20808, 10.456, 0.98, 1, 0.057552, 0.047357, -0.997219, -0.083985, 0.089328, -0.992455, -0.013, 0.069, -12.1, 52.3, 444.6, -0.108, -0.044, 0.002
4, 20808, 10.542, 0.98, 1, 0.070850, 0.037549, -0.996780, -0.090497, 0.073308, -0.993195, -0.010, 0.056, -11.9, 52.4, 444.3, -0.114, -0.049, 0.002
5, 20808, 10.624, 0.98, 1, 0.168939, 0.050186, -0.984348, -0.098725, 0.039167, -0.994344, 0.035, 0.045, -11.9, 52.4, 444.9, -0.114, -0.054, 0.002
6, 20808, 10.703, 0.98, 1, 0.097685, 0.027194, -0.994846, -0.091211, 0.094658, -0.991323, 0.003, 0.061, -12.0, 52.6, 444.5, -0.113, -0.048, 0.006
7, 20808, 10.806, 0.98, 1, 0.071821, 0.032252, -0.996896, -0.158706, 0.070823, -0.984782, -0.044, 0.052, -12.3, 52.3, 444.1, -0.116, -0.052, 0.003
8, 20808, 10.892, 0.98, 1, 0.080193, 0.021972, -0.996537, -0.131027, 0.081489, -0.988024, -0.026, 0.052, -12.5, 52.8, 444.9, -0.103, -0.047, 0.001
9, 20808, 10.977, 0.98, 1, 0.146719, 0.051325, -0.987846, -0.098129, 0.067046, -0.992913, 0.025, 0.060, -12.2, 52.0, 441.1, -0.118, -0.028, -0.008
10, 20808, 11.137, 0.98, 1, 0.150264, 0.064277, -0.986554, -0.063838, 0.083531, -0.994458, 0.044, 0.074, -12.4, 52.7, 443.3, -0.112, -0.039, -0.009
11, 20808, 11.232, 0.98, 1, 0.190684, -0.015396, -0.981531, -0.099512, 0.041621, -0.994165, 0.046, 0.013, -12.5, 53.6, 445.9, -0.107, -0.045, -0.002
12, 20808, 11.312, 0.98, 1, 0.147693, 0.043058, -0.988096, -0.052088, 0.077755, -0.995611, 0.048, 0.061, -12.4, 53.3, 443.2, -0.110, -0.051, 0.000
13, 20808, 11.392, 0.98, 1, 0.196633, 0.049734, -0.979215, -0.008482, 0.097739, -0.995176, 0.095, 0.075, -12.4, 53.6, 444.5, -0.108, -0.047, 0.003
14, 20808, 11.472, 0.98, 1, 0.217074, 0.048255, -0.974962, -0.051940, 0.094501, -0.994169, 0.084, 0.072, -12.3, 53.9, 445.8, -0.105, -0.051, 0.004
15, 20808, 11.556, 0.98, 1, 0.209866, 0.035652, -0.977080, 0.010423, 0.059561, -0.998170, 0.111, 0.048, -11.9, 53.3, 441.1, -0.108, -0.055, 0.003
16, 20808, 11.647, 0.98, 1, 0.230541, 0.050198, -0.971767, 0.014857, 0.059323, -0.998128, 0.124, 0.056, -11.8, 53.7, 442.9, -0.104, -0.052, 0.005
17, 20808, 11.728, 0.98, 1, 0.163336, 0.002067, -0.986568, 0.025257, -0.017607, -0.999526, 0.095, -0.008, -10.8, 53.9, 443.4, -0.104, -0.061, 0.008
18, 20808, 11.811, 0.98, 1, 0.185314, 0.059018, -0.980905, 0.008025, 0.075654, -0.997102, 0.097, 0.068, -10.4, 53.6, 439.2, -0.098, -0.062, 0.012
19, 20808, 11.900, 0.98, 1, 0.219721, 0.069904, -0.973055, 0.048664, 0.089642, -0.994784, 0.136, 0.081, -10.1, 53.8, 440.6, -0.098, -0.065, 0.011
20, 20808, 11.979, 0.98, 1, 0.199574, 0.036895, -0.979188, -0.014957, 0.056815, -0.998273, 0.093, 0.047, -10.1, 54.4, 445.8, -0.100, -0.067, 0.014
21, 20808, 12.063, 0.98, 1, 0.207926, 0.022252, -0.977891, -0.057047, 0.090885, -0.994226, 0.076, 0.057, -9.5, 54.3, 443.8, -0.106, -0.075, 0.019
22, 20808, 12.145, 0.98, 1, 0.252742, 0.050667, -0.966206, -0.002207, 0.066947, -0.997754, 0.127, 0.060, -9.3, 54.5, 444.5, -0.104, -0.071, 0.019
23, 20808, 12.236, 0.98, 1, 0.243742, 0.058283, -0.968087, -0.010511, 0.032921, -0.999403, 0.118, 0.046, -8.9, 54.4, 441.9, -0.101, -0.069, 0.023
24, 20808, 12.323, 0.98, 1, 0.239657, 0.041100, -0.969987, -0.029357, 0.080192, -0.996347, 0.107, 0.062, -8.5, 54.5, 443.6, -0.106, -0.079, 0.023
25, 20808, 12.413, 0.98, 1, 0.173396, 0.053551, -0.983395, -0.008752, 0.074976, -0.997147, 0.083, 0.065, -8.3, 54.4, 442.6, -0.109, -0.074, 0.024
26, 20808, 12.500, 0.98, 1, 0.218414, 0.053582, -0.974384, -0.003115, 0.071435, -0.997440, 0.109, 0.063, -8.2, 54.6, 442.9, -0.106, -0.078, 0.026
27, 20808, 12.599, 0.98, 1, 0.218196, 0.055943, -0.974300, 0.002671, 0.040610, -0.999171, 0.111, 0.049, -7.9, 54.9, 444.9, -0.109, -0.079, 0.027
28, 20808, 12.681, 0.98, 1, 0.238475, 0.056819, -0.969485, 0.000874, 0.090354, -0.995909, 0.121, 0.075, -7.6, 54.8, 441.7, -0.104, -0.077, 0.028
29, 20808, 12.762, 0.98, 1, 0.241370, 0.067148, -0.968107, -0.046173, 0.046710, -0.997841, 0.099, 0.058, -7.5, 54.9, 441.7, -0.097, -0.076, 0.027
30, 20808, 12.851, 0.98, 1, 0.163256, 0.090804, -0.982396, -0.006611, 0.085073, -0.996353, 0.079, 0.089, -7.2, 54.7, 441.4, -0.092, -0.080, 0.028
31, 20808, 12.946, 0.98, 1, 0.133634, 0.041121, -0.990177, -0.071932, 0.070135, -0.994941, 0.031, 0.056, -7.2, 54.8, 441.3, -0.094, -0.085, 0.025
32, 20808, 13.029, 0.98, 1, 0.118755, 0.100158, -0.987859, -0.111090, 0.018673, -0.993635, 0.004, 0.060, -6.9, 54.6, 440.9, -0.092, -0.078, 0.026
33, 20808, 13.179, 0.98, 1, 0.126806, 0.052194, -0.990553, -0.078410, 0.018874, -0.996743, 0.024, 0.036, -6.9, 54.9, 442.1, -0.092, -0.082, 0.029
34, 20808, 13.270, 0.98, 1, 0.179689, 0.040671, -0.982882, -0.075552, 0.045994, -0.996081, 0.053, 0.044, -6.3, 54.8, 439.6, -0.091, -0.085, 0.028
35, 20808, 13.352, 0.98, 1, 0.163841, 0.022243, -0.986236, -0.103397, 0.052963, -0.993229, 0.031, 0.038, -6.3, 55.2, 443.1, -0.098, -0.085, 0.028
36, 20808, 13.446, 0.98, 1, 0.068428, 0.055996, -0.996083, -0.118007, 0.059620, -0.991221, -0.025, 0.058, -6.2, 55.3, 442.4, -0.101, -0.082, 0.024
37, 20808, 13.538, 0.98, 1, 0.039779, 0.068175, -0.996880, -0.124522, 0.039278, -0.991439, -0.043, 0.054, -6.3, 55.5, 443.7, -0.104, -0.082, 0.022
38, 20808, 13.631, 0.98, 1, 0.097235, 0.072123, -0.992645, -0.136379, 0.063455, -0.988622, -0.020, 0.068, -6.1, 55.5, 442.8, -0.104, -0.076, 0.022
39, 20808, 13.720, 0.98, 1, 0.076862, 0.061176, -0.995163, -0.107070, 0.106707, -0.988509, -0.015, 0.084, -6.2, 55.3, 442.8, -0.099, -0.072, 0.022
40, 20808, 13.814, 0.98, 1, 0.112316, 0.072026, -0.991059, -0.112638, 0.085022, -0.989992, -0.000, 0.079, -6.3, 55.5, 443.6, -0.102, -0.075, 0.022
41, 20808, 13.903, 0.98, 1, 0.127454, 0.028568, -0.991433, -0.111247, 0.088875, -0.989811, 0.008, 0.059, -6.4, 55.6, 444.6, -0.103, -0.076, 0.022
42, 20808, 13.996, 0.98, 1, 0.146597, 0.056638, -0.987574, -0.096236, 0.089416, -0.991334, 0.025, 0.074, -6.7, 55.6, 443.9, -0.098, -0.070, 0.024
43, 20808, 14.083, 0.98, 1, 0.121759, 0.071319, -0.989994, -0.009401, 0.081145, -0.996658, 0.056, 0.077, -6.3, 55.3, 440.7, -0.105, -0.082, 0.022
44, 20808, 14.170, 0.98, 1, 0.160093, 0.034832, -0.986487, -0.071102, 0.045613, -0.996426, 0.045, 0.041, -6.1, 55.4, 440.6, -0.105, -0.082, 0.020
45, 20808, 14.258, 0.98, 1, 0.129551, 0.041369, -0.990709, -0.071669, 0.055107, -0.995905, 0.029, 0.049, -6.0, 55.6, 441.7, -0.097, -0.080, 0.023
46, 20808, 14.349, 0.98, 1, 0.160710, 0.036397, -0.986330, -0.083334, 0.013601, -0.996429, 0.039, 0.025, -6.2, 55.9, 443.0, -0.101, -0.073, 0.021
47, 20808, 14.438, 0.98, 1, 0.245208, 0.060454, -0.967584, 0.052610, 0.102659, -0.993324, 0.151, 0.083, -6.0, 55.7, 442.4, -0.088, -0.073, 0.022
48, 20808, 14.522, 0.98, 1, 0.207725, 0.019480, -0.977993, 0.019725, 0.039306, -0.999032, 0.115, 0.030, -5.9, 55.7, 442.6, -0.094, -0.065, 0.023
49, 20808, 14.617, 0.98, 1, 0.221884, 0.066999, -0.972769, -0.001758, 0.079816, -0.996808, 0.111, 0.074, -5.6, 55.8, 443.5, -0.093, -0.074, 0.028
50, 20808, 14.706, 0.98, 1, 0.215597, 0.084391, -0.972829, 0.039357, 0.055947, -0.997658, 0.129, 0.071, -5.4, 55.6, 443.0, -0.095, -0.075, 0.029
51, 20808, 14.789, 0.98, 1, 0.183623, 0.017617, -0.982839, 0.028225, 0.044565, -0.998608, 0.107, 0.031, -5.3, 55.5, 442.7, -0.097, -0.078, 0.025
52, 20808, 14.866, 0.98, 1, 0.199344, 0.037310, -0.979219, -0.028580, 0.052957, -0.998188, 0.086, 0.046, -5.2, 55.3, 440.6, -0.095, -0.080, 0.026
53, 20808, 14.945, 0.98, 1, 0.182742, 0.044445, -0.982156, -0.008509, 0.037463, -0.999262, 0.088, 0.041, -5.0, 55.4, 441.0, -0.097, -0.083, 0.024
54, 20808, 15.028, 0.98, 1, 0.187172, 0.054546, -0.980812, 0.024581, 0.082974, -0.996249, 0.107, 0.069, -4.6, 55.7, 442.1, -0.099, -0.091, 0.029
55, 20808, 15.108, 0.98, 1, 0.230956, 0.029383, -0.972520, 0.013380, 0.050001, -0.998660, 0.123, 0.040, -4.7, 55.7, 441.2, -0.093, -0.076, 0.030
56, 20808, 15.200, 0.98, 1, 0.237921, 0.038954, -0.970503, 0.007280, 0.042694, -0.999062, 0.124, 0.041, -4.8, 55.8, 442.4, -0.099, -0.077, 0.031
57, 20808, 15.286, 0.98, 1, 0.186924, 0.059418, -0.980576, 0.016124, 0.091624, -0.995663, 0.102, 0.076, -4.6, 55.9, 442.5, -0.099, -0.088, 0.029
