frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 32072, 0.339, 0.98, 1, -0.205480, 0.138094, -0.968870, -0.226076, 0.101972, -0.968758, -0.219, 0.123, 60.9, 64.5, 392.3, 0.031, 0.221, 0.045
2, 32072, 1.112, 0.98, 1, -0.220105, 0.062854, -0.973449, -0.172506, 0.054355, -0.983508, -0.198, 0.060, 60.6, 62.1, 390.2, -0.015, 0.215, 0.052
3, 32072, 1.230, 0.98, 1, -0.220681, 0.105645, -0.969608, -0.233732, 0.031175, -0.971801, -0.230, 0.070, 60.4, 61.2, 393.3, -0.024, 0.218, 0.053
4, 32072, 1.346, 0.98, 1, -0.251033, 0.115493, -0.961064, -0.224767, 0.032619, -0.973866, -0.241, 0.076, 60.5, 60.9, 394.4, -0.020, 0.219, 0.053
5, 32072, 1.465, 0.98, 1, -0.267762, 0.131885, -0.954416, -0.222245, 0.049359, -0.973741, -0.249, 0.094, 60.7, 61.0, 394.3, -0.020, 0.217, 0.055
6, 32072, 1.607, 0.98, 1, -0.280974, 0.134055, -0.950307, -0.247564, 0.063852, -0.966765, -0.269, 0.103, 60.8, 61.1, 394.0, -0.016, 0.222, 0.052
7, 32072, 1.740, 0.98, 1, -0.289760, 0.142771, -0.946391, -0.254268, 0.075171, -0.964208, -0.277, 0.114, 61.1, 61.3, 394.0, -0.012, 0.221, 0.053
8, 32072, 1.909, 0.98, 1, -0.211696, 0.113187, -0.970759, -0.175566, 0.094702, -0.979902, -0.196, 0.106, 61.5, 61.7, 393.7, 0.001, 0.223, 0.054
9, 32072, 2.040, 0.98, 1, -0.220174, 0.149892, -0.963875, -0.220186, 0.113109, -0.968878, -0.224, 0.135, 61.0, 61.6, 391.8, 0.007, 0.219, 0.056
10, 32072, 2.189, 0.98, 1, -0.211629, 0.153683, -0.965191, -0.208173, 0.097755, -0.973195, -0.213, 0.129, 60.7, 62.0, 392.7, 0.013, 0.221, 0.055
11, 32072, 2.337, 0.98, 1, -0.191422, 0.132067, -0.972582, -0.169683, 0.083076, -0.981991, -0.183, 0.110, 60.4, 62.2, 392.7, 0.012, 0.222, 0.053
12, 32072, 2.482, 0.98, 1, -0.180843, 0.133549, -0.974403, -0.190537, 0.115248, -0.974891, -0.188, 0.127, 60.1, 62.7, 393.6, 0.013, 0.223, 0.051
13, 32072, 2.629, 0.98, 1, -0.248632, 0.153382, -0.956376, -0.273015, 0.132236, -0.952878, -0.267, 0.148, 59.5, 63.0, 394.4, 0.014, 0.225, 0.047
14, 32072, 2.779, 0.98, 1, -0.274951, 0.180458, -0.944371, -0.306878, 0.118934, -0.944289, -0.299, 0.157, 59.6, 63.3, 395.7, 0.020, 0.231, 0.045
15, 32072, 2.923, 0.98, 1, -0.164026, 0.162408, -0.972995, -0.171156, 0.151515, -0.973524, -0.171, 0.160, 59.3, 63.5, 394.2, 0.012, 0.230, 0.046
16, 32072, 3.062, 0.98, 1, -0.168914, 0.133327, -0.976572, -0.162573, 0.126558, -0.978547, -0.168, 0.132, 59.2, 64.2, 394.4, 0.013, 0.230, 0.045
17, 32072, 3.223, 0.98, 1, -0.220546, 0.157994, -0.962495, -0.208826, 0.144757, -0.967180, -0.219, 0.156, 59.0, 64.5, 393.8, 0.015, 0.231, 0.042
18, 32072, 3.404, 0.98, 1, -0.219565, 0.148334, -0.964255, -0.222631, 0.123840, -0.967005, -0.225, 0.140, 59.0, 64.8, 394.7, 0.012, 0.235, 0.039
19, 32072, 3.559, 0.98, 1, -0.187528, 0.134433, -0.973017, -0.170696, 0.148080, -0.974133, -0.182, 0.144, 59.2, 64.9, 395.1, 0.013, 0.242, 0.036
