frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
2, 22238, 21.156, 0.98, 1, 0.020576, 0.093404, -0.995416, -0.194186, 0.130342, -0.972267, -0.088, 0.113, 14.4, 87.0, 504.6, -0.068, 0.147, -0.031
3, 22238, 21.290, 0.98, 1, -0.012476, 0.080677, -0.996662, -0.118178, 0.098366, -0.988108, -0.066, 0.090, 14.9, 87.4, 501.9, -0.063, 0.127, -0.038
4, 22238, 21.395, 0.98, 1, 0.000642, 0.095488, -0.995430, -0.118789, 0.105688, -0.987279, -0.060, 0.101, 14.6, 87.7, 500.5, -0.049, 0.127, -0.046
5, 22238, 21.527, 0.98, 1, -0.014421, 0.089853, -0.995851, -0.121087, 0.113738, -0.986104, -0.068, 0.102, 13.9, 87.3, 499.4, -0.045, 0.126, -0.055
6, 22238, 21.637, 0.98, 1, 0.038152, 0.067866, -0.996965, -0.093084, 0.105073, -0.990099, -0.028, 0.087, 13.5, 86.9, 500.7, -0.041, 0.128, -0.062
7, 22238, 21.750, 0.98, 1, -0.022265, 0.071016, -0.997227, -0.165055, 0.063422, -0.984243, -0.094, 0.068, 12.8, 85.9, 496.5, -0.070, 0.121, -0.069
8, 22238, 21.852, 0.98, 1, 0.000976, 0.059994, -0.998198, -0.128506, 0.073650, -0.988970, -0.064, 0.067, 13.1, 85.8, 495.8, -0.071, 0.131, -0.081
9, 22238, 21.964, 0.98, 1, -0.053011, 0.098010, -0.993773, -0.141817, 0.116496, -0.983014, -0.098, 0.108, 14.8, 86.8, 494.7, -0.062, 0.134, -0.084
10, 22238, 22.069, 0.98, 1, -0.025343, 0.090184, -0.995603, -0.146958, 0.093883, -0.984677, -0.087, 0.093, 16.9, 87.8, 495.2, -0.059, 0.131, -0.076
11, 22238, 22.170, 0.98, 1, -0.026583, 0.063079, -0.997654, -0.166552, 0.074232, -0.983234, -0.097, 0.069, 16.1, 87.2, 495.3, -0.070, 0.151, -0.069
12, 22238, 22.276, 0.98, 1, -0.044754, 0.054277, -0.997523, -0.168088, 0.090307, -0.981627, -0.107, 0.073, 14.4, 86.5, 496.1, -0.077, 0.151, -0.062
13, 22238, 22.378, 0.98, 1, -0.065292, 0.064056, -0.995808, -0.134031, 0.097240, -0.986195, -0.100, 0.081, 12.5, 85.7, 496.8, -0.079, 0.147, -0.067
14, 22238, 22.477, 0.98, 1, -0.052653, 0.068418, -0.996266, -0.116410, 0.118741, -0.986078, -0.085, 0.094, 10.4, 86.2, 497.3, -0.070, 0.152, -0.076
15, 22238, 22.577, 0.98, 1, -0.030376, 0.079535, -0.996369, -0.114168, 0.081761, -0.990091, -0.073, 0.081, 10.2, 85.7, 497.1, -0.076, 0.152, -0.075
16, 22238, 22.690, 0.98, 1, -0.024550, 0.084787, -0.996097, -0.117582, 0.102519, -0.987757, -0.072, 0.094, 10.0, 85.5, 496.8, -0.072, 0.150, -0.075
17, 22238, 22.801, 0.98, 1, -0.018084, 0.079284, -0.996688, -0.102811, 0.082119, -0.991305, -0.061, 0.081, 9.9, 85.6, 497.5, -0.074, 0.150, -0.076
18, 22238, 22.903, 0.98, 1, -0.037255, 0.086524, -0.995553, -0.116019, 0.090877, -0.989081, -0.077, 0.089, 9.5, 85.5, 496.4, -0.069, 0.148, -0.079
19, 22238, 23.017, 0.98, 1, 0.051159, 0.076370, -0.995766, -0.071058, 0.081373, -0.994147, -0.010, 0.079, 9.8, 85.9, 496.5, -0.075, 0.140, -0.073
20, 22238, 23.121, 0.98, 1, 0.077840, 0.068705, -0.994596, -0.053116, 0.075530, -0.995728, 0.012, 0.072, 10.6, 85.9, 498.7, -0.083, 0.128, -0.070
21, 22238, 23.224, 0.98, 1, 0.062300, 0.048969, -0.996855, -0.055502, 0.062677, -0.996489, 0.003, 0.056, 11.2, 85.8, 498.6, -0.082, 0.118, -0.069
22, 22238, 23.334, 0.98, 1, 0.098038, 0.035267, -0.994558, -0.038444, 0.055300, -0.997729, 0.030, 0.045, 11.2, 85.7, 500.0, -0.083, 0.112, -0.067
23, 22238, 23.443, 0.98, 1, 0.069512, 0.072037, -0.994977, -0.041983, 0.073017, -0.996447, 0.014, 0.073, 10.8, 85.7, 500.0, -0.082, 0.114, -0.067
24, 22238, 23.545, 0.98, 1, 0.051225, 0.031746, -0.998182, -0.043152, 0.057408, -0.997418, 0.004, 0.045, 10.5, 85.7, 500.3, -0.082, 0.115, -0.068
25, 22238, 23.654, 0.98, 1, 0.046471, 0.058938, -0.997179, -0.067403, 0.076047, -0.994823, -0.011, 0.068, 10.5, 85.3, 499.0, -0.082, 0.115, -0.070
26, 22238, 23.763, 0.98, 1, 0.050662, 0.084223, -0.995158, -0.040770, 0.084901, -0.995555, 0.005, 0.085, 10.9, 85.3, 499.3, -0.080, 0.112, -0.069
27, 22238, 23.867, 0.98, 1, 0.054636, 0.057018, -0.996877, -0.052044, 0.092244, -0.994375, 0.001, 0.075, 11.1, 85.1, 498.9, -0.081, 0.116, -0.069
28, 22238, 23.995, 0.98, 1, 0.073203, 0.045815, -0.996264, -0.051308, 0.068611, -0.996323, 0.011, 0.057, 11.2, 85.5, 500.0, -0.083, 0.113, -0.068
29, 22238, 24.105, 0.98, 1, 0.042950, 0.055217, -0.997550, -0.052582, 0.061701, -0.996709, -0.005, 0.059, 11.5, 85.4, 498.4, -0.086, 0.115, -0.069
30, 22238, 24.230, 0.98, 1, 0.051304, 0.052491, -0.997303, -0.071605, 0.048415, -0.996257, -0.010, 0.051, 11.6, 85.2, 498.3, -0.085, 0.116, -0.068
31, 22238, 24.336, 0.98, 1, 0.047941, 0.055634, -0.997300, -0.076976, 0.083821, -0.993503, -0.015, 0.070, 11.8, 85.3, 498.9, -0.084, 0.117, -0.068
32, 22238, 24.453, 0.98, 1, 0.060399, 0.058625, -0.996451, -0.082199, 0.075409, -0.993759, -0.011, 0.067, 11.6, 85.4, 498.1, -0.080, 0.115, -0.067
33, 22238, 24.556, 0.98, 1, -0.005637, 0.051920, -0.998635, -0.081856, 0.061579, -0.994740, -0.044, 0.057, 11.3, 85.5, 498.7, -0.078, 0.112, -0.070
34, 22238, 24.663, 0.98, 1, -0.010001, 0.088461, -0.996029, -0.104277, 0.088538, -0.990599, -0.057, 0.089, 11.0, 85.5, 498.4, -0.076, 0.115, -0.072
35, 22238, 24.772, 0.98, 1, -0.031445, 0.048694, -0.998319, -0.117470, 0.072374, -0.990436, -0.075, 0.061, 10.5, 85.6, 500.1, -0.079, 0.116, -0.071
36, 22238, 24.874, 0.98, 1, -0.015567, 0.090439, -0.995780, -0.127191, 0.078906, -0.988735, -0.072, 0.085, 10.2, 85.3, 499.1, -0.078, 0.113, -0.072
37, 22238, 24.976, 0.98, 1, -0.012540, 0.062087, -0.997992, -0.135342, 0.081577, -0.987435, -0.074, 0.072, 9.7, 85.1, 498.5, -0.079, 0.115, -0.075
38, 22238, 25.091, 0.98, 1, -0.026469, 0.074006, -0.996906, -0.148136, 0.071661, -0.986367, -0.088, 0.073, 9.4, 85.2, 498.2, -0.082, 0.120, -0.077
39, 22238, 25.216, 0.98, 1, -0.010182, 0.065337, -0.997811, -0.118908, 0.087325, -0.989058, -0.065, 0.077, 8.8, 85.4, 498.5, -0.080, 0.120, -0.081
40, 22238, 25.319, 0.98, 1, -0.022909, 0.081905, -0.996377, -0.121549, 0.104158, -0.987105, -0.073, 0.094, 8.6, 85.2, 498.3, -0.081, 0.119, -0.078
41, 22238, 25.450, 0.98, 1, -0.029697, 0.045362, -0.998529, -0.091324, 0.080882, -0.992531, -0.061, 0.063, 8.4, 85.3, 498.5, -0.077, 0.118, -0.079
42, 22238, 25.576, 0.98, 1, -0.026013, 0.069630, -0.997234, -0.081130, 0.086338, -0.992957, -0.054, 0.078, 8.2, 85.4, 498.3, -0.079, 0.121, -0.080
43, 22238, 25.682, 0.98, 1, -0.032660, 0.070771, -0.996958, -0.123715, 0.068711, -0.989936, -0.079, 0.070, 8.1, 85.5, 499.0, -0.079, 0.118, -0.083
44, 22238, 25.794, 0.98, 1, -0.026082, 0.060211, -0.997845, -0.109819, 0.085440, -0.990273, -0.068, 0.073, 7.9, 85.3, 497.5, -0.076, 0.124, -0.084
45, 22238, 25.893, 0.98, 1, -0.026836, 0.069150, -0.997245, -0.103102, 0.096960, -0.989934, -0.065, 0.083, 7.6, 85.3, 498.8, -0.079, 0.127, -0.084
46, 22238, 25.978, 0.98, 1, 0.007115, 0.054199, -0.998505, -0.100929, 0.081917, -0.991516, -0.047, 0.068, 7.5, 85.1, 498.1, -0.079, 0.124, -0.083
47, 22238, 26.087, 0.98, 1, 0.058695, 0.074901, -0.995462, -0.048745, 0.087537, -0.994968, 0.005, 0.081, 7.7, 85.5, 499.0, -0.080, 0.120, -0.083
