frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 21810, 21.219, 0.98, 1, -0.041900, 0.175892, -0.983517, -0.142886, 0.162041, -0.976384, -0.094, 0.171, 26.7, 55.5, 417.8, 0.038, 0.141, -0.015
2, 21810, 21.724, 0.98, 1, 0.044194, 0.181199, -0.982453, -0.064664, 0.182815, -0.981018, -0.010, 0.183, 27.4, 59.8, 418.7, 0.081, 0.097, -0.021
3, 21810, 21.863, 0.98, 1, -0.091244, 0.155792, -0.983567, -0.196204, 0.159710, -0.967469, -0.146, 0.160, 25.2, 59.3, 418.2, 0.063, 0.117, -0.026
4, 21810, 21.990, 0.98, 1, -0.094250, 0.162914, -0.982128, -0.192100, 0.166918, -0.967076, -0.146, 0.168, 22.6, 58.8, 418.4, 0.065, 0.142, -0.038
5, 21810, 22.089, 0.98, 1, -0.083572, 0.156587, -0.984122, -0.193941, 0.177954, -0.964738, -0.141, 0.170, 19.6, 58.2, 415.9, 0.064, 0.170, -0.048
6, 21810, 22.182, 0.98, 1, -0.082459, 0.147182, -0.985666, -0.189340, 0.175027, -0.966186, -0.138, 0.164, 17.3, 57.6, 414.7, 0.059, 0.170, -0.049
7, 21810, 22.278, 0.98, 1, -0.090516, 0.153594, -0.983980, -0.179715, 0.163966, -0.969958, -0.137, 0.161, 16.7, 57.3, 414.8, 0.058, 0.170, -0.051
8, 21810, 22.415, 0.98, 1, -0.067034, 0.156007, -0.985479, -0.166244, 0.172447, -0.970889, -0.119, 0.166, 17.8, 55.8, 415.2, 0.044, 0.163, -0.045
9, 21810, 22.527, 0.98, 1, -0.064665, 0.151739, -0.986303, -0.137689, 0.151174, -0.978871, -0.103, 0.153, 21.3, 55.3, 415.2, 0.035, 0.155, -0.044
10, 21810, 22.622, 0.98, 1, -0.071389, 0.155518, -0.985250, -0.168134, 0.177152, -0.969715, -0.122, 0.169, 24.1, 54.9, 412.8, 0.036, 0.157, -0.043
