frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
2, 31821, 15.111, 0.98, 1, -0.180881, 0.106339, -0.977739, -0.222981, 0.115896, -0.967909, -0.205, 0.114, 58.2, 58.4, 392.8, -0.068, 0.152, 0.081
3, 31821, 15.219, 0.98, 1, -0.177658, 0.119563, -0.976802, -0.211218, 0.118512, -0.970228, -0.197, 0.122, 57.8, 58.4, 391.9, -0.047, 0.149, 0.082
4, 31821, 15.324, 0.98, 1, -0.200869, 0.112257, -0.973165, -0.150425, 0.137055, -0.979075, -0.178, 0.127, 57.7, 58.2, 392.5, -0.035, 0.155, 0.078
5, 31821, 15.441, 0.98, 1, -0.126603, 0.140483, -0.981955, -0.133363, 0.147452, -0.980037, -0.132, 0.146, 57.6, 58.6, 393.3, -0.017, 0.162, 0.070
6, 31821, 15.549, 0.98, 1, -0.177516, 0.138232, -0.974361, -0.162591, 0.149099, -0.975363, -0.173, 0.146, 57.4, 58.8, 394.0, -0.008, 0.163, 0.067
7, 31821, 15.658, 0.98, 1, -0.192146, 0.167492, -0.966968, -0.243028, 0.156950, -0.957238, -0.222, 0.167, 57.3, 59.0, 394.4, -0.003, 0.165, 0.065
8, 31821, 15.771, 0.98, 1, -0.181086, 0.160337, -0.970309, -0.165327, 0.177150, -0.970198, -0.177, 0.172, 57.1, 59.1, 392.8, 0.001, 0.166, 0.062
9, 31821, 15.898, 0.98, 1, -0.144896, 0.135701, -0.980097, -0.137973, 0.172714, -0.975261, -0.144, 0.156, 57.1, 60.2, 394.4, 0.008, 0.164, 0.058
10, 31821, 16.016, 0.98, 1, -0.101178, 0.151359, -0.983287, -0.129674, 0.171014, -0.976698, -0.117, 0.163, 56.5, 61.5, 394.3, 0.028, 0.166, 0.052
11, 31821, 16.156, 0.98, 1, -0.061733, 0.151453, -0.986535, -0.132939, 0.195902, -0.971571, -0.099, 0.176, 56.1, 62.4, 393.6, 0.038, 0.166, 0.041
12, 31821, 16.273, 0.98, 1, -0.085704, 0.169119, -0.981862, -0.144453, 0.191372, -0.970830, -0.117, 0.183, 56.3, 63.2, 393.8, 0.040, 0.162, 0.031
13, 31821, 16.409, 0.98, 1, -0.099373, 0.162999, -0.981609, -0.144878, 0.202197, -0.968569, -0.125, 0.185, 56.6, 64.0, 394.3, 0.034, 0.160, 0.027
14, 31821, 16.557, 0.98, 1, -0.178661, 0.157792, -0.971175, -0.239543, 0.199803, -0.950104, -0.214, 0.184, 55.7, 63.0, 394.7, 0.026, 0.176, 0.024
15, 31821, 16.688, 0.98, 1, -0.175268, 0.176932, -0.968492, -0.255206, 0.165919, -0.952544, -0.220, 0.177, 55.6, 62.0, 395.3, 0.028, 0.186, 0.022
16, 31821, 16.836, 0.98, 1, -0.151055, 0.179715, -0.972052, -0.222391, 0.181774, -0.957862, -0.191, 0.185, 56.0, 61.5, 393.7, 0.035, 0.186, 0.022
17, 31821, 16.949, 0.98, 1, -0.166005, 0.195409, -0.966570, -0.246841, 0.189146, -0.950418, -0.212, 0.198, 56.2, 61.8, 394.3, 0.043, 0.183, 0.024
18, 31821, 17.084, 0.98, 1, -0.111496, 0.194192, -0.974607, -0.168805, 0.216802, -0.961510, -0.144, 0.209, 55.4, 63.5, 394.8, 0.058, 0.183, 0.023
19, 31821, 17.226, 0.98, 1, -0.146400, 0.194129, -0.969990, -0.175623, 0.208405, -0.962146, -0.165, 0.205, 53.9, 64.1, 392.7, 0.059, 0.181, 0.022
20, 31821, 17.352, 0.98, 1, -0.123113, 0.179407, -0.976041, -0.178494, 0.218965, -0.959268, -0.155, 0.203, 52.3, 64.4, 391.6, 0.044, 0.178, 0.020
21, 31821, 17.494, 0.98, 1, -0.112277, 0.178326, -0.977545, -0.187741, 0.216895, -0.957972, -0.154, 0.201, 51.5, 65.0, 390.5, 0.047, 0.176, 0.018
22, 31821, 17.654, 0.98, 1, -0.179596, 0.190535, -0.965112, -0.216069, 0.187055, -0.958293, -0.203, 0.194, 52.0, 65.9, 395.2, 0.038, 0.180, 0.015
23, 31821, 17.805, 0.98, 1, -0.200601, 0.190017, -0.961069, -0.236620, 0.168588, -0.956864, -0.224, 0.185, 52.4, 65.7, 395.6, 0.029, 0.182, 0.020
24, 31821, 17.949, 0.98, 1, -0.210259, 0.194363, -0.958131, -0.245009, 0.154121, -0.957192, -0.233, 0.180, 52.5, 65.5, 395.6, 0.027, 0.184, 0.020
25, 31821, 18.111, 0.98, 1, -0.176943, 0.169975, -0.969433, -0.189810, 0.189670, -0.963326, -0.188, 0.184, 52.6, 65.2, 395.3, 0.027, 0.186, 0.022
26, 31821, 18.246, 0.98, 1, -0.147497, 0.158451, -0.976288, -0.179448, 0.164597, -0.969900, -0.166, 0.164, 52.7, 65.2, 395.1, 0.021, 0.181, 0.025
27, 31821, 18.390, 0.98, 1, -0.121089, 0.149968, -0.981248, -0.140064, 0.168832, -0.975642, -0.133, 0.161, 53.0, 65.1, 394.4, 0.022, 0.183, 0.026
28, 31821, 18.543, 0.98, 1, -0.141539, 0.164785, -0.976121, -0.142331, 0.186350, -0.972119, -0.145, 0.178, 52.9, 65.0, 394.2, 0.030, 0.184, 0.022
29, 31821, 18.686, 0.98, 1, -0.204510, 0.191914, -0.959867, -0.199017, 0.174383, -0.964356, -0.207, 0.188, 52.6, 64.9, 394.3, 0.034, 0.185, 0.019
30, 31821, 18.833, 0.98, 1, -0.209076, 0.162582, -0.964290, -0.203580, 0.159767, -0.965935, -0.211, 0.165, 52.6, 65.1, 394.5, 0.034, 0.185, 0.018
31, 31821, 18.980, 0.98, 1, -0.188191, 0.154691, -0.969874, -0.210782, 0.146242, -0.966532, -0.203, 0.154, 52.7, 65.1, 394.8, 0.026, 0.182, 0.020
32, 31821, 19.142, 0.98, 1, -0.218306, 0.176789, -0.959733, -0.222830, 0.148866, -0.963424, -0.225, 0.168, 53.1, 65.4, 396.7, 0.026, 0.184, 0.018
33, 31821, 19.293, 0.98, 1, -0.213437, 0.179798, -0.960270, -0.224422, 0.169639, -0.959613, -0.224, 0.180, 53.0, 65.3, 395.6, 0.024, 0.181, 0.020
34, 31821, 19.454, 0.98, 1, -0.099639, 0.140369, -0.985073, -0.128428, 0.186483, -0.974028, -0.116, 0.165, 52.8, 64.8, 392.8, 0.020, 0.183, 0.018
35, 31821, 19.615, 0.98, 1, -0.199584, 0.158572, -0.966965, -0.197769, 0.164628, -0.966326, -0.203, 0.166, 53.0, 65.1, 394.3, 0.017, 0.184, 0.016
36, 31821, 19.787, 0.98, 1, -0.171104, 0.157856, -0.972525, -0.216344, 0.159048, -0.963275, -0.198, 0.162, 52.9, 65.0, 393.3, 0.020, 0.181, 0.015
37, 31821, 19.928, 0.98, 1, -0.181076, 0.126540, -0.975294, -0.225029, 0.137119, -0.964655, -0.206, 0.135, 53.2, 65.4, 395.5, 0.010, 0.182, 0.015
38, 31821, 20.075, 0.98, 1, -0.120862, 0.152986, -0.980810, -0.170577, 0.178022, -0.969129, -0.148, 0.168, 53.3, 65.4, 395.7, 0.006, 0.182, 0.017
39, 31821, 20.220, 0.98, 1, -0.204072, 0.167117, -0.964586, -0.191811, 0.166159, -0.967264, -0.202, 0.171, 53.0, 65.5, 395.1, 0.007, 0.183, 0.015
40, 31821, 20.366, 0.98, 1, -0.210863, 0.167099, -0.963128, -0.210627, 0.152215, -0.965643, -0.215, 0.164, 53.2, 65.9, 396.3, 0.008, 0.185, 0.014
41, 31821, 20.527, 0.98, 1, -0.088772, 0.116456, -0.989221, -0.114071, 0.178173, -0.977365, -0.103, 0.149, 53.4, 65.9, 396.7, 0.011, 0.184, 0.015
42, 31821, 20.685, 0.98, 1, -0.095938, 0.100425, -0.990308, -0.128408, 0.164569, -0.977972, -0.113, 0.134, 53.3, 65.6, 394.7, 0.007, 0.182, 0.016
43, 31821, 20.826, 0.98, 1, -0.222129, 0.168617, -0.960327, -0.178095, 0.174865, -0.968351, -0.205, 0.176, 53.3, 65.6, 394.7, 0.007, 0.183, 0.016
44, 31821, 20.974, 0.98, 1, -0.234094, 0.177707, -0.955835, -0.205080, 0.172162, -0.963485, -0.225, 0.180, 53.4, 65.6, 394.8, 0.014, 0.185, 0.014
45, 31821, 21.135, 0.98, 1, -0.223739, 0.184426, -0.957041, -0.247633, 0.151824, -0.956884, -0.241, 0.174, 53.7, 65.8, 396.2, 0.021, 0.188, 0.018
46, 31821, 21.297, 0.98, 1, -0.114664, 0.140690, -0.983391, -0.170294, 0.172097, -0.970249, -0.145, 0.159, 53.6, 65.5, 394.8, 0.025, 0.187, 0.018
47, 31821, 21.443, 0.98, 1, -0.117336, 0.120810, -0.985717, -0.162656, 0.155455, -0.974360, -0.142, 0.140, 53.3, 65.3, 393.4, 0.027, 0.183, 0.020
48, 31821, 21.591, 0.98, 1, -0.151803, 0.168596, -0.973926, -0.183057, 0.152805, -0.971154, -0.170, 0.164, 53.2, 65.1, 392.5, 0.030, 0.184, 0.019
49, 31821, 21.710, 0.98, 1, -0.191131, 0.175018, -0.965835, -0.192634, 0.141483, -0.971017, -0.196, 0.162, 53.4, 65.5, 394.0, 0.033, 0.187, 0.019
50, 31821, 21.845, 0.98, 1, -0.127517, 0.156889, -0.979349, -0.152370, 0.189614, -0.969964, -0.143, 0.176, 53.2, 65.1, 391.9, 0.030, 0.183, 0.019
51, 31821, 21.989, 0.98, 1, -0.120888, 0.135962, -0.983311, -0.148674, 0.193864, -0.969697, -0.137, 0.167, 53.2, 65.2, 392.2, 0.029, 0.185, 0.019
52, 31821, 22.128, 0.98, 1, -0.132310, 0.145222, -0.980512, -0.142677, 0.200851, -0.969176, -0.140, 0.176, 53.3, 65.2, 392.2, 0.032, 0.183, 0.020
53, 31821, 22.286, 0.98, 1, 0.022630, 0.276295, -0.960806, -0.339146, 0.275581, -0.899464, -0.169, 0.288, 54.2, 67.0, 398.4, 0.019, 0.185, 0.022
54, 31821, 22.430, 0.98, 1, -0.114394, 0.148320, -0.982301, -0.265346, 0.207215, -0.941623, -0.195, 0.183, 53.9, 66.7, 398.8, 0.040, 0.187, 0.015
