frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 31716, 2.098, 0.98, 1, -0.116123, 0.042407, -0.992329, -0.137233, 0.045662, -0.989486, -0.127, 0.044, 50.8, 60.2, 388.5, -0.032, 0.156, 0.028
2, 31716, 2.690, 0.98, 1, -0.112572, 0.048450, -0.992462, -0.127464, 0.012880, -0.991760, -0.120, 0.031, 51.2, 60.4, 392.3, -0.024, 0.165, 0.018
3, 31716, 2.804, 0.98, 1, -0.088767, 0.046450, -0.994969, -0.107027, 0.063521, -0.992225, -0.098, 0.055, 51.2, 60.3, 390.9, -0.020, 0.166, 0.010
4, 31716, 2.937, 0.98, 1, -0.086654, 0.067038, -0.993980, -0.055481, 0.114054, -0.991924, -0.071, 0.091, 51.4, 61.2, 391.3, -0.006, 0.170, 0.009
5, 31716, 3.050, 0.98, 1, -0.089364, 0.063892, -0.993948, -0.100886, 0.116811, -0.988017, -0.096, 0.091, 51.5, 61.3, 390.6, -0.003, 0.171, 0.009
6, 31716, 3.169, 0.98, 1, -0.079895, 0.062251, -0.994858, -0.112825, 0.117656, -0.986624, -0.097, 0.091, 51.5, 61.6, 391.4, -0.007, 0.170, 0.007
7, 31716, 3.293, 0.98, 1, -0.122447, 0.080611, -0.989196, -0.138829, 0.092718, -0.985966, -0.132, 0.088, 51.2, 61.2, 393.0, -0.009, 0.171, 0.006
8, 31716, 3.417, 0.98, 1, -0.169861, 0.075267, -0.982589, -0.111060, 0.057709, -0.992137, -0.141, 0.067, 48.8, 57.8, 390.0, -0.048, 0.165, 0.001
9, 31716, 3.538, 0.98, 1, -0.169722, 0.050423, -0.984201, -0.087655, 0.039171, -0.995380, -0.129, 0.045, 46.9, 52.5, 391.6, -0.094, 0.173, -0.005
10, 31716, 3.680, 0.98, 1, -0.137219, 0.066721, -0.988291, -0.102254, 0.038627, -0.994008, -0.120, 0.053, 47.2, 50.6, 388.5, -0.089, 0.170, -0.012
11, 31716, 3.803, 0.98, 1, -0.021337, -0.075423, -0.996923, -0.128364, 0.009178, -0.991685, -0.075, -0.033, 54.8, 46.2, 404.9, -0.153, 0.143, 0.014
12, 31716, 3.948, 0.98, 1, -0.159276, 0.000902, -0.987234, -0.116201, 0.018865, -0.993047, -0.138, 0.010, 56.6, 41.2, 403.5, -0.144, 0.142, 0.040
13, 31716, 4.075, 0.98, 1, -0.119962, 0.071729, -0.990184, -0.228126, 0.053941, -0.972136, -0.176, 0.064, 54.9, 40.8, 405.6, -0.138, 0.171, 0.039
14, 31716, 4.198, 0.98, 1, -0.144421, 0.082024, -0.986111, -0.219794, 0.090275, -0.971360, -0.184, 0.088, 53.2, 40.8, 402.1, -0.120, 0.176, 0.037
15, 31716, 4.353, 0.98, 1, -0.174968, 0.088570, -0.980582, -0.214651, 0.091607, -0.972385, -0.197, 0.092, 53.0, 42.9, 403.4, -0.082, 0.194, 0.035
16, 31716, 4.504, 0.98, 1, -0.236581, 0.086803, -0.967727, -0.260002, 0.089964, -0.961408, -0.252, 0.091, 51.2, 43.9, 404.3, -0.080, 0.205, 0.033
17, 31716, 4.650, 0.93, 1, -0.268568, 0.108902, -0.957085, -0.241124, 0.125179, -0.962387, -0.260, 0.121, 49.3, 45.7, 407.7, -0.051, 0.217, 0.018
18, 31716, 4.806, 0.98, 1, -0.184127, 0.143264, -0.972406, -0.261663, 0.139670, -0.955000, -0.227, 0.146, 47.6, 47.8, 410.7, -0.005, 0.194, 0.004
19, 31716, 4.949, 0.98, 1, -0.178862, 0.206989, -0.961854, -0.200106, 0.205515, -0.957978, -0.195, 0.212, 46.4, 49.5, 410.1, 0.051, 0.179, -0.006
20, 31716, 5.111, 0.98, 1, -0.158593, 0.223054, -0.961819, -0.189607, 0.245430, -0.950691, -0.180, 0.240, 45.9, 49.1, 405.7, 0.100, 0.167, -0.016
21, 31716, 5.272, 0.98, 1, -0.117281, 0.225619, -0.967130, -0.167101, 0.247733, -0.954309, -0.147, 0.242, 45.3, 47.8, 408.7, 0.084, 0.170, -0.024
22, 31716, 5.412, 0.98, 1, -0.133483, 0.244166, -0.960503, -0.164681, 0.256431, -0.952430, -0.155, 0.256, 44.3, 47.2, 408.7, 0.091, 0.168, -0.032
23, 31716, 5.572, 0.98, 1, -0.158016, 0.246359, -0.956210, -0.174183, 0.248507, -0.952840, -0.172, 0.254, 43.0, 47.1, 409.8, 0.090, 0.165, -0.039
24, 31716, 5.721, 0.98, 1, -0.159915, 0.253473, -0.954033, -0.138453, 0.249866, -0.958331, -0.155, 0.257, 42.4, 47.1, 411.2, 0.081, 0.165, -0.034
25, 31716, 5.866, 0.98, 1, -0.119215, 0.102288, -0.987585, -0.115948, 0.156271, -0.980885, -0.119, 0.131, 40.9, 43.9, 403.0, -0.040, 0.162, -0.002
26, 31716, 6.013, 0.98, 1, -0.142625, 0.116463, -0.982901, -0.217116, 0.054440, -0.974627, -0.182, 0.087, 40.8, 41.3, 405.0, -0.107, 0.173, 0.013
27, 31716, 6.173, 0.98, 1, -0.136670, 0.109914, -0.984500, -0.220029, 0.101034, -0.970247, -0.180, 0.107, 40.9, 41.6, 403.0, -0.113, 0.170, 0.013
28, 31716, 6.323, 0.98, 1, -0.063684, 0.190501, -0.979619, -0.209033, 0.165083, -0.963874, -0.139, 0.181, 45.5, 47.2, 393.7, -0.040, 0.154, 0.015
29, 31716, 6.463, 0.98, 1, -0.071560, 0.165040, -0.983687, -0.197628, 0.153279, -0.968219, -0.137, 0.162, 48.7, 51.4, 391.6, -0.031, 0.154, 0.020
30, 31716, 6.607, 0.98, 1, -0.105071, 0.145919, -0.983701, -0.241728, 0.129488, -0.961665, -0.176, 0.141, 49.4, 52.7, 391.7, -0.049, 0.157, 0.023
31, 31716, 6.752, 0.98, 1, -0.071035, 0.145154, -0.986856, -0.169546, 0.164502, -0.971696, -0.122, 0.157, 49.7, 54.1, 392.3, -0.049, 0.157, 0.027
32, 31716, 6.894, 0.98, 1, -0.118409, 0.139855, -0.983067, -0.174204, 0.142365, -0.974364, -0.148, 0.143, 49.3, 55.4, 390.7, -0.045, 0.152, 0.027
33, 31716, 7.038, 0.98, 1, -0.115283, 0.119381, -0.986133, -0.159982, 0.145827, -0.976289, -0.139, 0.134, 49.1, 56.0, 392.1, -0.034, 0.154, 0.022
