frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 609, 17.054, 0.98, 1, 0.039029, -0.047852, -0.998092, -0.127226, -0.033829, -0.991297, -0.044, -0.041, 35.6, 108.3, 403.7, -0.113, -0.000, 0.027
2, 609, 17.495, 0.98, 1, -0.074305, -0.068035, -0.994912, -0.155401, -0.021628, -0.987615, -0.115, -0.045, 35.9, 107.7, 408.1, -0.125, 0.000, 0.027
3, 609, 17.593, 0.98, 1, -0.054073, -0.050555, -0.997256, -0.134079, -0.042411, -0.990063, -0.094, -0.047, 36.1, 107.6, 407.8, -0.130, -0.007, 0.030
4, 609, 17.694, 0.98, 1, -0.068076, -0.024514, -0.997379, -0.199338, -0.012451, -0.979852, -0.134, -0.019, 36.5, 107.6, 409.8, -0.131, -0.010, 0.026
5, 609, 17.793, 0.98, 1, -0.068948, -0.019310, -0.997433, -0.214020, -0.018776, -0.976649, -0.142, -0.019, 36.8, 107.6, 410.3, -0.123, -0.005, 0.024
6, 609, 17.922, 0.98, 1, 0.004820, -0.051577, -0.998657, -0.066651, -0.015831, -0.997651, -0.031, -0.034, 37.5, 106.5, 408.5, -0.124, -0.009, 0.022
7, 609, 18.054, 0.98, 1, 0.031297, 0.002460, -0.999507, -0.109534, -0.017287, -0.993833, -0.039, -0.007, 37.6, 106.6, 410.0, -0.114, -0.007, 0.021
8, 609, 18.161, 0.98, 1, -0.085191, -0.009609, -0.996318, -0.196591, 0.000592, -0.980485, -0.142, -0.005, 37.0, 107.1, 411.4, -0.109, 0.006, 0.015
9, 609, 18.258, 0.98, 1, -0.074963, -0.059921, -0.995384, -0.191058, 0.004947, -0.981566, -0.134, -0.028, 36.7, 107.0, 411.8, -0.109, 0.007, 0.014
10, 609, 18.361, 0.98, 1, -0.080894, -0.041346, -0.995865, -0.188855, -0.016310, -0.981870, -0.136, -0.029, 36.2, 106.7, 410.9, -0.117, 0.010, 0.010
11, 609, 18.449, 0.98, 1, -0.094290, -0.028178, -0.995146, -0.183779, 0.018146, -0.982800, -0.140, -0.005, 35.4, 106.5, 410.1, -0.114, 0.012, 0.007
12, 609, 18.553, 0.98, 1, -0.056349, -0.011749, -0.998342, -0.198796, 0.000221, -0.980041, -0.128, -0.006, 34.9, 106.9, 411.7, -0.119, 0.012, 0.005
13, 609, 18.697, 0.98, 1, -0.069926, -0.023716, -0.997270, -0.208412, 0.012304, -0.977964, -0.140, -0.006, 34.0, 106.9, 412.2, -0.117, 0.013, 0.004
14, 609, 18.795, 0.98, 1, 0.080562, -0.012131, -0.996676, -0.030006, 0.020586, -0.999338, 0.025, 0.004, 32.6, 107.5, 412.7, -0.129, 0.015, 0.004
15, 609, 18.899, 0.98, 1, 0.087885, -0.036066, -0.995477, -0.046260, 0.035399, -0.998302, 0.021, -0.000, 32.8, 106.2, 411.7, -0.131, 0.008, 0.007
16, 609, 19.001, 0.98, 1, 0.086678, -0.043515, -0.995286, -0.001810, -0.002013, -0.999996, 0.043, -0.023, 33.4, 106.8, 413.6, -0.137, 0.002, 0.010
17, 609, 19.122, 0.98, 1, 0.065711, -0.018072, -0.997675, 0.015948, 0.018055, -0.999710, 0.041, -0.000, 35.3, 106.7, 412.3, -0.138, -0.007, 0.015
18, 609, 19.223, 0.98, 1, 0.073944, -0.053680, -0.995817, -0.023049, 0.010693, -0.999677, 0.025, -0.022, 35.9, 107.3, 413.3, -0.137, -0.006, 0.011
19, 609, 19.320, 0.98, 1, 0.063218, -0.011053, -0.997939, -0.029817, 0.012518, -0.999477, 0.017, 0.001, 36.8, 105.7, 410.9, -0.142, -0.011, 0.016
20, 609, 19.426, 0.98, 1, 0.048419, -0.010719, -0.998770, -0.046730, 0.007567, -0.998879, 0.001, -0.002, 37.6, 105.9, 410.8, -0.135, -0.018, 0.015
21, 609, 19.529, 0.98, 1, 0.056289, -0.020073, -0.998213, -0.019459, -0.021501, -0.999579, 0.018, -0.021, 37.8, 106.3, 412.3, -0.134, -0.018, 0.013
22, 609, 19.622, 0.98, 1, 0.065639, -0.069237, -0.995438, -0.016201, -0.004170, -0.999860, 0.025, -0.037, 37.9, 106.3, 411.8, -0.130, -0.019, 0.012
23, 609, 19.726, 0.98, 1, 0.067198, -0.022062, -0.997496, -0.003530, 0.010273, -0.999941, 0.032, -0.006, 37.9, 105.8, 411.6, -0.132, -0.023, 0.010
24, 609, 19.827, 0.98, 1, 0.045743, -0.040881, -0.998116, -0.046768, -0.013336, -0.998817, -0.001, -0.027, 38.2, 105.9, 411.5, -0.138, -0.027, 0.012
25, 609, 19.950, 0.98, 1, 0.049779, -0.016686, -0.998621, -0.031314, 0.029585, -0.999072, 0.009, 0.006, 38.8, 106.3, 410.9, -0.132, -0.036, 0.013
26, 609, 20.044, 0.98, 1, 0.023008, -0.048804, -0.998543, -0.035726, 0.031532, -0.998864, -0.006, -0.009, 39.2, 105.5, 410.9, -0.129, -0.035, 0.015
27, 609, 20.149, 0.98, 1, 0.039100, -0.005204, -0.999222, -0.011842, 0.030786, -0.999456, 0.014, 0.013, 40.0, 106.3, 410.4, -0.120, -0.045, 0.016
28, 609, 20.245, 0.98, 1, 0.005724, -0.034105, -0.999402, -0.042416, 0.026397, -0.998751, -0.018, -0.004, 40.3, 105.6, 410.1, -0.122, -0.046, 0.015
29, 609, 20.342, 0.98, 1, -0.014627, -0.034430, -0.999300, -0.165918, 0.002019, -0.986138, -0.091, -0.016, 40.6, 106.9, 413.3, -0.132, -0.042, 0.015
30, 609, 20.489, 0.98, 1, -0.016383, -0.004786, -0.999854, -0.175625, 0.003563, -0.984451, -0.096, -0.001, 40.4, 107.0, 412.4, -0.129, -0.042, 0.014
31, 609, 20.623, 0.98, 1, -0.032993, -0.003271, -0.999450, -0.162231, 0.019892, -0.986552, -0.098, 0.008, 40.0, 106.8, 412.3, -0.124, -0.039, 0.013
32, 609, 20.737, 0.98, 1, -0.042963, -0.049118, -0.997869, -0.150779, -0.000550, -0.988567, -0.097, -0.025, 39.4, 107.2, 411.1, -0.109, -0.036, 0.017
33, 609, 20.844, 0.98, 1, 0.101064, 0.049192, -0.993663, 0.001412, 0.054246, -0.998527, 0.051, 0.052, 38.8, 106.2, 408.2, -0.100, -0.034, 0.016
34, 609, 20.951, 0.98, 1, 0.085155, 0.012681, -0.996287, 0.012184, 0.044399, -0.998940, 0.049, 0.029, 38.6, 106.4, 410.2, -0.111, -0.039, 0.017
35, 609, 21.087, 0.98, 1, -0.054521, -0.014978, -0.998400, -0.162364, 0.033536, -0.986161, -0.109, 0.009, 37.0, 106.6, 406.6, -0.079, -0.028, 0.014
36, 609, 21.210, 0.98, 1, -0.051872, -0.019107, -0.998471, -0.181217, 0.017520, -0.983287, -0.117, -0.001, 36.7, 106.6, 410.1, -0.130, -0.036, 0.021
37, 609, 21.307, 0.98, 1, -0.024635, -0.033833, -0.999124, -0.183868, 0.002069, -0.982949, -0.105, -0.016, 36.1, 106.5, 410.5, -0.134, -0.023, 0.015
38, 609, 21.409, 0.98, 1, -0.050603, -0.053031, -0.997310, -0.167144, 0.004687, -0.985921, -0.109, -0.024, 36.0, 106.7, 411.2, -0.139, -0.026, 0.012
39, 609, 21.514, 0.98, 1, -0.038374, -0.050222, -0.998001, -0.193918, -0.037834, -0.980288, -0.117, -0.044, 35.5, 106.5, 411.7, -0.157, -0.029, 0.016
40, 609, 21.611, 0.98, 1, -0.020602, -0.023103, -0.999521, -0.162425, -0.033857, -0.986140, -0.092, -0.029, 34.7, 106.7, 410.1, -0.142, -0.026, 0.015
41, 609, 21.731, 0.98, 1, -0.029709, -0.031947, -0.999048, -0.162108, 0.001715, -0.986772, -0.096, -0.015, 33.7, 106.4, 407.6, -0.114, -0.016, 0.010
42, 609, 21.831, 0.98, 1, 0.081808, -0.016901, -0.996505, 0.020921, 0.062183, -0.997845, 0.051, 0.023, 33.5, 106.6, 404.8, -0.102, -0.016, 0.011
43, 609, 21.936, 0.98, 1, 0.064022, -0.016557, -0.997811, 0.016272, 0.033718, -0.999299, 0.040, 0.009, 33.8, 106.0, 403.5, -0.116, -0.025, 0.015
44, 609, 22.030, 0.98, 1, 0.083534, -0.043671, -0.995548, 0.013464, 0.027096, -0.999542, 0.049, -0.008, 35.1, 106.6, 407.6, -0.135, -0.033, 0.017
45, 609, 22.141, 0.98, 1, 0.077725, -0.000062, -0.996975, -0.006148, 0.012237, -0.999906, 0.036, 0.006, 35.9, 105.8, 408.5, -0.154, -0.039, 0.021
46, 609, 22.242, 0.98, 1, 0.105626, -0.069109, -0.992002, 0.023306, -0.021820, -0.999490, 0.065, -0.046, 37.1, 105.4, 410.8, -0.174, -0.051, 0.027
47, 609, 22.339, 0.98, 1, 0.073302, -0.096987, -0.992583, 0.021661, -0.054646, -0.998271, 0.048, -0.076, 37.3, 103.7, 411.4, -0.191, -0.046, 0.029
48, 609, 22.458, 0.98, 1, 0.042284, -0.041563, -0.998241, -0.016825, -0.069809, -0.997418, 0.013, -0.056, 39.5, 101.0, 411.0, -0.199, -0.064, 0.030
49, 609, 22.556, 0.98, 1, 0.046993, -0.032371, -0.998371, -0.010930, -0.043257, -0.999004, 0.018, -0.038, 41.8, 100.7, 408.9, -0.192, -0.094, 0.029
50, 609, 22.654, 0.98, 1, 0.082074, -0.039720, -0.995834, -0.007083, -0.055175, -0.998452, 0.038, -0.048, 42.9, 100.7, 411.7, -0.201, -0.092, 0.018
51, 609, 22.753, 0.98, 1, 0.108235, -0.083489, -0.990613, -0.015287, -0.076272, -0.996970, 0.047, -0.080, 43.5, 99.8, 411.3, -0.209, -0.086, 0.012
52, 609, 22.857, 0.98, 1, 0.102956, -0.054341, -0.993200, -0.031696, -0.040863, -0.998662, 0.036, -0.048, 44.5, 99.6, 412.6, -0.208, -0.086, 0.009
53, 609, 22.962, 0.98, 1, 0.102553, -0.020229, -0.994522, -0.015193, -0.035050, -0.999270, 0.044, -0.028, 46.1, 99.3, 412.5, -0.208, -0.083, 0.014
54, 609, 23.063, 0.98, 1, 0.139534, -0.061242, -0.988322, -0.037712, -0.039562, -0.998505, 0.051, -0.051, 46.9, 99.1, 414.2, -0.204, -0.092, 0.015
