frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 26520, 3.706, 0.98, 1, 0.070921, 0.042213, -0.996588, -0.015846, 0.030101, -0.999421, 0.028, 0.036, -20.1, 30.6, 380.9, -0.082, -0.068, 0.079
2, 26520, 4.138, 0.98, 1, 0.160381, 0.049949, -0.985791, 0.124202, 0.058696, -0.990519, 0.143, 0.055, -19.9, 30.5, 379.3, -0.088, -0.074, 0.089
3, 26520, 4.223, 0.98, 1, 0.157891, 0.061542, -0.985537, 0.083607, 0.015410, -0.996380, 0.121, 0.039, -19.9, 30.6, 378.7, -0.093, -0.079, 0.093
4, 26520, 4.316, 0.98, 1, 0.012081, 0.003411, -0.999921, -0.029835, -0.017099, -0.999409, -0.009, -0.007, -20.3, 30.7, 378.6, -0.105, -0.080, 0.093
5, 26520, 4.405, 0.98, 1, 0.019441, -0.000060, -0.999811, -0.016967, -0.027691, -0.999473, 0.001, -0.014, -20.5, 30.8, 378.8, -0.112, -0.084, 0.093
6, 26520, 4.501, 0.98, 1, 0.179712, 0.070638, -0.981180, 0.057376, 0.031861, -0.997844, 0.119, 0.052, -20.3, 31.2, 380.4, -0.109, -0.086, 0.098
7, 26520, 4.595, 0.98, 1, 0.157021, 0.047020, -0.986475, 0.047759, 0.047570, -0.997725, 0.103, 0.048, -20.3, 31.2, 379.4, -0.114, -0.087, 0.097
8, 26520, 4.670, 0.98, 1, 0.150693, 0.059409, -0.986794, 0.050084, 0.005553, -0.998730, 0.101, 0.033, -20.9, 31.1, 377.8, -0.112, -0.081, 0.095
9, 26520, 4.761, 0.98, 1, 0.075668, 0.025677, -0.996802, -0.048885, -0.001422, -0.998803, 0.013, 0.012, -21.3, 31.2, 378.8, -0.112, -0.082, 0.093
10, 26520, 4.847, 0.98, 1, 0.074602, 0.009814, -0.997165, -0.026095, 0.009199, -0.999617, 0.024, 0.010, -21.4, 31.0, 377.7, -0.110, -0.082, 0.091
