frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
2, 31582, 12.100, 0.98, 1, -0.097673, 0.110530, -0.989062, -0.289265, 0.107347, -0.951211, -0.197, 0.112, 49.8, 49.1, 386.1, -0.060, 0.171, 0.044
3, 31582, 12.203, 0.98, 1, -0.088019, 0.134158, -0.987043, -0.279564, 0.122092, -0.952333, -0.187, 0.131, 49.8, 49.5, 387.8, -0.056, 0.171, 0.044
4, 31582, 12.306, 0.98, 1, -0.105310, 0.134289, -0.985331, -0.241557, 0.153639, -0.958147, -0.177, 0.147, 49.5, 50.7, 389.3, -0.030, 0.178, 0.031
5, 31582, 12.415, 0.98, 1, -0.067126, 0.140505, -0.987802, -0.269948, 0.156157, -0.950128, -0.172, 0.152, 48.9, 50.0, 385.4, -0.017, 0.175, 0.025
6, 31582, 12.526, 0.98, 1, -0.071787, 0.153694, -0.985507, -0.253039, 0.177461, -0.951041, -0.166, 0.169, 49.0, 51.2, 387.4, -0.006, 0.175, 0.022
7, 31582, 12.637, 0.98, 1, -0.088681, 0.150782, -0.984581, -0.226220, 0.178765, -0.957532, -0.161, 0.168, 48.8, 52.2, 387.5, -0.001, 0.172, 0.016
8, 31582, 12.745, 0.98, 1, -0.084162, 0.165777, -0.982565, -0.239067, 0.201220, -0.949925, -0.166, 0.188, 48.6, 54.1, 388.3, 0.020, 0.172, 0.007
9, 31582, 12.869, 0.98, 1, -0.121444, 0.182440, -0.975688, -0.224434, 0.193800, -0.955024, -0.177, 0.192, 48.4, 55.5, 388.7, 0.029, 0.174, -0.000
10, 31582, 12.986, 0.98, 1, -0.116875, 0.190282, -0.974748, -0.203442, 0.194245, -0.959625, -0.164, 0.196, 48.4, 56.3, 388.6, 0.036, 0.171, -0.003
11, 31582, 13.125, 0.98, 1, -0.109880, 0.183609, -0.976839, -0.229949, 0.181141, -0.956196, -0.174, 0.187, 49.0, 57.3, 390.1, 0.035, 0.167, -0.004
12, 31582, 13.245, 0.98, 1, -0.051963, 0.213870, -0.975479, -0.186100, 0.234697, -0.954088, -0.123, 0.228, 49.9, 58.8, 390.3, 0.038, 0.162, -0.001
13, 31582, 13.361, 0.98, 1, -0.032845, 0.162281, -0.986198, -0.162791, 0.209835, -0.964089, -0.100, 0.189, 50.3, 59.3, 391.1, 0.027, 0.155, 0.004
14, 31582, 13.510, 0.98, 1, -0.014356, 0.177607, -0.983997, -0.168921, 0.224404, -0.959744, -0.094, 0.204, 50.1, 60.0, 389.3, 0.050, 0.154, 0.004
15, 31582, 13.647, 0.98, 1, -0.043998, 0.173622, -0.983829, -0.173795, 0.217965, -0.960358, -0.112, 0.199, 49.6, 59.8, 387.0, 0.051, 0.156, 0.005
16, 31582, 13.792, 0.98, 1, -0.087931, 0.183102, -0.979154, -0.181894, 0.193967, -0.963998, -0.138, 0.192, 49.0, 60.8, 387.4, 0.060, 0.152, 0.006
17, 31582, 13.938, 0.98, 1, -0.053412, 0.181925, -0.981861, -0.188999, 0.196172, -0.962183, -0.124, 0.192, 48.7, 61.0, 387.5, 0.047, 0.143, 0.007
18, 31582, 14.085, 0.98, 1, -0.128240, 0.183108, -0.974693, -0.161770, 0.192526, -0.967866, -0.148, 0.191, 48.7, 61.4, 389.5, 0.043, 0.146, 0.007
19, 31582, 14.230, 0.98, 1, -0.111366, 0.209933, -0.971352, -0.194914, 0.202610, -0.959665, -0.157, 0.210, 48.4, 61.2, 387.0, 0.034, 0.142, 0.007
20, 31582, 14.366, 0.98, 1, 0.005518, 0.169317, -0.985546, -0.193213, 0.194853, -0.961614, -0.096, 0.185, 49.6, 62.9, 393.5, 0.014, 0.147, 0.019
21, 31582, 14.517, 0.98, 1, -0.028524, 0.150005, -0.988274, -0.132179, 0.193778, -0.972100, -0.082, 0.174, 49.5, 61.1, 390.5, 0.003, 0.141, 0.014
22, 31582, 14.672, 0.98, 1, -0.104277, 0.180851, -0.977967, -0.178142, 0.198227, -0.963832, -0.144, 0.193, 48.5, 60.3, 390.1, 0.014, 0.146, 0.000
23, 31582, 14.818, 0.98, 1, -0.109410, -0.053237, -0.992570, -0.130750, 0.178273, -0.975255, -0.121, 0.063, 39.1, 61.6, 370.4, -0.021, 0.117, -0.042
24, 31582, 14.966, 0.98, 1, -0.132532, 0.177646, -0.975129, -0.160328, 0.196960, -0.967213, -0.150, 0.191, 20.0, 74.3, 351.6, 0.115, 0.204, -0.083
25, 31582, 15.558, 0.98, 1, -0.191566, 0.217390, -0.957102, -0.148643, 0.255894, -0.955208, -0.176, 0.243, 26.2, 73.5, 349.7, 0.163, 0.146, -0.079
26, 31582, 15.717, 0.98, 1, -0.012892, 0.183990, -0.982844, -0.022943, 0.209758, -0.977484, -0.018, 0.198, 27.5, 71.8, 351.0, 0.099, 0.130, -0.087
27, 31582, 15.863, 0.98, 1, -0.004323, 0.134188, -0.990946, -0.026000, 0.214528, -0.976372, -0.015, 0.175, 28.3, 69.8, 353.7, 0.066, 0.133, -0.090
28, 31582, 16.029, 0.98, 1, -0.010994, 0.126324, -0.991928, -0.049432, 0.192565, -0.980038, -0.031, 0.160, 29.3, 67.5, 354.4, 0.040, 0.137, -0.084
29, 31582, 16.169, 0.98, 1, -0.019878, 0.130482, -0.991251, -0.045792, 0.190384, -0.980641, -0.033, 0.161, 30.2, 66.4, 356.8, 0.029, 0.144, -0.086
30, 31582, 16.298, 0.98, 1, -0.072693, 0.118810, -0.990252, -0.049267, 0.186199, -0.981276, -0.062, 0.153, 30.6, 64.3, 357.3, -0.002, 0.148, -0.084
31, 31582, 16.444, 0.98, 1, -0.123575, 0.123598, -0.984608, -0.186358, 0.162981, -0.968869, -0.157, 0.146, 30.3, 63.5, 357.8, -0.004, 0.156, -0.084
32, 31582, 16.587, 0.98, 1, -0.135385, 0.149295, -0.979481, -0.177749, 0.168507, -0.969541, -0.159, 0.162, 29.8, 62.7, 355.4, -0.022, 0.159, -0.081
33, 31582, 16.737, 0.98, 1, -0.050906, 0.129298, -0.990298, -0.087396, 0.168494, -0.981821, -0.070, 0.150, 28.8, 62.2, 352.6, -0.037, 0.170, -0.088
34, 31582, 16.883, 0.98, 1, -0.034051, 0.121240, -0.992039, -0.102168, 0.159367, -0.981918, -0.069, 0.141, 28.1, 62.2, 352.4, -0.039, 0.175, -0.094
35, 31582, 17.043, 0.98, 1, -0.166850, 0.148611, -0.974718, -0.225295, 0.164715, -0.960266, -0.200, 0.161, 27.4, 62.7, 353.3, -0.038, 0.174, -0.096
36, 31582, 17.190, 0.98, 1, -0.139485, 0.128984, -0.981788, -0.200885, 0.156144, -0.967090, -0.173, 0.145, 26.4, 62.8, 350.8, -0.030, 0.176, -0.098
37, 31582, 17.352, 0.98, 1, -0.069654, 0.151618, -0.985982, -0.203591, 0.195708, -0.959296, -0.140, 0.177, 25.7, 63.6, 352.0, -0.004, 0.186, -0.109
38, 31582, 17.517, 0.98, 1, 0.026264, 0.124666, -0.991851, -0.145690, 0.178328, -0.973126, -0.061, 0.153, 25.8, 64.3, 356.4, -0.013, 0.197, -0.095
39, 31582, 17.666, 0.98, 1, -0.009940, 0.086456, -0.996206, -0.075204, 0.136587, -0.987769, -0.043, 0.112, 25.4, 63.2, 354.6, -0.020, 0.193, -0.091
40, 31582, 17.810, 0.98, 1, -0.157981, 0.150707, -0.975874, -0.180664, 0.167103, -0.969246, -0.172, 0.162, 25.6, 62.9, 354.6, -0.026, 0.191, -0.088
41, 31582, 17.954, 0.98, 1, -0.130653, 0.121329, -0.983976, -0.196884, 0.165701, -0.966323, -0.166, 0.146, 25.5, 62.5, 354.9, -0.033, 0.191, -0.086
42, 31582, 18.108, 0.98, 1, -0.143301, 0.142449, -0.979374, -0.202866, 0.160525, -0.965959, -0.176, 0.155, 25.8, 62.2, 354.2, -0.029, 0.193, -0.086
43, 31582, 18.252, 0.98, 1, -0.013858, 0.129234, -0.991517, -0.098354, 0.152273, -0.983433, -0.057, 0.142, 31.3, 64.1, 357.4, 0.003, 0.177, -0.061
44, 31582, 18.396, 0.98, 1, -0.048481, 0.114074, -0.992289, -0.072223, 0.108472, -0.991472, -0.061, 0.112, 34.0, 64.3, 358.0, -0.006, 0.167, -0.045
45, 31582, 18.547, 0.98, 1, -0.126442, 0.166033, -0.977980, -0.130476, 0.160060, -0.978446, -0.131, 0.165, 34.5, 64.5, 356.8, 0.004, 0.164, -0.043
46, 31582, 18.701, 0.98, 1, -0.180308, 0.175591, -0.967810, -0.264728, 0.191039, -0.945211, -0.229, 0.189, 32.0, 64.6, 355.6, 0.016, 0.171, -0.053
47, 31582, 18.852, 0.98, 1, -0.165326, 0.139453, -0.976330, -0.240447, 0.165850, -0.956388, -0.207, 0.157, 28.7, 65.6, 358.1, 0.021, 0.187, -0.067
48, 31582, 19.000, 0.98, 1, -0.155374, 0.152531, -0.976009, -0.222544, 0.162851, -0.961225, -0.193, 0.161, 28.2, 65.9, 359.5, 0.021, 0.194, -0.070
49, 31582, 19.146, 0.98, 1, -0.107140, 0.181650, -0.977509, -0.095798, 0.183139, -0.978408, -0.103, 0.184, 28.9, 65.3, 356.1, 0.011, 0.180, -0.061
50, 31582, 19.288, 0.98, 1, -0.080688, 0.180907, -0.980185, -0.103222, 0.179494, -0.978329, -0.094, 0.182, 29.8, 65.6, 357.4, 0.019, 0.179, -0.060
51, 31582, 19.446, 0.98, 1, -0.164869, 0.164824, -0.972446, -0.206611, 0.183678, -0.961028, -0.190, 0.178, 30.1, 65.8, 358.7, 0.016, 0.178, -0.058
