frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 423, 31.681, 0.93, 1, 0.120278, 0.152878, -0.980898, 0.015255, 0.179096, -0.983713, 0.069, 0.167, -65.1, 44.4, 463.3, 0.110, -0.104, -0.004
2, 423, 32.131, 0.93, 1, 0.064514, 0.134035, -0.988874, -0.033299, 0.164952, -0.985739, 0.016, 0.150, -55.7, 44.3, 441.5, 0.130, -0.093, 0.004
3, 423, 32.234, 0.93, 1, 0.073910, 0.152789, -0.985491, -0.031519, 0.182002, -0.982793, 0.022, 0.168, -58.9, 44.7, 435.7, 0.141, -0.085, 0.000
4, 423, 32.347, 0.93, 1, 0.076465, 0.160578, -0.984057, -0.015489, 0.181484, -0.983272, 0.031, 0.172, -62.5, 44.8, 431.8, 0.145, -0.082, -0.001
5, 423, 32.429, 0.93, 1, 0.087119, 0.161975, -0.982942, -0.023864, 0.182986, -0.982826, 0.032, 0.174, -67.1, 44.1, 430.9, 0.139, -0.081, -0.007
6, 423, 32.513, 0.93, 1, 0.095220, 0.149973, -0.984094, -0.012855, 0.186350, -0.982399, 0.042, 0.169, -69.8, 43.8, 429.4, 0.144, -0.090, -0.010
7, 423, 32.605, 0.93, 1, 0.102710, 0.158173, -0.982055, -0.005676, 0.197133, -0.980360, 0.049, 0.179, -71.5, 43.4, 428.9, 0.143, -0.094, -0.010
8, 423, 32.702, 0.93, 1, 0.103410, 0.165713, -0.980737, -0.015053, 0.185015, -0.982620, 0.045, 0.177, -73.9, 42.9, 430.1, 0.150, -0.090, -0.007
9, 423, 32.796, 0.93, 1, 0.193368, 0.204777, -0.959518, 0.080167, 0.233822, -0.968969, 0.141, 0.224, -75.2, 42.2, 431.1, 0.136, -0.096, -0.005
10, 423, 32.884, 0.93, 1, 0.200280, 0.210350, -0.956891, 0.067124, 0.226142, -0.971779, 0.138, 0.223, -75.2, 42.1, 429.6, 0.149, -0.098, 0.001
11, 423, 32.973, 0.93, 1, 0.192688, 0.176608, -0.965236, 0.085671, 0.201790, -0.975675, 0.142, 0.193, -75.2, 41.6, 429.6, 0.143, -0.104, 0.002
12, 423, 33.069, 0.93, 1, 0.214390, 0.216941, -0.952352, 0.115441, 0.256365, -0.959662, 0.171, 0.243, -74.4, 41.4, 429.0, 0.136, -0.104, 0.007
13, 423, 33.158, 0.93, 1, 0.252179, 0.198294, -0.947146, 0.128062, 0.235499, -0.963400, 0.196, 0.223, -73.6, 41.4, 428.9, 0.140, -0.110, 0.008
