frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 31207, 76.808, 0.98, 1, -0.155849, 0.067037, -0.985503, -0.175270, 0.033825, -0.983939, -0.167, 0.051, 48.9, 59.7, 389.0, -0.017, 0.181, 0.034
2, 31207, 77.366, 0.98, 1, -0.209073, 0.117632, -0.970799, -0.185075, 0.038842, -0.981956, -0.199, 0.080, 49.0, 58.7, 389.0, -0.022, 0.172, 0.043
3, 31207, 77.481, 0.98, 1, -0.213814, 0.117902, -0.969733, -0.198021, 0.052882, -0.978770, -0.208, 0.087, 48.6, 58.9, 388.7, -0.009, 0.172, 0.040
4, 31207, 77.597, 0.98, 1, -0.225454, 0.160717, -0.960906, -0.247069, 0.088726, -0.964927, -0.241, 0.129, 48.4, 59.3, 389.0, -0.006, 0.171, 0.038
5, 31207, 77.719, 0.98, 1, -0.225075, 0.174765, -0.958540, -0.244026, 0.094025, -0.965200, -0.239, 0.139, 48.4, 59.2, 390.4, 0.000, 0.173, 0.035
6, 31207, 77.832, 0.98, 1, -0.191895, 0.152769, -0.969452, -0.169447, 0.135558, -0.976172, -0.184, 0.147, 48.2, 59.8, 387.5, -0.010, 0.166, 0.040
7, 31207, 77.967, 0.98, 1, -0.045781, 0.102145, -0.993715, -0.113885, 0.146943, -0.982567, -0.081, 0.125, 48.2, 59.8, 387.8, -0.012, 0.161, 0.042
8, 31207, 78.086, 0.98, 1, -0.037950, 0.105882, -0.993654, -0.094636, 0.144195, -0.985014, -0.067, 0.126, 48.2, 60.1, 388.1, -0.020, 0.152, 0.050
9, 31207, 78.236, 0.98, 1, -0.194547, 0.173800, -0.965373, -0.192918, 0.112809, -0.974709, -0.197, 0.147, 48.7, 60.6, 390.1, -0.012, 0.159, 0.051
10, 31207, 78.399, 0.98, 1, -0.198263, 0.167865, -0.965667, -0.185906, 0.108985, -0.976505, -0.195, 0.142, 49.0, 60.9, 390.6, -0.012, 0.167, 0.049
11, 31207, 78.538, 0.98, 1, -0.063851, 0.154459, -0.985934, -0.147277, 0.175331, -0.973431, -0.107, 0.167, 49.8, 61.3, 390.8, -0.015, 0.157, 0.051
12, 31207, 78.661, 0.98, 1, -0.128010, 0.166558, -0.977687, -0.153116, 0.155531, -0.975892, -0.143, 0.163, 49.1, 62.9, 388.9, 0.010, 0.165, 0.044
13, 31207, 78.779, 0.98, 1, -0.163355, 0.162154, -0.973150, -0.175783, 0.131306, -0.975633, -0.172, 0.149, 47.8, 63.7, 387.0, 0.019, 0.167, 0.039
14, 31207, 78.903, 0.98, 1, -0.083050, 0.172265, -0.981543, -0.121529, 0.168376, -0.978203, -0.104, 0.172, 47.0, 65.7, 387.6, 0.038, 0.170, 0.030
15, 31207, 79.024, 0.98, 1, -0.073675, 0.169128, -0.982837, -0.138171, 0.163534, -0.976814, -0.108, 0.168, 45.7, 66.5, 386.3, 0.057, 0.168, 0.024
16, 31207, 79.166, 0.98, 1, -0.187199, 0.216550, -0.958156, -0.224756, 0.165218, -0.960306, -0.212, 0.196, 43.8, 67.8, 382.1, 0.075, 0.161, 0.023
17, 31207, 79.322, 0.98, 1, -0.100759, 0.205843, -0.973384, -0.118787, 0.203329, -0.971878, -0.112, 0.207, 40.6, 69.3, 380.4, 0.104, 0.176, 0.006
18, 31207, 79.482, 0.98, 1, -0.095935, 0.189860, -0.977113, -0.127745, 0.200933, -0.971240, -0.114, 0.198, 39.8, 68.4, 378.5, 0.105, 0.181, -0.002
19, 31207, 79.640, 0.98, 1, -0.173395, 0.233982, -0.956654, -0.221191, 0.198788, -0.954755, -0.204, 0.223, 40.1, 68.0, 378.7, 0.121, 0.185, -0.007
20, 31207, 79.801, 0.98, 1, -0.185771, 0.234275, -0.954256, -0.231185, 0.193778, -0.953417, -0.215, 0.221, 40.7, 67.9, 378.9, 0.112, 0.179, -0.006
21, 31207, 79.957, 0.98, 1, -0.179297, 0.245047, -0.952788, -0.233351, 0.219355, -0.947328, -0.214, 0.240, 41.0, 67.8, 379.8, 0.127, 0.185, -0.011
22, 31207, 80.098, 0.98, 1, -0.089186, 0.203973, -0.974906, -0.142790, 0.205012, -0.968288, -0.119, 0.207, 40.7, 67.1, 379.3, 0.112, 0.178, -0.004
23, 31207, 80.261, 0.98, 1, -0.101555, 0.195289, -0.975474, -0.157422, 0.225734, -0.961386, -0.133, 0.214, 41.0, 66.3, 377.5, 0.108, 0.177, -0.006
24, 31207, 80.428, 0.98, 1, -0.197757, 0.237208, -0.951117, -0.226061, 0.208400, -0.951560, -0.219, 0.230, 41.2, 66.5, 379.8, 0.112, 0.181, -0.006
25, 31207, 80.589, 0.98, 1, -0.134360, 0.236563, -0.962281, -0.139517, 0.256390, -0.956451, -0.142, 0.251, 41.4, 66.3, 379.2, 0.103, 0.178, -0.001
26, 31207, 80.741, 0.98, 1, -0.118713, 0.215843, -0.969185, -0.114669, 0.248407, -0.961845, -0.120, 0.236, 41.7, 66.4, 379.2, 0.102, 0.176, 0.001
27, 31207, 80.894, 0.98, 1, -0.101911, 0.203929, -0.973667, -0.133299, 0.219925, -0.966367, -0.121, 0.215, 42.1, 66.4, 378.9, 0.089, 0.170, 0.006
28, 31207, 81.041, 0.98, 1, -0.089835, 0.194811, -0.976718, -0.143835, 0.201649, -0.968839, -0.120, 0.201, 42.3, 66.6, 380.3, 0.094, 0.172, 0.007
29, 31207, 81.193, 0.98, 1, -0.081542, 0.184710, -0.979404, -0.124975, 0.188248, -0.974138, -0.105, 0.189, 42.4, 66.7, 380.0, 0.096, 0.169, 0.008
30, 31207, 81.356, 0.98, 1, -0.078141, 0.188429, -0.978973, -0.123965, 0.183684, -0.975137, -0.103, 0.188, 42.5, 66.7, 379.8, 0.088, 0.168, 0.011
31, 31207, 81.502, 0.98, 1, -0.204724, 0.224965, -0.952617, -0.273500, 0.179558, -0.944964, -0.247, 0.210, 42.4, 66.8, 380.6, 0.091, 0.170, 0.009
32, 31207, 81.657, 0.98, 1, -0.175462, 0.211152, -0.961576, -0.281707, 0.185176, -0.941462, -0.236, 0.205, 42.4, 66.9, 381.0, 0.094, 0.170, 0.007
33, 31207, 81.803, 0.98, 1, -0.183196, 0.207380, -0.960954, -0.275056, 0.190906, -0.942284, -0.236, 0.206, 42.4, 66.9, 380.6, 0.088, 0.170, 0.007
34, 31207, 81.988, 0.98, 1, -0.176110, 0.221118, -0.959214, -0.280372, 0.199911, -0.938844, -0.236, 0.218, 42.5, 67.2, 382.3, 0.099, 0.171, 0.005
35, 31207, 82.170, 0.98, 1, -0.136426, 0.232184, -0.963057, -0.171975, 0.250204, -0.952797, -0.160, 0.247, 42.9, 66.9, 382.1, 0.094, 0.177, 0.008
36, 31207, 82.344, 0.98, 1, -0.127736, 0.174042, -0.976418, -0.179993, 0.175506, -0.967884, -0.157, 0.178, 44.2, 64.4, 384.0, 0.050, 0.178, 0.013
37, 31207, 82.524, 0.98, 1, -0.098128, 0.198340, -0.975209, -0.211256, 0.222173, -0.951846, -0.159, 0.215, 48.6, 63.5, 386.8, 0.043, 0.172, 0.030
38, 31207, 82.673, 0.98, 1, -0.146877, 0.244315, -0.958508, -0.283789, 0.245283, -0.926984, -0.225, 0.254, 49.4, 65.3, 385.1, 0.075, 0.165, 0.030
39, 31207, 82.833, 0.98, 1, -0.118461, 0.241413, -0.963165, -0.254567, 0.228348, -0.939709, -0.194, 0.242, 48.1, 66.4, 384.6, 0.086, 0.172, 0.024
40, 31207, 83.003, 0.98, 1, -0.084479, 0.230700, -0.969351, -0.211083, 0.240724, -0.947363, -0.153, 0.241, 47.2, 66.6, 385.2, 0.083, 0.175, 0.023
41, 31207, 83.157, 0.98, 1, -0.085966, 0.234644, -0.968273, -0.204870, 0.247991, -0.946852, -0.151, 0.247, 47.0, 67.1, 385.4, 0.091, 0.174, 0.023
42, 31207, 83.337, 0.98, 1, -0.113464, 0.225155, -0.967694, -0.217056, 0.231973, -0.948196, -0.171, 0.234, 46.5, 66.9, 384.8, 0.087, 0.175, 0.023
