frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 7044, 19.241, 0.98, 1, -0.047664, -0.015090, -0.998749, -0.281784, -0.049773, -0.958186, -0.167, -0.033, 13.9, 51.7, 438.2, -0.063, 0.147, 0.024
2, 7044, 19.753, 0.98, 1, -0.062238, 0.069363, -0.995648, -0.269525, -0.071061, -0.960368, -0.168, -0.001, 9.9, 50.6, 439.7, -0.081, 0.197, 0.023
3, 7044, 19.840, 0.98, 1, -0.051705, -0.047959, -0.997510, -0.263654, 0.093657, -0.960060, -0.160, 0.023, 9.5, 50.9, 440.8, -0.077, 0.174, 0.036
4, 7044, 19.931, 0.98, 1, -0.039049, -0.034907, -0.998627, -0.279878, -0.066668, -0.957718, -0.162, -0.052, 10.0, 50.6, 440.9, -0.069, 0.164, 0.037
5, 7044, 20.014, 0.98, 1, 0.001703, 0.033116, -0.999450, -0.258507, -0.037646, -0.965276, -0.130, -0.002, 9.9, 50.7, 441.6, -0.069, 0.165, 0.039
6, 7044, 20.099, 0.98, 1, -0.038237, 0.027425, -0.998892, -0.203826, 0.043422, -0.978044, -0.122, 0.036, 9.8, 50.5, 440.1, -0.075, 0.158, 0.039
7, 7044, 20.184, 0.98, 1, -0.027286, -0.011278, -0.999564, -0.207853, -0.100910, -0.972941, -0.119, -0.057, 9.9, 50.3, 438.2, -0.077, 0.174, 0.028
8, 7044, 20.271, 0.98, 1, -0.020731, 0.005787, -0.999768, -0.221182, 0.037159, -0.974524, -0.122, 0.022, 9.2, 51.1, 443.3, -0.069, 0.167, 0.046
9, 7044, 20.355, 0.98, 1, 0.023123, -0.011414, -0.999667, -0.102811, -0.048519, -0.993517, -0.040, -0.030, 9.3, 50.5, 440.7, -0.069, 0.155, 0.043
10, 7044, 20.434, 0.98, 1, 0.038542, 0.048321, -0.998088, -0.233704, -0.022095, -0.972057, -0.099, 0.013, 9.1, 50.6, 439.9, -0.068, 0.184, 0.029
11, 7044, 20.521, 0.98, 1, 0.066587, 0.030690, -0.997308, -0.134178, -0.108644, -0.984984, -0.034, -0.039, 9.4, 50.3, 438.6, -0.074, 0.162, 0.036
12, 7044, 20.607, 0.98, 1, 0.075134, 0.020802, -0.996956, -0.059513, 0.058128, -0.996534, 0.008, 0.040, 9.9, 50.2, 438.0, -0.078, 0.159, 0.039
13, 7044, 20.747, 0.93, 1, 0.082118, -0.005402, -0.996608, -0.055765, -0.066493, -0.996227, 0.013, -0.036, 10.8, 50.1, 438.6, -0.085, 0.164, 0.027
14, 7044, 20.823, 0.98, 1, 0.023749, 0.049044, -0.998514, -0.195876, -0.057933, -0.978916, -0.087, -0.004, 9.9, 50.8, 441.4, -0.079, 0.163, 0.042
15, 7044, 20.984, 0.98, 1, -0.069339, 0.001721, -0.997592, -0.289350, 0.080800, -0.953807, -0.182, 0.042, 10.5, 50.8, 440.3, -0.068, 0.156, 0.043
16, 7044, 21.069, 0.93, 1, -0.074666, 0.014826, -0.997098, -0.213525, -0.077594, -0.973851, -0.145, -0.032, 11.2, 50.4, 438.6, -0.078, 0.164, 0.027
17, 7044, 21.148, 0.98, 1, -0.091663, 0.047283, -0.994667, -0.257701, 0.053398, -0.964748, -0.176, 0.051, 10.1, 51.0, 441.8, -0.071, 0.169, 0.040
18, 7044, 21.225, 0.98, 1, -0.040683, -0.008025, -0.999140, -0.226840, 0.045286, -0.972879, -0.135, 0.019, 10.4, 50.5, 438.7, -0.070, 0.151, 0.040
19, 7044, 21.308, 0.93, 1, -0.057836, 0.041480, -0.997464, -0.284475, -0.020861, -0.958456, -0.173, 0.011, 10.8, 50.3, 438.1, -0.081, 0.169, 0.028
20, 7044, 21.403, 0.98, 1, -0.032436, -0.026859, -0.999113, -0.283941, 0.068397, -0.956399, -0.160, 0.021, 9.6, 50.9, 441.0, -0.073, 0.174, 0.041
21, 7044, 21.489, 0.93, 1, -0.080250, 0.020455, -0.996565, -0.302947, 0.055635, -0.951382, -0.194, 0.039, 10.0, 50.7, 439.9, -0.072, 0.166, 0.040
22, 7044, 21.569, 0.93, 1, -0.051849, 0.026849, -0.998294, -0.275375, -0.095419, -0.956590, -0.166, -0.035, 9.9, 50.5, 440.4, -0.073, 0.165, 0.039
23, 7044, 21.658, 0.93, 1, -0.038323, 0.000403, -0.999265, -0.262771, -0.022538, -0.964595, -0.152, -0.011, 9.6, 50.6, 439.2, -0.069, 0.162, 0.040
24, 7044, 21.742, 0.98, 1, -0.060573, 0.011817, -0.998094, -0.314484, 0.036887, -0.948546, -0.190, 0.025, 9.7, 50.8, 440.8, -0.068, 0.161, 0.042
25, 7044, 21.823, 0.98, 1, -0.058391, -0.012293, -0.998218, -0.243417, 0.055276, -0.968345, -0.152, 0.022, 9.6, 50.5, 438.2, -0.070, 0.178, 0.029
26, 7044, 21.984, 0.98, 1, 0.018971, -0.016236, -0.999688, -0.221814, 0.087314, -0.971172, -0.103, 0.036, 9.8, 50.2, 437.4, -0.076, 0.155, 0.035
27, 7044, 22.068, 0.93, 1, 0.022559, 0.045383, -0.998715, -0.081350, -0.111772, -0.990399, -0.030, -0.033, 10.5, 50.4, 439.6, -0.085, 0.164, 0.027
28, 7044, 22.205, 0.98, 1, 0.105153, 0.060430, -0.992618, -0.092076, 0.112204, -0.989410, 0.007, 0.087, 9.6, 50.8, 440.7, -0.073, 0.160, 0.043
29, 7044, 22.292, 0.98, 1, 0.075906, -0.028684, -0.996702, -0.134186, 0.011199, -0.990893, -0.029, -0.009, 10.6, 50.6, 439.7, -0.082, 0.158, 0.029
30, 7044, 22.374, 0.98, 1, 0.117105, -0.003195, -0.993114, -0.017808, 0.058458, -0.998131, 0.050, 0.028, 10.6, 50.1, 437.2, -0.092, 0.149, 0.025
31, 7044, 22.459, 0.98, 1, 0.098618, -0.054995, -0.993605, -0.101100, -0.076624, -0.991921, -0.001, -0.066, 10.1, 50.3, 437.6, -0.091, 0.152, 0.023
32, 7044, 22.537, 0.98, 1, 0.092456, 0.021838, -0.995477, -0.074499, -0.055506, -0.995675, 0.009, -0.017, 10.3, 50.7, 439.9, -0.091, 0.153, 0.023
33, 7044, 22.618, 0.98, 1, 0.074128, 0.040286, -0.996435, -0.063920, 0.086552, -0.994195, 0.005, 0.064, 10.5, 50.9, 439.2, -0.088, 0.150, 0.026
34, 7044, 22.700, 0.98, 1, 0.075970, 0.049131, -0.995899, -0.141066, 0.044990, -0.988977, -0.033, 0.047, 11.5, 51.4, 442.2, -0.090, 0.150, 0.032
35, 7044, 22.789, 0.98, 1, 0.076508, -0.013055, -0.996983, -0.146429, -0.072390, -0.986569, -0.035, -0.043, 12.5, 51.2, 441.3, -0.090, 0.135, 0.036
36, 7044, 22.869, 0.98, 1, 0.036569, 0.027024, -0.998966, -0.105966, 0.099868, -0.989342, -0.035, 0.064, 13.2, 51.1, 440.3, -0.091, 0.126, 0.040
37, 7044, 22.946, 0.98, 1, 0.061101, 0.053951, -0.996672, -0.173764, -0.055923, -0.983198, -0.057, -0.001, 13.9, 50.9, 441.7, -0.094, 0.127, 0.042
38, 7044, 23.031, 0.98, 1, 0.056858, 0.000755, -0.998382, -0.101985, 0.073936, -0.992034, -0.023, 0.038, 14.4, 50.7, 440.5, -0.086, 0.129, 0.044
39, 7044, 23.116, 0.98, 1, 0.075453, 0.007481, -0.997121, -0.070017, -0.030953, -0.997065, 0.003, -0.012, 15.5, 50.3, 440.3, -0.090, 0.120, 0.044
40, 7044, 23.201, 0.98, 1, 0.047377, 0.053719, -0.997432, -0.142636, 0.101913, -0.984514, -0.048, 0.078, 16.3, 49.7, 438.1, -0.096, 0.113, 0.048
41, 7044, 23.281, 0.98, 1, 0.066606, 0.018528, -0.997607, -0.067313, -0.125934, -0.989752, -0.000, -0.054, 16.7, 49.3, 437.7, -0.090, 0.114, 0.048
42, 7044, 23.359, 0.98, 1, 0.085027, -0.031281, -0.995887, -0.115931, -0.066774, -0.991010, -0.016, -0.049, 17.4, 49.2, 439.3, -0.091, 0.110, 0.052
43, 7044, 23.439, 0.98, 1, 0.085251, 0.067240, -0.994088, -0.070796, -0.005051, -0.997478, 0.007, 0.031, 17.7, 48.9, 437.8, -0.097, 0.106, 0.055
44, 7044, 23.517, 0.98, 1, 0.058726, 0.049651, -0.997039, -0.143490, -0.103105, -0.984266, -0.043, -0.027, 18.1, 48.6, 440.0, -0.099, 0.106, 0.056
45, 7044, 23.593, 0.98, 1, 0.008095, 0.040358, -0.999152, -0.140703, -0.026472, -0.989698, -0.067, 0.007, 18.0, 48.6, 439.1, -0.096, 0.114, 0.060
46, 7044, 23.676, 0.98, 1, 0.057823, -0.012070, -0.998254, -0.087824, -0.038671, -0.995385, -0.015, -0.025, 18.2, 48.3, 437.9, -0.095, 0.106, 0.059
47, 7044, 23.760, 0.98, 1, -0.073664, 0.062983, -0.995292, -0.192264, 0.013590, -0.981249, -0.134, 0.039, 18.1, 48.1, 435.7, -0.085, 0.103, 0.059
48, 7044, 23.849, 0.98, 1, -0.097368, 0.078731, -0.992130, -0.259976, -0.100814, -0.960338, -0.181, -0.011, 18.0, 48.3, 439.4, -0.094, 0.120, 0.062
49, 7044, 23.931, 0.98, 1, 0.050109, 0.055803, -0.997184, -0.152948, 0.070609, -0.985709, -0.052, 0.064, 18.1, 48.0, 436.9, -0.097, 0.112, 0.061
50, 7044, 24.021, 0.98, 1, 0.091460, 0.053395, -0.994376, -0.114947, 0.025644, -0.993041, -0.012, 0.040, 17.7, 47.8, 438.2, -0.103, 0.116, 0.060
51, 7044, 24.106, 0.98, 1, 0.037232, 0.097437, -0.994545, -0.088307, 0.013707, -0.995999, -0.026, 0.056, 17.8, 47.7, 440.6, -0.118, 0.117, 0.063
52, 7044, 24.189, 0.98, 1, 0.055700, -0.039516, -0.997665, -0.144349, -0.011880, -0.989456, -0.045, -0.026, 17.7, 47.1, 438.5, -0.124, 0.110, 0.063
53, 7044, 24.267, 0.98, 1, 0.091837, -0.033488, -0.995211, -0.178367, 0.045485, -0.982912, -0.044, 0.006, 17.7, 45.6, 438.1, -0.150, 0.105, 0.068
54, 7044, 24.351, 0.98, 1, 0.024344, 0.059213, -0.997949, -0.111177, 0.027209, -0.993428, -0.044, 0.043, 17.6, 45.1, 434.9, -0.149, 0.096, 0.071
55, 7044, 24.436, 0.98, 1, 0.068391, 0.014024, -0.997560, -0.154818, 0.002196, -0.987940, -0.044, 0.008, 17.3, 45.2, 426.4, -0.123, 0.093, 0.066
56, 7044, 24.518, 0.98, 1, 0.037234, 0.018009, -0.999144, -0.109361, 0.037097, -0.993310, -0.036, 0.028, 16.9, 44.8, 425.0, -0.128, 0.107, 0.073
57, 7044, 24.598, 0.98, 1, 0.041231, 0.025681, -0.998820, -0.178207, -0.056691, -0.982359, -0.069, -0.016, 16.5, 46.4, 427.3, -0.104, 0.103, 0.074
58, 7044, 24.672, 0.98, 1, 0.040381, 0.075937, -0.996295, -0.126622, 0.050508, -0.990664, -0.043, 0.064, 16.4, 47.6, 430.9, -0.088, 0.098, 0.069
59, 7044, 24.759, 0.98, 1, 0.007453, 0.068197, -0.997644, -0.138305, 0.009227, -0.990347, -0.066, 0.039, 15.5, 46.6, 433.3, -0.119, 0.111, 0.069
60, 7044, 24.839, 0.98, 1, -0.042159, 0.087477, -0.995274, -0.250206, 0.087267, -0.964252, -0.148, 0.089, 14.4, 46.4, 436.1, -0.129, 0.121, 0.068
61, 7044, 24.915, 0.98, 1, -0.005697, 0.070999, -0.997460, -0.254218, 0.070633, -0.964564, -0.132, 0.072, 13.9, 46.0, 435.8, -0.127, 0.125, 0.067
62, 7044, 24.994, 0.98, 1, -0.034082, 0.087397, -0.995590, -0.199024, 0.049580, -0.978740, -0.118, 0.069, 13.7, 45.8, 436.7, -0.129, 0.126, 0.071
63, 7044, 25.086, 0.98, 1, 0.038625, 0.034668, -0.998652, -0.145031, 0.045035, -0.988402, -0.053, 0.040, 14.0, 46.8, 436.9, -0.112, 0.120, 0.070
64, 7044, 25.168, 0.98, 1, -0.014326, 0.082905, -0.996454, -0.173098, 0.085942, -0.981148, -0.094, 0.085, 13.9, 46.4, 434.7, -0.111, 0.116, 0.070
65, 7044, 25.256, 0.98, 1, 0.032070, 0.055068, -0.997967, -0.165816, 0.089906, -0.982050, -0.067, 0.073, 13.8, 46.2, 437.4, -0.127, 0.122, 0.072
66, 7044, 25.334, 0.98, 1, -0.026985, 0.084721, -0.996039, -0.237447, -0.072698, -0.968676, -0.134, 0.006, 13.3, 46.7, 438.7, -0.119, 0.132, 0.067
67, 7044, 25.423, 0.98, 1, 0.004890, 0.120449, -0.992707, -0.287725, 0.007497, -0.957684, -0.144, 0.066, 12.9, 47.0, 438.9, -0.115, 0.146, 0.064
68, 7044, 25.503, 0.98, 1, -0.055689, 0.082203, -0.995058, -0.282595, 0.109229, -0.953000, -0.172, 0.098, 12.7, 46.5, 436.2, -0.111, 0.146, 0.062
69, 7044, 25.589, 0.98, 1, -0.031009, 0.085229, -0.995879, -0.179329, 0.105124, -0.978157, -0.106, 0.096, 12.7, 46.1, 437.9, -0.118, 0.157, 0.071
70, 7044, 25.678, 0.98, 1, -0.044353, 0.114528, -0.992429, -0.170436, 0.050538, -0.984072, -0.108, 0.083, 12.9, 45.5, 438.8, -0.116, 0.156, 0.070
71, 7044, 25.767, 0.98, 1, -0.007309, 0.051193, -0.998662, -0.217113, 0.063086, -0.974106, -0.113, 0.058, 12.7, 46.0, 439.6, -0.109, 0.161, 0.074
72, 7044, 25.846, 0.98, 1, -0.032864, 0.103348, -0.994102, -0.215354, 0.056604, -0.974894, -0.125, 0.081, 12.9, 46.0, 440.3, -0.113, 0.160, 0.073
73, 7044, 25.929, 0.93, 1, -0.002398, 0.080514, -0.996751, -0.287015, 0.100010, -0.952691, -0.147, 0.092, 12.8, 46.0, 441.3, -0.106, 0.165, 0.073
74, 7044, 26.015, 0.98, 1, 0.029846, 0.155625, -0.987365, -0.172016, 0.104164, -0.979571, -0.072, 0.131, 12.6, 46.0, 439.3, -0.098, 0.155, 0.091
