frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
2, 17385, 8.580, 0.98, 1, 0.100590, -0.041332, -0.994069, -0.037905, -0.056189, -0.997700, 0.031, -0.049, -27.9, 78.0, 408.4, -0.207, -0.017, 0.069
3, 17385, 8.689, 0.98, 1, 0.089588, -0.055109, -0.994453, 0.019536, -0.014647, -0.999702, 0.055, -0.035, -27.8, 77.7, 412.2, -0.221, -0.014, 0.071
4, 17385, 8.795, 0.98, 1, 0.087881, -0.031636, -0.995629, 0.003711, -0.032935, -0.999451, 0.046, -0.032, -28.2, 78.7, 414.8, -0.199, -0.016, 0.069
5, 17385, 8.906, 0.98, 1, 0.058596, 0.008895, -0.998242, -0.038023, 0.006152, -0.999258, 0.010, 0.008, -29.2, 78.8, 414.3, -0.187, -0.018, 0.067
6, 17385, 9.004, 0.98, 1, 0.079608, 0.006438, -0.996805, 0.029851, -0.019437, -0.999365, 0.055, -0.007, -29.5, 77.9, 411.3, -0.176, -0.023, 0.061
7, 17385, 9.108, 0.98, 1, 0.107257, 0.018978, -0.994050, 0.022614, -0.001196, -0.999744, 0.065, 0.009, -29.9, 78.8, 412.4, -0.168, -0.023, 0.061
8, 17385, 9.219, 0.98, 1, 0.063483, 0.015532, -0.997862, -0.013006, 0.036853, -0.999236, 0.025, 0.026, -30.2, 79.0, 414.6, -0.161, -0.016, 0.062
9, 17385, 9.322, 0.98, 1, 0.069836, -0.015387, -0.997440, -0.042795, -0.023687, -0.998803, 0.014, -0.020, -30.3, 79.4, 414.1, -0.154, -0.017, 0.060
10, 17385, 9.423, 0.98, 1, 0.079735, 0.023994, -0.996527, 0.001410, 0.009199, -0.999957, 0.041, 0.017, -30.1, 78.9, 412.8, -0.154, -0.023, 0.059
11, 17385, 9.536, 0.98, 1, 0.082600, 0.029659, -0.996141, -0.070296, -0.027013, -0.997160, 0.006, 0.001, -30.3, 79.4, 412.9, -0.150, -0.020, 0.061
12, 17385, 9.637, 0.98, 1, 0.109176, -0.009755, -0.993975, -0.012467, 0.006457, -0.999901, 0.048, -0.002, -30.2, 80.0, 413.8, -0.149, -0.024, 0.063
13, 17385, 9.758, 0.98, 1, 0.066210, 0.034097, -0.997223, 0.035498, 0.017499, -0.999216, 0.051, 0.026, -30.3, 79.6, 412.1, -0.146, -0.026, 0.062
14, 17385, 9.872, 0.98, 1, 0.070279, 0.016894, -0.997384, -0.004254, 0.006699, -0.999969, 0.033, 0.012, -30.5, 79.9, 411.5, -0.146, -0.024, 0.064
15, 17385, 9.984, 0.98, 1, 0.094168, 0.015624, -0.995434, 0.003796, 0.016471, -0.999857, 0.049, 0.016, -31.1, 80.2, 412.5, -0.147, -0.031, 0.064
16, 17385, 10.115, 0.98, 1, 0.124536, 0.017286, -0.992064, -0.031718, 0.000185, -0.999497, 0.047, 0.009, -31.2, 80.2, 411.2, -0.137, -0.026, 0.064
17, 17385, 10.228, 0.98, 1, 0.117738, 0.048225, -0.991873, 0.017142, 0.012909, -0.999770, 0.068, 0.031, -31.2, 80.1, 409.6, -0.134, -0.026, 0.063
18, 17385, 10.363, 0.98, 1, 0.089975, 0.030810, -0.995467, -0.036091, 0.011816, -0.999279, 0.027, 0.021, -31.1, 79.8, 407.7, -0.134, -0.030, 0.063
19, 17385, 10.474, 0.98, 1, 0.091056, 0.038748, -0.995092, 0.054767, 0.005084, -0.998486, 0.073, 0.022, -31.1, 80.3, 410.7, -0.126, -0.026, 0.064
20, 17385, 10.609, 0.98, 1, 0.143391, 0.031071, -0.989178, 0.049755, 0.047380, -0.997637, 0.097, 0.039, -30.7, 80.3, 409.2, -0.125, -0.025, 0.069
