frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 31958, 6.418, 0.98, 1, -0.179171, 0.105996, -0.978091, -0.172204, 0.110944, -0.978794, -0.178, 0.110, 58.4, 60.4, 394.4, -0.020, 0.201, 0.058
2, 31958, 7.081, 0.98, 1, -0.258169, 0.180194, -0.949147, -0.213038, 0.148028, -0.965765, -0.241, 0.170, 58.6, 60.9, 396.0, 0.002, 0.201, 0.055
3, 31958, 7.195, 0.98, 1, -0.216211, 0.156760, -0.963680, -0.164220, 0.129343, -0.977907, -0.193, 0.146, 58.7, 61.0, 396.1, 0.016, 0.200, 0.054
4, 31958, 7.324, 0.98, 1, -0.197820, 0.145405, -0.969394, -0.162715, 0.128876, -0.978220, -0.183, 0.140, 58.4, 61.0, 395.4, 0.017, 0.199, 0.054
5, 31958, 7.451, 0.98, 1, -0.166764, 0.163563, -0.972336, -0.169454, 0.147644, -0.974416, -0.171, 0.159, 58.1, 61.5, 394.9, 0.021, 0.200, 0.053
6, 31958, 7.562, 0.98, 1, -0.220348, 0.181282, -0.958428, -0.274921, 0.153081, -0.949202, -0.254, 0.174, 57.9, 61.9, 394.7, 0.020, 0.199, 0.053
7, 31958, 7.690, 0.98, 1, -0.203539, 0.154237, -0.966842, -0.257056, 0.156597, -0.953624, -0.235, 0.160, 57.9, 62.2, 397.5, 0.016, 0.199, 0.051
8, 31958, 7.823, 0.98, 1, -0.220998, 0.100587, -0.970073, -0.187785, 0.095569, -0.977550, -0.207, 0.100, 57.4, 59.7, 399.5, -0.037, 0.188, 0.051
9, 31958, 7.961, 0.98, 1, -0.191526, 0.076893, -0.978471, -0.203433, 0.103272, -0.973627, -0.200, 0.092, 55.9, 53.7, 412.7, -0.104, 0.190, 0.043
10, 31958, 8.101, 0.98, 1, -0.227019, 0.008840, -0.973850, -0.241657, 0.042886, -0.969414, -0.237, 0.027, 52.8, 48.3, 415.1, -0.152, 0.192, 0.031
11, 31958, 8.245, 0.98, 1, -0.209582, 0.068869, -0.975363, -0.236019, 0.004827, -0.971736, -0.225, 0.038, 50.9, 44.0, 419.6, -0.171, 0.201, 0.017
12, 31958, 8.397, 0.98, 1, -0.192790, 0.048066, -0.980062, -0.218993, 0.023858, -0.975435, -0.208, 0.037, 51.7, 41.9, 422.4, -0.165, 0.188, 0.007
13, 31958, 8.521, 0.98, 1, -0.166511, 0.037920, -0.985310, -0.182234, 0.057549, -0.981570, -0.175, 0.049, 50.8, 41.7, 421.4, -0.147, 0.187, 0.005
14, 31958, 8.663, 0.98, 1, -0.156544, 0.064162, -0.985585, -0.169560, 0.101022, -0.980329, -0.164, 0.084, 49.1, 43.5, 419.6, -0.119, 0.193, 0.006
15, 31958, 8.808, 0.98, 1, -0.184947, 0.137791, -0.973041, -0.156964, 0.174441, -0.972076, -0.174, 0.159, 47.3, 50.0, 412.8, -0.039, 0.199, -0.019
16, 31958, 8.955, 0.98, 1, -0.121442, 0.181801, -0.975807, -0.166604, 0.176863, -0.970032, -0.147, 0.182, 50.1, 54.8, 409.3, -0.015, 0.189, -0.011
