frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
2, 17094, 10.387, 0.98, 1, 0.183095, 0.206436, -0.961177, -0.106581, 0.238870, -0.965185, 0.040, 0.227, -15.2, 51.8, 366.3, -0.037, -0.029, 0.082
3, 17094, 10.793, 0.98, 1, 0.123881, 0.157897, -0.979654, -0.026342, 0.152308, -0.987982, 0.050, 0.156, -16.2, 50.1, 363.8, -0.019, -0.036, 0.082
4, 17094, 10.906, 0.98, 1, 0.108490, 0.149828, -0.982742, -0.006671, 0.179369, -0.983759, 0.052, 0.166, -16.9, 50.0, 362.7, -0.011, -0.035, 0.086
5, 17094, 11.008, 0.98, 1, 0.120934, 0.143575, -0.982223, -0.054043, 0.140591, -0.988592, 0.034, 0.143, -17.1, 50.2, 362.7, -0.003, -0.041, 0.089
6, 17094, 11.120, 0.98, 1, 0.088667, 0.152825, -0.984268, -0.055147, 0.186674, -0.980873, 0.017, 0.171, -17.5, 50.5, 363.9, 0.011, -0.033, 0.092
7, 17094, 11.220, 0.98, 1, 0.079964, 0.157122, -0.984337, -0.001092, 0.125151, -0.992137, 0.040, 0.142, -17.5, 50.5, 363.0, 0.015, -0.039, 0.091
8, 17094, 11.329, 0.98, 1, 0.090294, 0.160565, -0.982886, -0.035170, 0.174289, -0.984066, 0.028, 0.169, -17.4, 50.4, 362.5, 0.011, -0.041, 0.093
9, 17094, 11.423, 0.98, 1, 0.070123, 0.156310, -0.985216, -0.000389, 0.158481, -0.987362, 0.035, 0.158, -17.3, 50.7, 363.1, 0.018, -0.040, 0.096
10, 17094, 11.528, 0.98, 1, 0.092738, 0.168443, -0.981339, 0.002909, 0.120809, -0.992672, 0.048, 0.145, -17.5, 50.8, 363.4, 0.021, -0.039, 0.094
11, 17094, 11.652, 0.98, 1, 0.071411, 0.144902, -0.986866, -0.040234, 0.143670, -0.988807, 0.016, 0.145, -17.5, 50.7, 363.0, 0.022, -0.037, 0.092
12, 17094, 11.761, 0.98, 1, 0.101016, 0.134810, -0.985709, -0.070021, 0.123134, -0.989917, 0.016, 0.130, -17.5, 50.9, 364.2, 0.024, -0.039, 0.091
13, 17094, 11.883, 0.98, 1, 0.107403, 0.135709, -0.984910, -0.041527, 0.152285, -0.987464, 0.033, 0.145, -17.4, 50.9, 363.6, 0.021, -0.039, 0.091
14, 17094, 11.996, 0.98, 1, 0.090541, 0.150991, -0.984380, -0.023868, 0.154884, -0.987644, 0.034, 0.154, -17.3, 50.8, 362.5, 0.013, -0.041, 0.094
15, 17094, 12.122, 0.98, 1, 0.085072, 0.151790, -0.984745, -0.066431, 0.127222, -0.989647, 0.009, 0.140, -17.5, 50.9, 362.7, 0.015, -0.040, 0.095
16, 17094, 12.244, 0.98, 1, 0.099350, 0.177145, -0.979157, -0.010921, 0.193965, -0.980948, 0.045, 0.187, -17.8, 50.9, 363.2, 0.022, -0.042, 0.094
17, 17094, 12.375, 0.98, 1, 0.111310, 0.127825, -0.985531, -0.008888, 0.153855, -0.988053, 0.052, 0.142, -18.1, 51.0, 364.2, 0.017, -0.045, 0.092
18, 17094, 12.493, 0.98, 1, 0.079657, 0.159560, -0.983969, -0.010024, 0.159283, -0.987182, 0.035, 0.160, -18.1, 51.1, 362.3, 0.019, -0.042, 0.095
19, 17094, 12.638, 0.98, 1, 0.091018, 0.170401, -0.981162, -0.032123, 0.163301, -0.986053, 0.030, 0.168, -18.5, 51.5, 364.6, 0.016, -0.042, 0.096
20, 17094, 12.780, 0.98, 1, 0.092960, 0.135277, -0.986437, -0.013971, 0.165565, -0.986100, 0.040, 0.151, -18.2, 51.4, 362.4, 0.009, -0.045, 0.094
