frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 20903, 11.976, 0.98, 1, 0.146531, -0.040858, -0.988362, -0.087297, 0.028782, -0.995766, 0.030, -0.006, 0.9, 54.0, 440.0, -0.147, -0.055, 0.039
2, 20903, 13.222, 0.98, 1, 0.112423, -0.003421, -0.993655, -0.071695, 0.057458, -0.995770, 0.020, 0.027, -3.8, 60.7, 427.8, -0.066, -0.035, 0.013
3, 20903, 13.315, 0.98, 1, 0.126503, 0.017286, -0.991816, -0.101870, 0.090924, -0.990634, 0.012, 0.055, -4.0, 61.0, 426.4, -0.089, -0.025, 0.008
4, 20903, 13.410, 0.98, 1, 0.151529, 0.014896, -0.988341, -0.095902, 0.046618, -0.994299, 0.028, 0.031, -4.3, 61.4, 427.8, -0.098, -0.030, 0.008
5, 20903, 13.502, 0.98, 1, 0.123201, 0.052130, -0.991012, -0.051859, 0.095062, -0.994120, 0.036, 0.074, -4.2, 61.4, 426.3, -0.113, -0.025, 0.006
6, 20903, 13.582, 0.98, 1, 0.117369, -0.003892, -0.993081, -0.111422, 0.006754, -0.993750, 0.003, 0.001, -4.3, 61.6, 427.2, -0.112, -0.034, 0.011
7, 20903, 13.670, 0.98, 1, 0.148581, 0.023064, -0.988631, -0.115541, 0.046741, -0.992202, 0.017, 0.035, -4.4, 61.5, 425.6, -0.111, -0.031, 0.009
8, 20903, 13.803, 0.98, 1, 0.074155, 0.007719, -0.997217, -0.141967, 0.057596, -0.988194, -0.034, 0.033, -4.3, 61.7, 426.1, -0.113, -0.034, 0.008
9, 20903, 13.884, 0.98, 1, 0.076308, 0.014353, -0.996981, -0.152226, 0.066699, -0.986093, -0.038, 0.041, -4.4, 61.9, 426.7, -0.106, -0.034, 0.014
10, 20903, 13.969, 0.98, 1, 0.091963, 0.020635, -0.995549, -0.109485, 0.022480, -0.993734, -0.009, 0.022, -4.3, 62.1, 428.0, -0.108, -0.035, 0.012
