frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
2, 17212, 18.533, 0.98, 1, 0.156226, 0.120722, -0.980316, 0.034897, 0.080453, -0.996147, 0.096, 0.101, -33.0, 87.3, 399.0, -0.068, -0.067, 0.087
3, 17212, 18.639, 0.98, 1, 0.159346, 0.098407, -0.982306, 0.055104, 0.089772, -0.994437, 0.108, 0.095, -33.2, 87.6, 398.5, -0.052, -0.060, 0.084
4, 17212, 18.741, 0.98, 1, 0.170494, 0.087604, -0.981457, 0.042774, 0.083017, -0.995630, 0.107, 0.086, -33.4, 88.3, 399.5, -0.040, -0.061, 0.088
5, 17212, 18.838, 0.98, 1, 0.150425, 0.103609, -0.983177, 0.041706, 0.129116, -0.990752, 0.097, 0.117, -33.5, 88.4, 400.8, -0.030, -0.063, 0.089
6, 17212, 18.936, 0.98, 1, 0.136922, 0.085028, -0.986926, 0.051899, 0.077103, -0.995671, 0.095, 0.082, -33.4, 88.0, 397.3, -0.036, -0.060, 0.088
7, 17212, 19.034, 0.98, 1, 0.164367, 0.098765, -0.981442, 0.018943, 0.094410, -0.995353, 0.092, 0.097, -33.7, 87.9, 397.7, -0.042, -0.062, 0.089
8, 17212, 19.135, 0.98, 1, 0.129957, 0.130452, -0.982900, -0.003360, 0.090315, -0.995908, 0.064, 0.111, -34.2, 89.0, 400.5, -0.032, -0.059, 0.088
9, 17212, 19.242, 0.98, 1, 0.189526, 0.130677, -0.973141, 0.042554, 0.113193, -0.992661, 0.118, 0.123, -33.8, 88.5, 398.5, -0.032, -0.067, 0.094
10, 17212, 19.340, 0.98, 1, 0.177141, 0.146191, -0.973267, 0.016174, 0.109390, -0.993867, 0.098, 0.129, -33.9, 88.9, 399.2, -0.031, -0.067, 0.094
11, 17212, 19.449, 0.98, 1, 0.149473, 0.110961, -0.982520, 0.029281, 0.038927, -0.998813, 0.090, 0.076, -33.7, 88.6, 397.6, -0.037, -0.065, 0.093
12, 17212, 19.555, 0.98, 1, 0.092928, 0.091118, -0.991495, 0.030425, 0.041990, -0.998655, 0.062, 0.067, -33.8, 88.2, 396.9, -0.044, -0.065, 0.088
13, 17212, 19.659, 0.98, 1, 0.137147, 0.082815, -0.987083, 0.048683, 0.092063, -0.994562, 0.094, 0.088, -34.1, 89.2, 399.5, -0.035, -0.069, 0.086
14, 17212, 19.788, 0.98, 1, 0.124845, 0.107860, -0.986296, 0.058794, 0.057201, -0.996630, 0.092, 0.083, -34.1, 89.2, 399.8, -0.035, -0.062, 0.086
15, 17212, 19.903, 0.98, 1, 0.159998, 0.109342, -0.981043, 0.037131, 0.112067, -0.993007, 0.100, 0.112, -33.8, 89.0, 399.0, -0.041, -0.062, 0.084
16, 17212, 20.016, 0.98, 1, 0.176760, 0.110294, -0.978055, -0.007213, 0.090900, -0.995834, 0.086, 0.102, -33.4, 88.1, 395.1, -0.051, -0.062, 0.084
17, 17212, 20.137, 0.98, 1, 0.128056, 0.092298, -0.987463, 0.009106, 0.070968, -0.997437, 0.069, 0.082, -34.0, 88.8, 398.2, -0.043, -0.067, 0.088
18, 17212, 20.267, 0.98, 1, 0.148927, 0.109543, -0.982762, -0.019173, 0.061929, -0.997896, 0.065, 0.086, -33.8, 88.7, 397.2, -0.044, -0.065, 0.088
19, 17212, 20.381, 0.98, 1, 0.150293, 0.117888, -0.981588, -0.086522, 0.033997, -0.995670, 0.032, 0.077, -33.6, 88.7, 397.3, -0.039, -0.062, 0.086
20, 17212, 20.515, 0.98, 1, 0.179474, 0.116090, -0.976889, -0.030924, 0.063016, -0.997533, 0.075, 0.090, -33.9, 89.1, 399.5, -0.039, -0.061, 0.087
21, 17212, 20.631, 0.98, 1, 0.173598, 0.102986, -0.979417, 0.008233, 0.085714, -0.996286, 0.092, 0.095, -34.0, 89.4, 400.1, -0.040, -0.059, 0.087
22, 17212, 20.771, 0.98, 1, 0.140421, 0.118331, -0.982995, 0.012695, 0.124111, -0.992187, 0.077, 0.122, -34.1, 89.3, 399.3, -0.035, -0.056, 0.088
23, 17212, 20.894, 0.98, 1, 0.114770, 0.115618, -0.986641, 0.024628, 0.111775, -0.993428, 0.070, 0.114, -34.0, 89.0, 397.2, -0.036, -0.058, 0.086
24, 17212, 21.012, 0.98, 1, 0.147636, 0.092036, -0.984750, -0.013958, 0.103884, -0.994491, 0.067, 0.099, -34.3, 89.5, 399.7, -0.039, -0.062, 0.092
25, 17212, 21.142, 0.98, 1, 0.124351, 0.053836, -0.990777, -0.000092, 0.082893, -0.996558, 0.062, 0.069, -34.1, 89.0, 398.4, -0.066, -0.067, 0.094
26, 17212, 21.283, 0.98, 1, 0.189237, 0.100412, -0.976784, 0.062901, 0.090500, -0.993908, 0.127, 0.097, -33.6, 88.6, 397.5, -0.088, -0.072, 0.096
27, 17212, 21.429, 0.98, 1, 0.142176, 0.099958, -0.984781, 0.017156, 0.070237, -0.997383, 0.080, 0.086, -33.7, 89.4, 397.5, -0.050, -0.073, 0.094
28, 17212, 21.559, 0.88, 1, 0.187238, 0.110485, -0.976081, -0.005793, 0.046807, -0.998887, 0.092, 0.079, -33.3, 88.9, 396.3, -0.076, -0.073, 0.094
29, 17212, 21.686, 0.98, 1, 0.180475, 0.088639, -0.979577, 0.034196, 0.058978, -0.997673, 0.108, 0.075, -33.6, 90.5, 398.1, -0.044, -0.066, 0.092
30, 17212, 21.840, 0.98, 1, 0.174591, 0.099619, -0.979589, 0.030438, 0.085462, -0.995876, 0.103, 0.093, -33.7, 90.7, 399.4, -0.053, -0.066, 0.098
31, 17212, 21.989, 0.98, 1, 0.095412, 0.109343, -0.989414, -0.001967, 0.077914, -0.996958, 0.047, 0.094, -33.5, 89.7, 397.2, -0.051, -0.070, 0.100
32, 17212, 22.127, 0.98, 1, 0.117563, 0.092778, -0.988722, -0.005423, 0.101746, -0.994796, 0.056, 0.098, -33.8, 89.5, 398.7, -0.061, -0.066, 0.101
33, 17212, 22.267, 0.98, 1, 0.215843, 0.083580, -0.972844, 0.047943, 0.108251, -0.992967, 0.133, 0.097, -33.1, 89.0, 396.8, -0.070, -0.064, 0.102
