frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 16823, 48.198, 0.98, 1, 0.176899, 0.067676, -0.981899, 0.023579, 0.044369, -0.998737, 0.101, 0.057, -40.1, 91.8, 389.3, -0.084, -0.060, 0.067
2, 16823, 48.807, 0.98, 1, 0.155241, 0.105201, -0.982259, 0.039141, 0.031034, -0.998752, 0.098, 0.069, -41.0, 92.3, 387.4, -0.044, -0.066, 0.072
3, 16823, 48.908, 0.98, 1, 0.134016, 0.109255, -0.984938, 0.063706, 0.024445, -0.997669, 0.099, 0.067, -40.8, 92.0, 386.0, -0.038, -0.069, 0.081
4, 16823, 49.010, 0.98, 1, 0.084439, 0.119633, -0.989221, 0.052505, 0.062905, -0.996637, 0.069, 0.092, -41.3, 92.1, 386.4, -0.028, -0.067, 0.077
5, 16823, 49.143, 0.98, 1, 0.088643, 0.124643, -0.988234, -0.006544, 0.040723, -0.999149, 0.041, 0.083, -42.4, 91.6, 383.7, -0.035, -0.052, 0.077
6, 16823, 49.269, 0.98, 1, 0.090485, 0.076527, -0.992953, 0.005897, 0.047693, -0.998845, 0.048, 0.062, -42.6, 91.9, 384.8, -0.027, -0.051, 0.073
7, 16823, 49.381, 0.98, 1, 0.137761, 0.123406, -0.982748, 0.035870, 0.020176, -0.999153, 0.087, 0.072, -41.7, 91.7, 384.0, -0.029, -0.057, 0.083
8, 16823, 49.496, 0.98, 1, 0.162908, 0.103805, -0.981165, 0.006850, 0.081777, -0.996627, 0.086, 0.094, -41.6, 92.6, 386.9, -0.020, -0.054, 0.085
9, 16823, 49.625, 0.98, 1, 0.115728, 0.110338, -0.987134, 0.032748, 0.083832, -0.995942, 0.075, 0.098, -41.6, 91.7, 384.1, -0.021, -0.061, 0.083
10, 16823, 49.767, 0.98, 1, 0.097968, 0.139092, -0.985422, 0.024459, 0.034915, -0.999091, 0.062, 0.087, -41.7, 91.3, 383.2, -0.024, -0.062, 0.081
11, 16823, 49.889, 0.98, 1, 0.122814, 0.108302, -0.986503, 0.055144, 0.036750, -0.997802, 0.089, 0.073, -41.5, 91.8, 384.5, -0.014, -0.060, 0.084
12, 16823, 50.027, 0.98, 1, 0.133699, 0.089984, -0.986928, 0.056151, 0.017876, -0.998262, 0.095, 0.054, -40.8, 91.6, 383.6, -0.023, -0.062, 0.084
13, 16823, 50.157, 0.98, 1, 0.093248, 0.101520, -0.990454, 0.019988, 0.002247, -0.999798, 0.057, 0.052, -40.7, 91.5, 384.3, -0.029, -0.062, 0.081
14, 16823, 50.276, 0.98, 1, 0.092321, 0.130739, -0.987109, -0.011033, 0.003485, -0.999933, 0.041, 0.067, -40.7, 91.8, 384.6, -0.025, -0.064, 0.082
15, 16823, 50.395, 0.98, 1, 0.070646, 0.067913, -0.995187, 0.038272, 0.029929, -0.998819, 0.055, 0.049, -40.8, 92.4, 386.5, -0.015, -0.059, 0.079
16, 16823, 50.519, 0.98, 1, 0.095005, 0.065934, -0.993291, 0.022691, 0.016312, -0.999609, 0.059, 0.041, -40.8, 92.2, 385.5, -0.018, -0.060, 0.077
17, 16823, 50.664, 0.98, 1, 0.147038, 0.115561, -0.982357, 0.006697, 0.111247, -0.993770, 0.078, 0.114, -40.6, 93.1, 387.5, -0.012, -0.055, 0.085
18, 16823, 50.800, 0.98, 1, 0.139227, 0.157585, -0.977641, 0.052053, 0.030435, -0.998180, 0.097, 0.095, -40.2, 92.1, 383.8, -0.022, -0.064, 0.082
19, 16823, 50.930, 0.98, 1, 0.111009, 0.102104, -0.988560, 0.044003, 0.022177, -0.998785, 0.078, 0.062, -40.0, 92.0, 383.5, -0.023, -0.063, 0.084
20, 16823, 51.049, 0.98, 1, 0.117932, 0.104903, -0.987465, 0.034367, 0.038357, -0.998673, 0.077, 0.072, -39.9, 91.7, 382.6, -0.020, -0.062, 0.084
21, 16823, 51.199, 0.98, 1, 0.104894, 0.126330, -0.986427, 0.009558, 0.008132, -0.999921, 0.058, 0.068, -39.9, 92.2, 383.8, -0.024, -0.061, 0.083
22, 16823, 51.323, 0.98, 1, 0.115226, 0.088290, -0.989408, 0.029692, 0.035598, -0.998925, 0.073, 0.062, -39.6, 91.9, 382.9, -0.022, -0.063, 0.082
23, 16823, 51.469, 0.98, 1, 0.113829, 0.107469, -0.987671, 0.014579, 0.038954, -0.999135, 0.065, 0.074, -39.6, 91.7, 383.1, -0.026, -0.061, 0.084
24, 16823, 51.601, 0.98, 1, 0.122331, 0.084385, -0.988896, 0.013532, 0.083838, -0.996388, 0.068, 0.085, -39.8, 92.0, 383.7, -0.021, -0.061, 0.085
25, 16823, 51.740, 0.98, 1, 0.109673, 0.085211, -0.990309, -0.010761, 0.023153, -0.999674, 0.050, 0.054, -39.6, 92.0, 383.1, -0.023, -0.061, 0.083
26, 16823, 51.884, 0.98, 1, 0.185535, 0.113529, -0.976057, 0.051399, 0.094084, -0.994237, 0.120, 0.105, -39.6, 93.0, 386.8, -0.022, -0.055, 0.085
27, 16823, 52.010, 0.98, 1, 0.167022, 0.116070, -0.979097, 0.066123, 0.082154, -0.994424, 0.118, 0.100, -39.4, 92.7, 385.4, -0.018, -0.060, 0.084
28, 16823, 52.163, 0.98, 1, 0.089136, 0.059011, -0.994270, 0.012736, 0.014441, -0.999815, 0.051, 0.037, -40.1, 93.1, 386.2, -0.012, -0.058, 0.080
29, 16823, 52.334, 0.98, 1, 0.086814, 0.128353, -0.987922, -0.051321, -0.027423, -0.998306, 0.018, 0.051, -40.2, 92.7, 384.1, -0.018, -0.058, 0.080
