frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
2, 29217, 5.408, 0.98, 1, 0.025246, 0.098357, -0.994831, -0.087664, 0.083466, -0.992647, -0.031, 0.091, -4.6, 6.6, 308.7, -0.046, 0.021, -0.030
3, 29217, 5.492, 0.98, 1, 0.006513, 0.105705, -0.994376, -0.112495, 0.086499, -0.989880, -0.053, 0.097, -4.2, 6.7, 307.8, -0.041, 0.018, -0.028
4, 29217, 5.573, 0.98, 1, 0.016765, 0.116787, -0.993015, -0.089496, 0.089485, -0.991959, -0.037, 0.104, -4.0, 6.6, 306.6, -0.041, 0.011, -0.026
5, 29217, 5.670, 0.98, 1, -0.007461, 0.115116, -0.993324, -0.068238, 0.106820, -0.991934, -0.038, 0.111, -4.0, 6.6, 306.2, -0.043, 0.011, -0.025
6, 29217, 5.770, 0.98, 1, 0.014590, 0.105710, -0.994290, -0.064554, 0.090590, -0.993794, -0.025, 0.098, -3.8, 6.7, 306.1, -0.038, 0.009, -0.025
7, 29217, 5.864, 0.98, 1, 0.056448, 0.114195, -0.991853, 0.012656, 0.109714, -0.993883, 0.035, 0.112, -3.8, 6.6, 308.0, -0.043, 0.013, -0.023
8, 29217, 5.940, 0.98, 1, 0.047379, 0.107907, -0.993031, 0.023201, 0.114912, -0.993105, 0.036, 0.112, -3.9, 6.7, 306.8, -0.037, 0.013, -0.024
9, 29217, 6.036, 0.98, 1, -0.021121, 0.131476, -0.991094, -0.081567, 0.091373, -0.992471, -0.052, 0.112, -4.2, 6.7, 307.5, -0.035, 0.012, -0.027
10, 29217, 6.135, 0.98, 1, -0.029117, 0.103457, -0.994208, -0.105446, 0.105046, -0.988861, -0.068, 0.105, -4.5, 6.6, 306.9, -0.043, 0.013, -0.029
11, 29217, 6.225, 0.98, 1, -0.039549, 0.153003, -0.987434, -0.110233, 0.100771, -0.988784, -0.076, 0.128, -4.6, 6.9, 307.7, -0.037, 0.017, -0.029
12, 29217, 6.319, 0.98, 1, -0.040385, 0.126476, -0.991147, -0.111275, 0.106827, -0.988031, -0.076, 0.117, -4.7, 6.9, 306.7, -0.036, 0.014, -0.030
13, 29217, 6.417, 0.98, 1, -0.038853, 0.137523, -0.989736, -0.112133, 0.100119, -0.988637, -0.076, 0.120, -4.9, 7.1, 306.8, -0.030, 0.015, -0.031
14, 29217, 6.506, 0.98, 1, -0.027604, 0.131384, -0.990947, -0.101611, 0.097182, -0.990066, -0.065, 0.115, -5.0, 7.1, 308.6, -0.036, 0.017, -0.031
15, 29217, 6.594, 0.98, 1, -0.009324, 0.088904, -0.995997, -0.137295, 0.089727, -0.986458, -0.074, 0.090, -4.8, 7.1, 307.1, -0.032, 0.016, -0.031
16, 29217, 6.693, 0.98, 1, -0.017565, 0.091623, -0.995639, -0.111984, 0.081318, -0.990377, -0.065, 0.087, -4.7, 6.9, 307.1, -0.034, 0.015, -0.031
17, 29217, 6.775, 0.98, 1, 0.010111, 0.061374, -0.998064, -0.105854, 0.061702, -0.992465, -0.048, 0.062, -4.4, 7.1, 307.5, -0.033, 0.015, -0.029
18, 29217, 6.874, 0.98, 1, 0.025281, 0.047240, -0.998564, -0.102017, 0.048542, -0.993598, -0.039, 0.048, -4.1, 7.1, 308.2, -0.042, 0.014, -0.028
19, 29217, 6.970, 0.98, 1, 0.024362, 0.031757, -0.999199, -0.082858, 0.067391, -0.994280, -0.029, 0.050, -3.9, 6.8, 306.3, -0.039, 0.012, -0.028
20, 29217, 7.071, 0.98, 1, -0.055859, 0.132815, -0.989565, -0.085391, 0.094782, -0.991829, -0.071, 0.114, -4.0, 7.2, 307.7, -0.033, 0.011, -0.030
21, 29217, 7.160, 0.98, 1, -0.058352, 0.116772, -0.991443, -0.107555, 0.084555, -0.990597, -0.084, 0.101, -4.2, 7.2, 307.2, -0.034, 0.013, -0.029
22, 29217, 7.245, 0.98, 1, 0.010122, 0.117915, -0.992972, -0.029590, 0.095596, -0.994980, -0.010, 0.107, -4.3, 7.0, 307.6, -0.037, 0.013, -0.028
23, 29217, 7.344, 0.98, 1, 0.061866, 0.093265, -0.993717, 0.025345, 0.110028, -0.993605, 0.044, 0.102, -4.3, 7.0, 307.7, -0.036, 0.014, -0.027
24, 29217, 7.434, 0.98, 1, 0.060463, 0.096565, -0.993488, 0.028744, 0.114457, -0.993012, 0.045, 0.106, -4.0, 7.1, 307.9, -0.033, 0.012, -0.027
25, 29217, 7.515, 0.98, 1, 0.052798, 0.104908, -0.993079, 0.024058, 0.094971, -0.995189, 0.039, 0.100, -3.6, 7.1, 307.8, -0.037, 0.009, -0.025
26, 29217, 7.594, 0.98, 1, 0.066610, 0.105521, -0.992184, 0.023096, 0.120986, -0.992385, 0.045, 0.114, -3.2, 7.0, 308.0, -0.035, 0.006, -0.025
27, 29217, 7.685, 0.98, 1, 0.082192, 0.087384, -0.992778, 0.034028, 0.113475, -0.992958, 0.058, 0.101, -3.2, 7.1, 307.7, -0.034, 0.006, -0.022
28, 29217, 7.779, 0.98, 1, 0.070143, 0.078274, -0.994461, 0.020132, 0.085833, -0.996106, 0.045, 0.082, -3.4, 7.2, 308.0, -0.029, 0.007, -0.023
29, 29217, 7.861, 0.98, 1, 0.062169, 0.075122, -0.995234, 0.030269, 0.086963, -0.995752, 0.046, 0.081, -3.8, 7.1, 307.6, -0.033, 0.009, -0.024
30, 29217, 7.960, 0.98, 1, 0.047050, 0.085400, -0.995235, 0.024448, 0.094611, -0.995214, 0.036, 0.090, -3.9, 7.0, 307.3, -0.031, 0.009, -0.025
31, 29217, 8.044, 0.98, 1, 0.072380, 0.085478, -0.993707, 0.027949, 0.096326, -0.994957, 0.050, 0.091, -3.9, 7.0, 308.3, -0.031, 0.011, -0.026
32, 29217, 8.131, 0.98, 1, 0.070283, 0.083480, -0.994028, 0.014432, 0.087006, -0.996103, 0.043, 0.085, -3.8, 7.0, 307.6, -0.034, 0.007, -0.025
33, 29217, 8.213, 0.98, 1, 0.040338, 0.085946, -0.995483, 0.022777, 0.085402, -0.996086, 0.032, 0.086, -3.8, 7.0, 306.4, -0.033, 0.007, -0.025
34, 29217, 8.293, 0.98, 1, 0.051843, 0.082289, -0.995259, 0.023076, 0.090679, -0.995613, 0.038, 0.087, -3.8, 7.0, 306.9, -0.034, 0.008, -0.024
35, 29217, 8.396, 0.98, 1, 0.082460, 0.083822, -0.993063, 0.036846, 0.086839, -0.995541, 0.060, 0.086, -3.8, 7.2, 307.4, -0.030, 0.008, -0.025
36, 29217, 8.495, 0.98, 1, 0.065990, 0.097283, -0.993067, 0.045893, 0.092553, -0.994650, 0.056, 0.095, -3.9, 7.2, 307.2, -0.028, 0.011, -0.025
37, 29217, 8.578, 0.98, 1, 0.068787, 0.088722, -0.993678, 0.038518, 0.101542, -0.994085, 0.054, 0.095, -4.0, 7.2, 307.2, -0.027, 0.011, -0.026
