frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 16036, 0.856, 0.98, 1, 0.214903, 0.042656, -0.975703, 0.097124, 0.005009, -0.995260, 0.157, 0.024, -34.8, 88.4, 400.4, -0.150, -0.123, -0.082
2, 16036, 1.463, 0.98, 1, 0.191853, 0.087958, -0.977474, 0.103067, 0.035066, -0.994056, 0.148, 0.062, -34.8, 89.2, 404.2, -0.153, -0.121, -0.086
3, 16036, 1.567, 0.98, 1, 0.181433, -0.011557, -0.983335, 0.101921, -0.064277, -0.992714, 0.142, -0.038, -34.4, 82.9, 403.3, -0.230, -0.118, -0.098
4, 16036, 1.674, 0.98, 1, 0.184581, -0.056130, -0.981213, 0.079473, -0.104188, -0.991377, 0.133, -0.081, -34.6, 79.5, 406.5, -0.275, -0.112, -0.105
5, 16036, 1.793, 0.98, 1, 0.220769, -0.119219, -0.968012, 0.119722, -0.131439, -0.984068, 0.173, -0.128, -33.9, 72.5, 406.2, -0.354, -0.095, -0.097
6, 16036, 1.903, 0.98, 1, 0.228838, -0.085338, -0.969717, 0.079228, -0.105569, -0.991251, 0.156, -0.097, -31.0, 72.6, 413.7, -0.332, -0.112, -0.074
7, 16036, 2.009, 0.98, 1, 0.249313, -0.078325, -0.965250, 0.067643, -0.091865, -0.993471, 0.160, -0.087, -29.8, 73.4, 423.4, -0.316, -0.123, -0.061
8, 16036, 2.114, 0.98, 1, 0.261327, -0.063611, -0.963152, 0.064377, -0.086332, -0.994184, 0.165, -0.076, -31.3, 72.7, 427.5, -0.308, -0.109, -0.076
9, 16036, 2.225, 0.98, 1, 0.240861, -0.056652, -0.968905, 0.057507, -0.064242, -0.996276, 0.151, -0.061, -30.9, 70.9, 422.6, -0.281, -0.097, -0.097
10, 16036, 2.344, 0.98, 1, 0.172264, -0.010294, -0.984997, 0.040311, -0.004909, -0.999175, 0.107, -0.008, -31.8, 72.2, 419.3, -0.243, -0.099, -0.093
11, 16036, 2.459, 0.98, 1, 0.162449, 0.028477, -0.986306, 0.039844, 0.014673, -0.999098, 0.102, 0.022, -31.7, 72.0, 409.5, -0.209, -0.074, -0.101
12, 16036, 2.577, 0.98, 1, 0.178192, 0.066318, -0.981758, 0.040751, 0.032776, -0.998632, 0.110, 0.050, -26.9, 71.0, 398.6, -0.190, -0.089, -0.092
13, 16036, 2.690, 0.98, 1, 0.253332, 0.049125, -0.966131, 0.062710, 0.001921, -0.998030, 0.160, 0.026, -26.7, 69.8, 393.3, -0.195, -0.084, -0.090
14, 16036, 2.804, 0.98, 1, 0.225756, 0.079340, -0.970948, 0.062714, 0.038823, -0.997276, 0.146, 0.060, -26.2, 72.0, 388.6, -0.168, -0.095, -0.099
