frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 10963, 7.959, 0.98, 1, 0.022258, 0.053132, -0.998339, -0.119649, 0.042579, -0.991903, -0.049, 0.048, 6.6, 47.2, 469.9, -0.097, 0.031, 0.008
2, 10963, 8.473, 0.98, 1, -0.001290, 0.049792, -0.998759, -0.138961, 0.016493, -0.990161, -0.070, 0.033, 7.0, 47.2, 469.4, -0.089, 0.041, 0.015
3, 10963, 8.580, 0.98, 1, 0.018720, 0.025264, -0.999506, -0.116242, 0.021542, -0.992987, -0.049, 0.023, 6.9, 47.1, 469.4, -0.088, 0.042, 0.017
4, 10963, 8.688, 0.98, 1, 0.005487, 0.061397, -0.998098, -0.084144, 0.006912, -0.996430, -0.039, 0.034, 6.2, 47.2, 469.2, -0.084, 0.053, 0.017
5, 10963, 8.793, 0.98, 1, 0.018633, 0.052803, -0.998431, -0.136650, 0.032682, -0.990080, -0.059, 0.043, 5.5, 47.4, 468.4, -0.078, 0.060, 0.015
6, 10963, 8.901, 0.98, 1, -0.024260, 0.050357, -0.998437, -0.151070, 0.015221, -0.988406, -0.088, 0.033, 4.3, 47.8, 467.4, -0.075, 0.073, 0.009
7, 10963, 9.003, 0.98, 1, -0.011854, 0.058568, -0.998213, -0.126188, 0.021833, -0.991766, -0.069, 0.040, 3.4, 48.1, 467.8, -0.075, 0.081, 0.006
8, 10963, 9.108, 0.98, 1, -0.020467, 0.048295, -0.998623, -0.143921, 0.036889, -0.988901, -0.083, 0.043, 2.5, 48.4, 468.5, -0.075, 0.084, 0.002
9, 10963, 9.211, 0.98, 1, -0.015228, 0.055437, -0.998346, -0.160734, 0.046671, -0.985894, -0.088, 0.051, 1.9, 48.5, 470.0, -0.075, 0.090, 0.002
10, 10963, 9.329, 0.98, 1, -0.021331, 0.050919, -0.998475, -0.146023, 0.051172, -0.987957, -0.084, 0.051, 1.1, 48.6, 470.2, -0.074, 0.093, -0.000
11, 10963, 9.442, 0.98, 1, -0.036475, 0.046361, -0.998259, -0.191061, 0.017386, -0.981424, -0.114, 0.032, 0.3, 49.2, 471.7, -0.072, 0.100, -0.001
12, 10963, 9.554, 0.98, 1, -0.026206, 0.060355, -0.997833, -0.169338, 0.033382, -0.984992, -0.098, 0.047, 0.1, 49.2, 472.7, -0.070, 0.096, 0.000
13, 10963, 9.667, 0.98, 1, -0.016357, 0.064106, -0.997809, -0.177657, 0.051138, -0.982763, -0.098, 0.058, -1.0, 48.9, 475.3, -0.074, 0.108, -0.000
14, 10963, 9.790, 0.98, 1, 0.055036, 0.094301, -0.994021, -0.042833, 0.077373, -0.996082, 0.006, 0.086, -2.0, 49.7, 475.1, -0.064, 0.112, -0.005
15, 10963, 9.895, 0.98, 1, 0.096300, 0.094754, -0.990832, -0.046779, 0.048170, -0.997743, 0.025, 0.072, -0.4, 50.5, 475.8, -0.063, 0.103, -0.000
16, 10963, 10.002, 0.98, 1, 0.104504, 0.096386, -0.989843, -0.059212, 0.079557, -0.995070, 0.023, 0.088, 3.0, 51.5, 476.4, -0.045, 0.069, 0.009
17, 10963, 10.105, 0.98, 1, 0.124939, 0.115001, -0.985477, -0.005119, 0.083478, -0.996496, 0.060, 0.100, 5.2, 51.9, 477.4, -0.042, 0.051, 0.016
18, 10963, 10.207, 0.98, 1, 0.133932, 0.112974, -0.984530, -0.039245, 0.114320, -0.992669, 0.048, 0.114, 6.6, 52.2, 477.9, -0.047, 0.046, 0.018
19, 10963, 10.316, 0.98, 1, 0.034584, 0.119518, -0.992229, -0.055607, 0.094107, -0.994008, -0.011, 0.107, 8.1, 53.0, 479.0, -0.041, 0.040, 0.025
20, 10963, 10.418, 0.98, 1, 0.109386, 0.086005, -0.990272, -0.018686, 0.090001, -0.995766, 0.046, 0.088, 8.8, 52.8, 479.5, -0.043, 0.035, 0.031
