frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 32190, 0.080, 0.98, 1, -0.210040, 0.142775, -0.967212, -0.248137, 0.130894, -0.959841, -0.233, 0.141, 57.0, 61.1, 396.1, -0.026, 0.227, 0.072
2, 32190, 0.864, 0.98, 1, -0.148377, 0.123531, -0.981185, -0.168812, 0.154663, -0.973438, -0.161, 0.141, 56.8, 60.2, 394.1, -0.031, 0.218, 0.084
3, 32190, 1.015, 0.98, 1, -0.129621, 0.121470, -0.984095, -0.199756, 0.148952, -0.968458, -0.167, 0.138, 57.0, 60.2, 393.2, -0.026, 0.213, 0.088
4, 32190, 1.166, 0.98, 1, -0.104208, 0.117911, -0.987541, -0.180013, 0.146818, -0.972646, -0.144, 0.134, 57.0, 60.4, 392.5, -0.021, 0.212, 0.087
5, 32190, 1.308, 0.98, 1, -0.111599, 0.135988, -0.984405, -0.175663, 0.137948, -0.974737, -0.146, 0.139, 57.8, 60.7, 393.0, -0.023, 0.201, 0.087
6, 32190, 1.452, 0.98, 1, -0.082734, 0.161886, -0.983335, -0.175505, 0.134620, -0.975231, -0.131, 0.150, 62.1, 62.0, 393.1, -0.007, 0.141, 0.082
7, 32190, 1.603, 0.98, 1, -0.142482, 0.128722, -0.981392, -0.141782, 0.104206, -0.984398, -0.144, 0.118, 63.4, 63.3, 395.4, -0.001, 0.139, 0.075
8, 32190, 1.763, 0.98, 1, -0.060626, 0.194045, -0.979117, -0.180738, 0.188652, -0.965269, -0.124, 0.194, 63.0, 63.6, 392.3, 0.005, 0.143, 0.075
9, 32190, 1.930, 0.98, 1, -0.044402, 0.169510, -0.984528, -0.153125, 0.179810, -0.971710, -0.101, 0.177, 63.0, 63.9, 392.0, 0.009, 0.143, 0.076
10, 32190, 2.102, 0.98, 1, -0.057816, 0.146498, -0.987520, -0.135282, 0.171360, -0.975876, -0.098, 0.160, 63.2, 64.2, 392.9, 0.011, 0.146, 0.075
11, 32190, 2.275, 0.98, 1, -0.141800, 0.190056, -0.971479, -0.208807, 0.172465, -0.962629, -0.179, 0.185, 61.6, 64.5, 395.1, 0.006, 0.165, 0.072
12, 32190, 2.434, 0.98, 1, -0.178675, 0.184582, -0.966439, -0.274037, 0.189048, -0.942955, -0.233, 0.193, 59.2, 63.9, 392.6, 0.009, 0.183, 0.068
13, 32190, 2.584, 0.98, 1, -0.175253, 0.167981, -0.970087, -0.280074, 0.146907, -0.948671, -0.233, 0.163, 58.9, 64.5, 396.1, 0.007, 0.188, 0.070
14, 32190, 2.735, 0.98, 1, -0.166233, 0.170957, -0.971154, -0.166780, 0.180103, -0.969406, -0.170, 0.179, 58.6, 64.1, 394.2, 0.007, 0.190, 0.071
15, 32190, 2.888, 0.98, 1, -0.139047, 0.154844, -0.978105, -0.161457, 0.172758, -0.971641, -0.153, 0.166, 59.1, 64.6, 397.1, 0.011, 0.195, 0.072
16, 32190, 3.062, 0.98, 1, -0.165715, 0.188877, -0.967917, -0.251980, 0.147350, -0.956449, -0.214, 0.173, 59.0, 64.5, 396.8, 0.009, 0.195, 0.069
