frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
2, 29129, 6.118, 0.98, 1, 0.017845, 0.128947, -0.991491, -0.102667, 0.084424, -0.991127, -0.043, 0.107, -3.4, 9.4, 303.5, -0.026, 0.011, 0.004
3, 29129, 6.202, 0.98, 1, 0.007183, 0.123727, -0.992290, -0.078471, 0.111012, -0.990716, -0.036, 0.118, -3.3, 9.3, 303.0, -0.021, 0.011, 0.003
4, 29129, 6.284, 0.98, 1, 0.042470, 0.142474, -0.988887, -0.040993, 0.099823, -0.994160, 0.001, 0.122, -2.9, 9.3, 301.2, -0.014, 0.003, 0.006
5, 29129, 6.391, 0.98, 1, 0.024681, 0.131628, -0.990992, -0.059358, 0.109885, -0.992170, -0.017, 0.121, -2.7, 9.2, 301.5, -0.014, 0.002, 0.007
6, 29129, 6.472, 0.98, 1, 0.022227, 0.128468, -0.991465, -0.076664, 0.108294, -0.991158, -0.027, 0.119, -2.5, 9.4, 301.8, -0.011, 0.002, 0.007
7, 29129, 6.561, 0.98, 1, -0.033300, 0.137425, -0.989952, -0.054487, 0.095450, -0.993942, -0.044, 0.117, -2.6, 9.5, 303.0, -0.013, 0.004, 0.008
8, 29129, 6.641, 0.98, 1, -0.035796, 0.149158, -0.988165, -0.099577, 0.107581, -0.989197, -0.068, 0.129, -2.7, 9.3, 302.1, -0.018, 0.002, 0.009
9, 29129, 6.734, 0.98, 1, 0.034469, 0.150344, -0.988033, -0.030126, 0.134961, -0.990393, 0.002, 0.143, -2.6, 9.4, 302.7, -0.015, 0.004, 0.010
10, 29129, 6.814, 0.98, 1, 0.044014, 0.132960, -0.990144, -0.016919, 0.118385, -0.992824, 0.014, 0.126, -2.5, 9.4, 302.8, -0.016, 0.003, 0.010
11, 29129, 6.905, 0.98, 1, 0.008891, 0.144015, -0.989536, -0.079641, 0.118147, -0.989797, -0.036, 0.132, -2.6, 9.5, 302.4, -0.014, 0.002, 0.008
12, 29129, 7.022, 0.98, 1, -0.027165, 0.137156, -0.990177, -0.121556, 0.109907, -0.986481, -0.075, 0.124, -2.6, 9.6, 302.1, -0.012, 0.002, 0.007
13, 29129, 7.117, 0.98, 1, -0.034425, 0.131114, -0.990769, -0.119944, 0.113857, -0.986230, -0.078, 0.123, -2.8, 9.5, 302.3, -0.016, 0.002, 0.008
14, 29129, 7.199, 0.98, 1, -0.010589, 0.152901, -0.988185, -0.103674, 0.115197, -0.987918, -0.058, 0.135, -3.0, 9.6, 302.5, -0.018, 0.001, 0.007
