frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
2, 23985, 18.152, 0.98, 1, 0.110092, -0.013980, -0.993823, 0.063582, -0.043497, -0.997028, 0.087, -0.029, -25.7, 67.1, 348.8, -0.183, -0.102, -0.052
3, 23985, 18.260, 0.98, 1, 0.125840, -0.028562, -0.991639, 0.071857, -0.046503, -0.996330, 0.099, -0.038, -25.6, 67.0, 348.8, -0.181, -0.107, -0.052
4, 23985, 18.342, 0.98, 1, 0.091303, -0.084591, -0.992224, 0.056750, -0.068451, -0.996039, 0.074, -0.077, -25.7, 67.9, 351.5, -0.176, -0.112, -0.051
5, 23985, 18.449, 0.98, 1, 0.109809, -0.063312, -0.991934, 0.051787, -0.080449, -0.995413, 0.081, -0.072, -25.8, 68.1, 351.1, -0.179, -0.110, -0.048
6, 23985, 18.549, 0.98, 1, 0.046282, -0.018726, -0.998753, 0.060135, -0.055105, -0.996668, 0.053, -0.037, -26.2, 68.0, 350.8, -0.181, -0.109, -0.050
7, 23985, 18.648, 0.98, 1, 0.044727, -0.034760, -0.998394, 0.018394, -0.051009, -0.998529, 0.032, -0.043, -28.8, 70.2, 355.1, -0.189, -0.088, -0.049
8, 23985, 18.744, 0.98, 1, 0.047132, -0.037438, -0.998187, 0.000793, -0.066444, -0.997790, 0.024, -0.052, -32.2, 71.1, 356.9, -0.184, -0.073, -0.050
9, 23985, 18.840, 0.98, 1, 0.066898, -0.004034, -0.997752, -0.019949, -0.040267, -0.998990, 0.024, -0.022, -34.1, 68.8, 358.6, -0.211, -0.058, -0.057
10, 23985, 18.942, 0.98, 1, 0.029224, -0.057693, -0.997907, -0.019872, -0.078317, -0.996730, 0.005, -0.068, -34.1, 69.9, 361.6, -0.212, -0.058, -0.058
11, 23985, 19.046, 0.98, 1, 0.055067, -0.040090, -0.997678, -0.016386, -0.039983, -0.999066, 0.019, -0.040, -33.3, 67.6, 359.5, -0.219, -0.059, -0.055
12, 23985, 19.144, 0.98, 1, 0.025575, 0.005194, -0.999659, 0.002423, -0.065342, -0.997860, 0.014, -0.030, -32.9, 67.9, 358.9, -0.222, -0.059, -0.051
13, 23985, 19.254, 0.98, 1, 0.017395, 0.022694, -0.999591, -0.036727, -0.039908, -0.998528, -0.010, -0.009, -32.8, 67.8, 358.3, -0.217, -0.059, -0.051
14, 23985, 19.368, 0.98, 1, 0.044073, -0.008447, -0.998993, -0.027286, -0.025782, -0.999295, 0.008, -0.017, -33.2, 68.6, 360.4, -0.214, -0.051, -0.050
15, 23985, 19.462, 0.98, 1, 0.062439, -0.000948, -0.998048, 0.033398, -0.041642, -0.998574, 0.048, -0.021, -31.7, 67.7, 357.5, -0.207, -0.057, -0.045
