frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 13495, 13.649, 0.98, 1, 0.020492, 0.096617, -0.995111, 0.073191, 0.104660, -0.991811, 0.047, 0.101, -17.1, 34.7, 428.2, -0.020, -0.075, 0.099
2, 13495, 14.280, 0.98, 1, -0.040805, 0.063096, -0.997173, 0.009797, 0.044959, -0.998941, -0.016, 0.054, -18.5, 35.1, 427.4, -0.005, -0.061, 0.091
3, 13495, 14.414, 0.98, 1, -0.020384, 0.076040, -0.996896, 0.043429, 0.071767, -0.996476, 0.012, 0.074, -18.4, 35.6, 430.9, -0.003, -0.064, 0.093
4, 13495, 14.547, 0.98, 1, -0.006002, 0.083747, -0.996469, 0.065442, 0.057035, -0.996225, 0.030, 0.071, -18.3, 35.5, 429.7, -0.008, -0.067, 0.091
5, 13495, 14.706, 0.98, 1, -0.015541, 0.056969, -0.998255, 0.037596, 0.054784, -0.997790, 0.011, 0.056, -18.0, 35.6, 430.2, -0.007, -0.066, 0.092
6, 13495, 14.827, 0.98, 1, 0.109542, 0.024454, -0.993681, 0.124211, 0.105933, -0.986585, 0.117, 0.066, -17.4, 35.8, 431.0, -0.004, -0.069, 0.095
7, 13495, 15.012, 0.98, 1, 0.089487, 0.019715, -0.995793, 0.120445, 0.068378, -0.990362, 0.105, 0.044, -17.3, 35.9, 429.8, -0.001, -0.067, 0.097
8, 13495, 15.173, 0.98, 1, 0.084750, 0.034629, -0.995800, 0.151956, 0.080777, -0.985081, 0.119, 0.058, -17.2, 35.8, 429.1, -0.001, -0.069, 0.098
9, 13495, 15.296, 0.98, 1, 0.057816, 0.016210, -0.998196, 0.054323, 0.046113, -0.997458, 0.056, 0.031, -17.4, 35.5, 429.4, -0.012, -0.069, 0.097
10, 13495, 15.441, 0.98, 1, 0.078002, 0.044650, -0.995953, 0.127328, 0.112866, -0.985418, 0.103, 0.079, -17.4, 35.1, 429.3, -0.004, -0.068, 0.099
11, 13495, 15.580, 0.98, 1, 0.086531, 0.008833, -0.996210, 0.112587, 0.068639, -0.991268, 0.100, 0.039, -17.1, 35.3, 428.4, -0.003, -0.069, 0.101
12, 13495, 15.704, 0.98, 1, 0.081867, 0.020615, -0.996430, 0.129738, 0.051203, -0.990225, 0.106, 0.036, -17.1, 35.1, 428.3, -0.005, -0.068, 0.101
13, 13495, 15.828, 0.98, 1, 0.064644, 0.018623, -0.997735, 0.092619, 0.041140, -0.994851, 0.079, 0.030, -17.0, 35.1, 428.8, -0.001, -0.070, 0.102
