frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 17924, 4.602, 0.98, 1, 0.098462, 0.055836, -0.993573, -0.038494, 0.090956, -0.995111, 0.030, 0.074, -14.8, 26.5, 377.2, -0.083, 0.060, 0.041
2, 17924, 5.272, 0.98, 1, 0.036912, 0.151688, -0.987739, -0.039160, 0.124425, -0.991456, -0.001, 0.139, -18.4, 26.0, 374.0, -0.073, 0.045, 0.040
3, 17924, 5.385, 0.98, 1, 0.036408, 0.105959, -0.993704, -0.053173, 0.098501, -0.993715, -0.008, 0.103, -18.5, 26.2, 375.0, -0.060, 0.041, 0.052
4, 17924, 5.508, 0.98, 1, 0.065100, 0.129725, -0.989411, -0.040443, 0.113263, -0.992742, 0.012, 0.122, -18.6, 26.4, 374.7, -0.054, 0.031, 0.057
5, 17924, 5.649, 0.98, 1, 0.060904, 0.110538, -0.992004, -0.024949, 0.171029, -0.984950, 0.018, 0.141, -18.9, 27.1, 377.7, -0.035, 0.021, 0.061
6, 17924, 5.771, 0.98, 1, 0.062386, 0.137041, -0.988599, -0.085065, 0.144838, -0.985792, -0.011, 0.142, -19.1, 26.7, 378.6, -0.042, 0.014, 0.062
7, 17924, 5.920, 0.98, 1, 0.074850, 0.162775, -0.983820, -0.048134, 0.158091, -0.986251, 0.014, 0.161, -20.1, 26.9, 377.2, -0.033, 0.013, 0.063
8, 17924, 6.074, 0.98, 1, 0.045537, 0.167943, -0.984744, -0.101046, 0.145291, -0.984216, -0.028, 0.158, -23.3, 26.0, 375.7, -0.029, 0.056, 0.066
9, 17924, 6.237, 0.98, 1, 0.065194, 0.174468, -0.982502, -0.059847, 0.138652, -0.988531, 0.003, 0.158, -20.9, 26.0, 374.1, -0.024, 0.042, 0.071
10, 17924, 6.407, 0.98, 1, 0.108336, 0.141917, -0.983932, -0.002711, 0.157045, -0.987588, 0.054, 0.150, -19.4, 27.3, 377.7, -0.010, 0.034, 0.078
