frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
2, 24328, 8.219, 0.98, 1, 0.137207, 0.032992, -0.989993, 0.059102, 0.022841, -0.997991, 0.098, 0.028, -21.0, 37.6, 335.6, -0.093, -0.082, -0.029
3, 24328, 8.321, 0.98, 1, 0.130003, 0.039157, -0.990740, 0.053496, 0.019660, -0.998375, 0.092, 0.030, -21.3, 37.4, 335.6, -0.092, -0.079, -0.032
4, 24328, 8.408, 0.98, 1, 0.072705, -0.009658, -0.997307, 0.054988, -0.014412, -0.998383, 0.064, -0.012, -21.5, 36.8, 337.6, -0.101, -0.084, -0.035
5, 24328, 8.508, 0.98, 1, 0.241389, 0.013483, -0.970335, 0.194215, 0.036072, -0.980296, 0.220, 0.025, -21.6, 36.6, 338.8, -0.096, -0.080, -0.029
6, 24328, 8.611, 0.98, 1, 0.061286, 0.059358, -0.996354, 0.031053, 0.007235, -0.999492, 0.046, 0.033, -22.1, 36.2, 338.5, -0.090, -0.082, -0.031
7, 24328, 8.712, 0.98, 1, 0.097123, 0.029701, -0.994829, 0.032145, 0.031416, -0.998989, 0.065, 0.031, -22.3, 36.5, 338.9, -0.100, -0.083, -0.032
8, 24328, 8.812, 0.98, 1, 0.097247, 0.063463, -0.993235, 0.003903, 0.022967, -0.999729, 0.051, 0.043, -22.3, 36.9, 336.9, -0.093, -0.084, -0.032
9, 24328, 8.912, 0.98, 1, 0.102424, 0.074378, -0.991956, 0.018183, 0.040267, -0.999023, 0.061, 0.058, -22.6, 37.9, 337.3, -0.090, -0.084, -0.033
10, 24328, 9.011, 0.98, 1, 0.067937, 0.059127, -0.995936, 0.031680, 0.035586, -0.998864, 0.050, 0.047, -23.0, 38.2, 336.7, -0.087, -0.082, -0.033
11, 24328, 9.115, 0.98, 1, 0.066617, 0.076607, -0.994833, 0.026379, 0.034661, -0.999051, 0.047, 0.056, -24.0, 38.9, 338.5, -0.077, -0.074, -0.033
12, 24328, 9.212, 0.98, 1, 0.122254, 0.064298, -0.990414, 0.038652, 0.046561, -0.998167, 0.081, 0.056, -24.1, 38.8, 335.5, -0.075, -0.079, -0.034
13, 24328, 9.316, 0.98, 1, 0.103379, 0.065496, -0.992483, 0.050204, 0.049621, -0.997506, 0.077, 0.058, -24.4, 39.6, 336.2, -0.070, -0.076, -0.036
14, 24328, 9.420, 0.98, 1, 0.108984, 0.073363, -0.991333, 0.073322, 0.058726, -0.995578, 0.091, 0.066, -24.6, 40.2, 337.1, -0.066, -0.073, -0.037
15, 24328, 9.520, 0.98, 1, 0.126020, 0.070980, -0.989485, 0.049699, 0.043353, -0.997823, 0.088, 0.057, -24.5, 40.7, 335.7, -0.070, -0.071, -0.037
16, 24328, 9.615, 0.98, 1, 0.113898, 0.044276, -0.992505, 0.062983, 0.023676, -0.997734, 0.089, 0.034, -24.8, 40.7, 336.6, -0.068, -0.073, -0.035
17, 24328, 9.736, 0.98, 1, 0.047642, 0.073564, -0.996152, 0.005938, 0.018628, -0.999809, 0.027, 0.046, -25.0, 41.6, 336.7, -0.061, -0.078, -0.036
18, 24328, 9.848, 0.98, 1, 0.079381, 0.038553, -0.996099, -0.013671, 0.011702, -0.999838, 0.033, 0.025, -24.8, 41.5, 335.7, -0.060, -0.079, -0.035
19, 24328, 9.949, 0.98, 1, 0.083706, 0.034028, -0.995909, 0.010022, 0.024728, -0.999644, 0.047, 0.029, -24.3, 42.1, 335.6, -0.058, -0.075, -0.033
20, 24328, 10.076, 0.98, 1, 0.070764, 0.078467, -0.994402, 0.013432, 0.050399, -0.998639, 0.042, 0.065, -24.2, 42.0, 335.0, -0.059, -0.070, -0.032
21, 24328, 10.180, 0.98, 1, 0.035627, 0.087092, -0.995563, -0.021707, 0.060011, -0.997962, 0.007, 0.074, -25.7, 44.1, 339.5, -0.051, -0.045, -0.029
22, 24328, 10.293, 0.98, 1, 0.062320, 0.152029, -0.986409, -0.040146, 0.085497, -0.995529, 0.011, 0.119, -29.0, 44.7, 340.6, -0.047, -0.037, -0.026
23, 24328, 10.400, 0.98, 1, 0.041320, 0.129140, -0.990765, -0.065346, 0.091009, -0.993704, -0.012, 0.110, -31.1, 43.2, 342.4, -0.054, -0.023, -0.027
24, 24328, 10.502, 0.98, 1, 0.036959, 0.096397, -0.994657, -0.045811, 0.063285, -0.996943, -0.004, 0.080, -29.8, 41.4, 340.2, -0.061, -0.027, -0.027
25, 24328, 10.603, 0.98, 1, 0.073449, 0.098447, -0.992428, 0.000103, 0.060184, -0.998187, 0.037, 0.080, -27.6, 40.9, 339.5, -0.056, -0.029, -0.020
26, 24328, 10.714, 0.98, 1, 0.070646, 0.084464, -0.993919, -0.000550, 0.024195, -0.999707, 0.035, 0.054, -25.9, 40.0, 337.0, -0.070, -0.047, -0.019
27, 24328, 10.817, 0.98, 1, 0.041931, 0.075248, -0.996283, 0.003140, 0.031206, -0.999508, 0.023, 0.053, -27.5, 41.5, 338.0, -0.055, -0.044, -0.021
28, 24328, 10.919, 0.98, 1, 0.043332, 0.076746, -0.996109, -0.028869, 0.011429, -0.999518, 0.007, 0.044, -28.0, 40.2, 336.6, -0.061, -0.046, -0.024
29, 24328, 11.013, 0.98, 1, 0.074903, 0.056619, -0.995582, -0.008334, 0.025361, -0.999644, 0.033, 0.041, -28.0, 40.9, 336.6, -0.060, -0.050, -0.027
30, 24328, 11.123, 0.98, 1, 0.056457, 0.048271, -0.997237, -0.014843, 0.002521, -0.999887, 0.021, 0.025, -28.0, 39.9, 336.6, -0.067, -0.046, -0.029
31, 24328, 11.226, 0.98, 1, 0.063899, 0.080796, -0.994680, -0.032996, 0.029892, -0.999008, 0.015, 0.055, -28.1, 40.9, 336.0, -0.062, -0.049, -0.030
32, 24328, 11.339, 0.98, 1, 0.038266, 0.077803, -0.996234, -0.008557, 0.026794, -0.999604, 0.015, 0.052, -28.6, 40.3, 335.3, -0.065, -0.051, -0.030
33, 24328, 11.444, 0.98, 1, 0.047125, 0.104912, -0.993364, -0.020917, 0.035581, -0.999148, 0.013, 0.070, -29.0, 41.0, 336.4, -0.050, -0.051, -0.032
34, 24328, 11.535, 0.98, 1, 0.066510, 0.075384, -0.994934, -0.036897, 0.014892, -0.999208, 0.015, 0.045, -28.7, 41.3, 335.0, -0.055, -0.053, -0.035
35, 24328, 11.647, 0.98, 1, 0.082947, 0.088169, -0.992646, 0.047540, 0.033085, -0.998321, 0.065, 0.061, -28.0, 41.3, 333.9, -0.055, -0.059, -0.037
36, 24328, 11.750, 0.98, 1, 0.118444, 0.091664, -0.988721, 0.044909, 0.049332, -0.997772, 0.082, 0.071, -27.4, 41.7, 333.6, -0.055, -0.064, -0.041
37, 24328, 11.842, 0.98, 1, 0.056899, 0.066206, -0.996182, -0.015393, 0.017073, -0.999736, 0.021, 0.042, -27.9, 41.2, 334.1, -0.064, -0.058, -0.042
38, 24328, 11.922, 0.98, 1, 0.083260, 0.073025, -0.993849, -0.019357, 0.013282, -0.999724, 0.032, 0.043, -28.0, 41.8, 333.2, -0.062, -0.062, -0.042
39, 24328, 12.114, 0.98, 1, 0.117765, 0.055187, -0.991507, 0.054673, 0.033713, -0.997935, 0.086, 0.045, -28.3, 41.5, 334.0, -0.064, -0.059, -0.043
40, 24328, 12.269, 0.98, 1, 0.086350, 0.064200, -0.994194, 0.057434, 0.030877, -0.997872, 0.072, 0.048, -28.7, 41.3, 333.4, -0.066, -0.058, -0.046
41, 24328, 12.393, 0.98, 1, 0.038287, 0.083852, -0.995742, -0.015100, 0.005406, -0.999871, 0.012, 0.045, -29.1, 41.4, 334.3, -0.071, -0.055, -0.046
42, 24328, 12.499, 0.98, 1, 0.056384, 0.062779, -0.996433, 0.039444, 0.025341, -0.998900, 0.048, 0.044, -29.0, 41.5, 334.5, -0.069, -0.057, -0.046
43, 24328, 12.601, 0.98, 1, 0.089899, 0.038238, -0.995217, 0.055915, 0.017371, -0.998284, 0.073, 0.028, -28.7, 40.9, 333.8, -0.079, -0.056, -0.047
44, 24328, 12.713, 0.98, 1, 0.095475, 0.051123, -0.994118, 0.044143, 0.016868, -0.998883, 0.070, 0.034, -28.4, 41.4, 333.2, -0.077, -0.060, -0.047
45, 24328, 12.818, 0.98, 1, 0.110661, 0.055543, -0.992305, 0.048789, 0.030817, -0.998334, 0.080, 0.043, -28.4, 40.6, 333.5, -0.076, -0.060, -0.047
46, 24328, 12.932, 0.98, 1, 0.122404, 0.052189, -0.991107, 0.043560, 0.045319, -0.998022, 0.083, 0.049, -28.5, 40.9, 334.6, -0.081, -0.059, -0.047
47, 24328, 13.056, 0.98, 1, 0.077981, 0.059524, -0.995176, 0.046886, 0.028948, -0.998481, 0.063, 0.044, -28.5, 40.8, 334.0, -0.081, -0.057, -0.045
48, 24328, 13.186, 0.98, 1, 0.069451, 0.083735, -0.994065, -0.025022, 0.040607, -0.998862, 0.022, 0.062, -28.7, 40.4, 332.4, -0.075, -0.057, -0.047
49, 24328, 13.289, 0.98, 1, 0.079052, 0.039690, -0.996080, 0.033301, 0.013230, -0.999358, 0.056, 0.027, -28.7, 40.9, 334.4, -0.079, -0.058, -0.047
50, 24328, 13.387, 0.98, 1, 0.128402, 0.052380, -0.990338, 0.054476, 0.031111, -0.998030, 0.092, 0.042, -28.6, 40.4, 333.8, -0.077, -0.059, -0.047
51, 24328, 13.638, 0.98, 1, 0.120448, 0.046786, -0.991617, 0.060127, 0.029972, -0.997741, 0.091, 0.039, -28.5, 40.7, 334.2, -0.081, -0.062, -0.045
52, 24328, 13.779, 0.98, 1, 0.109742, 0.062484, -0.991994, 0.090126, 0.053016, -0.994518, 0.100, 0.058, -28.3, 40.3, 333.7, -0.079, -0.059, -0.047
