frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
2, 29302, 4.795, 0.98, 1, 0.038831, 0.104434, -0.993773, -0.080037, 0.058799, -0.995056, -0.021, 0.082, -9.1, 14.7, 347.6, -0.057, -0.002, 0.002
3, 29302, 4.899, 0.98, 1, 0.020864, 0.078537, -0.996693, -0.048449, 0.043623, -0.997873, -0.014, 0.061, -8.7, 14.9, 348.0, -0.057, -0.003, 0.011
4, 29302, 4.981, 0.98, 1, 0.033579, 0.095668, -0.994847, -0.078759, 0.080103, -0.993670, -0.023, 0.088, -8.0, 15.0, 344.8, -0.053, -0.011, 0.014
5, 29302, 5.075, 0.98, 1, 0.005125, 0.086374, -0.996250, -0.070728, 0.079745, -0.994303, -0.033, 0.083, -7.9, 14.9, 344.6, -0.056, -0.012, 0.016
6, 29302, 5.167, 0.98, 1, 0.052531, 0.077442, -0.995612, 0.012455, 0.089658, -0.995895, 0.033, 0.084, -8.0, 14.9, 345.5, -0.060, -0.009, 0.018
7, 29302, 5.243, 0.98, 1, 0.083530, 0.093744, -0.992086, 0.042819, 0.082455, -0.995674, 0.063, 0.088, -8.1, 15.0, 346.3, -0.058, -0.009, 0.018
8, 29302, 5.333, 0.98, 1, -0.027001, 0.108844, -0.993692, -0.063849, 0.060966, -0.996096, -0.046, 0.085, -8.6, 15.1, 346.8, -0.060, -0.009, 0.015
9, 29302, 5.431, 0.98, 1, -0.011120, 0.117906, -0.992963, -0.053841, 0.069327, -0.996140, -0.033, 0.094, -9.1, 15.3, 344.8, -0.053, -0.009, 0.012
10, 29302, 5.521, 0.98, 1, -0.023333, 0.090421, -0.995630, -0.067244, 0.055408, -0.996197, -0.045, 0.073, -9.7, 15.6, 346.7, -0.056, -0.003, 0.012
11, 29302, 5.612, 0.98, 1, 0.009391, 0.118107, -0.992956, -0.063652, 0.081859, -0.994609, -0.027, 0.100, -10.3, 15.6, 344.7, -0.048, -0.003, 0.007
12, 29302, 5.706, 0.98, 1, -0.017079, 0.117318, -0.992948, -0.077208, 0.063745, -0.994975, -0.047, 0.091, -10.8, 15.8, 346.8, -0.052, 0.001, 0.005
13, 29302, 5.800, 0.98, 1, -0.009143, 0.121008, -0.992610, -0.076113, 0.072040, -0.994493, -0.043, 0.097, -11.2, 15.7, 344.8, -0.045, -0.004, 0.003
14, 29302, 5.876, 0.98, 1, -0.012576, 0.102715, -0.994631, -0.069921, 0.075577, -0.994685, -0.041, 0.089, -11.6, 15.8, 345.6, -0.046, -0.002, -0.000
15, 29302, 5.964, 0.98, 1, -0.021421, 0.065670, -0.997611, -0.141537, 0.051139, -0.988611, -0.082, 0.059, -11.8, 15.7, 347.5, -0.044, 0.002, -0.001
16, 29302, 6.064, 0.98, 1, -0.026529, 0.061358, -0.997763, -0.104860, 0.028613, -0.994075, -0.066, 0.045, -12.0, 15.4, 346.8, -0.043, 0.004, -0.003
17, 29302, 6.148, 0.98, 1, -0.034655, 0.062203, -0.997462, -0.126448, 0.060369, -0.990135, -0.081, 0.062, -12.3, 15.6, 347.3, -0.042, 0.005, -0.004
18, 29302, 6.237, 0.98, 1, -0.059545, 0.047484, -0.997096, -0.114334, 0.033498, -0.992877, -0.087, 0.041, -12.5, 15.6, 348.3, -0.043, 0.008, -0.006
