frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
2, 13349, 13.822, 0.98, 1, 0.042516, 0.132551, -0.990264, 0.051776, 0.140127, -0.988779, 0.048, 0.137, -18.4, 37.9, 414.4, 0.030, -0.065, 0.083
3, 13349, 14.005, 0.98, 1, -0.012701, 0.135871, -0.990645, 0.042133, 0.109751, -0.993066, 0.015, 0.123, -18.5, 38.1, 414.8, 0.028, -0.062, 0.084
4, 13349, 14.137, 0.98, 1, -0.025430, 0.050833, -0.998383, 0.033990, 0.070788, -0.996912, 0.004, 0.061, -18.8, 38.5, 416.7, 0.029, -0.059, 0.077
5, 13349, 14.266, 0.98, 1, -0.052008, 0.107039, -0.992894, 0.016249, 0.070278, -0.997395, -0.018, 0.089, -19.0, 38.9, 417.4, 0.035, -0.054, 0.077
6, 13349, 14.404, 0.98, 1, 0.029694, 0.075824, -0.996679, 0.037719, 0.062551, -0.997329, 0.034, 0.069, -19.6, 38.8, 417.1, 0.036, -0.054, 0.074
7, 13349, 14.544, 0.98, 1, 0.020962, 0.061789, -0.997869, 0.038259, 0.059254, -0.997509, 0.030, 0.061, -19.5, 38.8, 417.0, 0.032, -0.055, 0.072
8, 13349, 14.692, 0.98, 1, 0.033520, 0.048793, -0.998246, 0.056819, 0.069033, -0.995995, 0.045, 0.059, -19.1, 38.7, 418.8, 0.035, -0.055, 0.076
9, 13349, 14.883, 0.98, 1, -0.014018, 0.100754, -0.994813, 0.030988, 0.065298, -0.997384, 0.009, 0.083, -19.1, 38.6, 417.9, 0.034, -0.054, 0.074
10, 13349, 15.068, 0.98, 1, -0.009863, 0.135484, -0.990730, 0.044738, 0.077248, -0.996008, 0.018, 0.107, -19.1, 38.8, 419.3, 0.034, -0.054, 0.073
11, 13349, 15.292, 0.98, 1, -0.000953, 0.116903, -0.993143, 0.033934, 0.087872, -0.995554, 0.017, 0.103, -19.5, 38.6, 418.6, 0.027, -0.053, 0.072
12, 13349, 15.485, 0.98, 1, 0.010401, 0.098040, -0.995128, 0.034116, 0.060194, -0.997604, 0.022, 0.079, -19.4, 38.6, 417.1, 0.027, -0.055, 0.073
13, 13349, 15.675, 0.98, 1, 0.117951, 0.040865, -0.992178, 0.088108, 0.099780, -0.991101, 0.104, 0.071, -19.2, 38.6, 418.8, 0.029, -0.057, 0.075
14, 13349, 15.835, 0.98, 1, 0.120912, 0.023881, -0.992376, 0.088996, 0.112686, -0.989637, 0.106, 0.069, -19.1, 38.5, 419.8, 0.035, -0.058, 0.073
15, 13349, 16.084, 0.98, 1, 0.094206, 0.036483, -0.994884, 0.098192, 0.097250, -0.990404, 0.097, 0.067, -19.1, 38.1, 417.6, 0.040, -0.056, 0.075
16, 13349, 16.267, 0.98, 1, 0.103949, 0.060187, -0.992760, 0.132411, 0.136427, -0.981761, 0.119, 0.099, -18.9, 38.4, 418.8, 0.034, -0.056, 0.076
17, 13349, 16.433, 0.98, 1, 0.105212, 0.087340, -0.990607, 0.148891, 0.126493, -0.980730, 0.128, 0.108, -18.8, 38.7, 420.3, 0.029, -0.059, 0.077
18, 13349, 16.612, 0.98, 1, 0.094491, 0.016169, -0.995394, 0.111449, 0.075575, -0.990892, 0.103, 0.046, -18.6, 38.0, 417.7, 0.025, -0.060, 0.078
19, 13349, 16.781, 0.98, 1, 0.119120, 0.020377, -0.992671, 0.111400, 0.102897, -0.988434, 0.116, 0.062, -18.8, 38.1, 419.1, 0.029, -0.062, 0.073
20, 13349, 16.945, 0.98, 1, 0.090789, 0.037418, -0.995167, 0.124386, 0.126191, -0.984177, 0.108, 0.082, -18.7, 38.2, 418.5, 0.026, -0.060, 0.076
21, 13349, 17.132, 0.98, 1, 0.091777, 0.014103, -0.995680, 0.126731, 0.139486, -0.982081, 0.110, 0.078, -18.8, 38.5, 418.6, 0.032, -0.060, 0.072
22, 13349, 17.370, 0.98, 1, -0.001393, 0.104534, -0.994520, 0.023556, 0.075850, -0.996841, 0.011, 0.090, -19.0, 38.5, 417.1, 0.025, -0.056, 0.073
23, 13349, 17.557, 0.98, 1, -0.067540, 0.132515, -0.988877, 0.021303, 0.073769, -0.997048, -0.023, 0.104, -19.3, 38.3, 419.0, 0.023, -0.058, 0.073
24, 13349, 17.737, 0.98, 1, -0.054389, 0.109388, -0.992510, 0.015492, 0.052942, -0.998477, -0.020, 0.081, -19.3, 38.1, 419.5, 0.022, -0.058, 0.071
25, 13349, 17.980, 0.98, 1, -0.067480, 0.114548, -0.991123, -0.013641, 0.079200, -0.996765, -0.041, 0.097, -19.3, 38.4, 419.6, 0.027, -0.053, 0.072
26, 13349, 18.212, 0.98, 1, -0.050741, 0.087951, -0.994832, 0.029941, 0.066972, -0.997306, -0.010, 0.078, -19.2, 38.0, 417.8, 0.016, -0.054, 0.072
27, 13349, 18.432, 0.98, 1, -0.077617, 0.084783, -0.993372, 0.026075, 0.062410, -0.997710, -0.026, 0.074, -19.3, 38.1, 418.4, 0.021, -0.057, 0.073
28, 13349, 18.633, 0.98, 1, 0.074318, 0.068330, -0.994891, 0.102147, 0.142803, -0.984466, 0.089, 0.106, -19.1, 38.1, 419.8, 0.030, -0.060, 0.076
