frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
2, 31075, 6.964, 0.98, 1, -0.035291, 0.013708, -0.999283, -0.090799, -0.006764, -0.995846, -0.063, 0.003, 11.5, 32.8, 396.3, -0.117, 0.035, -0.039
3, 31075, 7.047, 0.98, 1, -0.040968, 0.014035, -0.999062, -0.064337, -0.005270, -0.997914, -0.053, 0.004, 11.4, 32.6, 393.2, -0.111, 0.033, -0.036
4, 31075, 7.132, 0.98, 1, -0.009365, 0.024957, -0.999645, -0.061987, 0.014910, -0.997966, -0.036, 0.020, 10.8, 33.0, 392.9, -0.102, 0.035, -0.038
5, 31075, 7.218, 0.98, 1, -0.054541, 0.035454, -0.997882, -0.053933, 0.019107, -0.998362, -0.054, 0.027, 10.4, 33.3, 393.1, -0.101, 0.035, -0.039
6, 31075, 7.303, 0.98, 1, -0.031468, 0.041642, -0.998637, -0.058988, 0.000316, -0.998259, -0.045, 0.021, 10.2, 33.3, 393.2, -0.097, 0.035, -0.041
7, 31075, 7.394, 0.98, 1, -0.065355, 0.039399, -0.997084, -0.097220, 0.004648, -0.995252, -0.081, 0.022, 10.2, 33.6, 395.2, -0.100, 0.038, -0.041
8, 31075, 7.500, 0.98, 1, -0.060841, -0.003103, -0.998143, -0.107843, -0.011096, -0.994106, -0.084, -0.007, 10.1, 33.6, 394.3, -0.102, 0.040, -0.040
9, 31075, 7.595, 0.98, 1, -0.060486, -0.025519, -0.997843, -0.110909, -0.022597, -0.993574, -0.086, -0.024, 10.4, 33.6, 394.1, -0.100, 0.041, -0.040
10, 31075, 7.687, 0.98, 1, -0.098523, -0.016291, -0.995001, -0.168131, 0.001246, -0.985764, -0.134, -0.008, 10.7, 33.8, 395.8, -0.100, 0.043, -0.041
11, 31075, 7.786, 0.98, 1, -0.097925, -0.015763, -0.995069, -0.153617, -0.026798, -0.987767, -0.126, -0.021, 10.8, 34.1, 396.1, -0.092, 0.042, -0.041
12, 31075, 7.893, 0.98, 1, -0.063618, 0.057785, -0.996300, -0.114792, 0.023660, -0.993108, -0.089, 0.041, 10.6, 34.4, 395.1, -0.087, 0.040, -0.042
13, 31075, 7.990, 0.98, 1, -0.058493, 0.060653, -0.996444, -0.075450, 0.023510, -0.996872, -0.067, 0.042, 10.4, 34.3, 393.9, -0.086, 0.039, -0.044
14, 31075, 8.081, 0.98, 1, -0.067518, 0.052559, -0.996333, -0.082680, 0.021648, -0.996341, -0.075, 0.037, 10.4, 34.2, 394.0, -0.082, 0.041, -0.044
15, 31075, 8.173, 0.98, 1, -0.061189, 0.072183, -0.995513, -0.092435, 0.016341, -0.995585, -0.077, 0.044, 10.4, 34.5, 393.4, -0.080, 0.039, -0.044
16, 31075, 8.274, 0.98, 1, -0.049715, 0.053621, -0.997323, -0.113024, 0.020144, -0.993388, -0.082, 0.037, 10.7, 34.4, 394.2, -0.085, 0.039, -0.045
17, 31075, 8.363, 0.98, 1, -0.060320, 0.035720, -0.997540, -0.095789, 0.017162, -0.995254, -0.078, 0.027, 10.7, 34.6, 394.9, -0.081, 0.039, -0.046
18, 31075, 8.459, 0.98, 1, -0.046328, 0.051362, -0.997605, -0.099262, 0.027494, -0.994681, -0.073, 0.040, 10.7, 34.7, 394.2, -0.081, 0.042, -0.046
19, 31075, 8.583, 0.98, 1, -0.039814, 0.044164, -0.998231, -0.084070, 0.024395, -0.996161, -0.062, 0.034, 10.6, 34.6, 393.9, -0.081, 0.040, -0.046
20, 31075, 8.663, 0.98, 1, -0.057740, 0.057389, -0.996681, -0.085257, 0.051936, -0.995004, -0.072, 0.055, 10.4, 34.5, 394.5, -0.084, 0.040, -0.048
21, 31075, 8.758, 0.98, 1, 0.008078, 0.051046, -0.998664, -0.022535, 0.059583, -0.997969, -0.007, 0.055, 10.5, 34.7, 395.7, -0.090, 0.043, -0.045
22, 31075, 8.865, 0.98, 1, 0.028745, 0.019925, -0.999388, 0.006692, 0.015216, -0.999862, 0.018, 0.018, 10.6, 34.6, 395.2, -0.085, 0.042, -0.046
23, 31075, 8.948, 0.98, 1, 0.034575, -0.007430, -0.999375, 0.001603, 0.008526, -0.999962, 0.018, 0.001, 10.6, 34.5, 395.4, -0.083, 0.041, -0.046
24, 31075, 9.046, 0.98, 1, 0.015274, 0.008423, -0.999848, -0.002317, 0.013936, -0.999900, 0.006, 0.011, 10.6, 34.6, 395.0, -0.082, 0.042, -0.046
25, 31075, 9.147, 0.98, 1, 0.043763, -0.003755, -0.999035, -0.009101, 0.013307, -0.999870, 0.017, 0.005, 10.7, 34.5, 395.1, -0.088, 0.039, -0.045
26, 31075, 9.243, 0.98, 1, 0.019936, 0.021510, -0.999570, 0.004097, 0.027739, -0.999607, 0.012, 0.025, 11.5, 34.5, 394.8, -0.088, 0.031, -0.045
27, 31075, 9.341, 0.98, 1, 0.034962, 0.011240, -0.999325, 0.016752, 0.015240, -0.999744, 0.026, 0.013, 12.2, 34.5, 394.6, -0.089, 0.019, -0.044
28, 31075, 9.423, 0.98, 1, 0.034826, -0.000017, -0.999393, 0.001979, 0.005999, -0.999980, 0.018, 0.003, 12.3, 34.6, 395.3, -0.095, 0.018, -0.043
29, 31075, 9.529, 0.98, 1, 0.037610, 0.006023, -0.999274, 0.033184, 0.003571, -0.999443, 0.035, 0.005, 11.9, 34.6, 393.9, -0.095, 0.022, -0.044
30, 31075, 9.629, 0.98, 1, 0.030204, -0.001591, -0.999542, 0.010597, 0.000985, -0.999943, 0.020, -0.000, 12.0, 34.6, 393.7, -0.097, 0.021, -0.042
31, 31075, 9.711, 0.98, 1, 0.032179, -0.009030, -0.999441, -0.022976, -0.002600, -0.999733, 0.005, -0.006, 12.2, 34.7, 397.0, -0.103, 0.022, -0.042
32, 31075, 9.792, 0.98, 1, 0.017489, -0.006187, -0.999828, -0.004817, 0.006018, -0.999970, 0.006, -0.000, 12.3, 34.6, 395.6, -0.100, 0.020, -0.042
33, 31075, 9.883, 0.98, 1, 0.046422, -0.008277, -0.998888, 0.002018, 0.000461, -0.999998, 0.024, -0.004, 12.5, 34.5, 395.8, -0.100, 0.018, -0.042
34, 31075, 9.964, 0.98, 1, 0.026214, 0.002657, -0.999653, 0.005577, -0.003126, -0.999980, 0.016, -0.000, 12.2, 34.3, 394.2, -0.097, 0.021, -0.043
35, 31075, 10.048, 0.98, 1, 0.033656, -0.007950, -0.999402, 0.010051, -0.020594, -0.999737, 0.022, -0.014, 12.1, 34.3, 395.4, -0.105, 0.021, -0.041
36, 31075, 10.145, 0.98, 1, 0.029499, -0.007487, -0.999537, 0.001926, 0.007233, -0.999972, 0.016, -0.000, 12.1, 34.2, 395.4, -0.101, 0.020, -0.043
37, 31075, 10.242, 0.98, 1, 0.021656, 0.003670, -0.999759, 0.007587, -0.011656, -0.999903, 0.015, -0.004, 12.0, 34.2, 395.0, -0.102, 0.021, -0.042
38, 31075, 10.324, 0.98, 1, -0.094655, 0.023727, -0.995227, -0.117705, 0.000195, -0.993049, -0.106, 0.012, 11.7, 34.4, 396.2, -0.102, 0.025, -0.045
39, 31075, 10.423, 0.98, 1, -0.072035, -0.009628, -0.997356, -0.112817, -0.004926, -0.993604, -0.093, -0.007, 11.6, 34.5, 397.0, -0.105, 0.024, -0.047
40, 31075, 10.503, 0.98, 1, -0.097820, -0.002650, -0.995201, -0.142465, -0.007175, -0.989774, -0.120, -0.005, 11.2, 34.6, 397.1, -0.099, 0.026, -0.049
41, 31075, 10.593, 0.98, 1, -0.113834, 0.004006, -0.993492, -0.141727, 0.001615, -0.989904, -0.128, 0.003, 11.0, 34.6, 397.0, -0.095, 0.031, -0.052
42, 31075, 10.689, 0.98, 1, -0.136455, -0.015093, -0.990531, -0.151886, 0.013808, -0.988302, -0.145, -0.001, 11.0, 34.4, 396.6, -0.098, 0.031, -0.054
43, 31075, 10.771, 0.98, 1, -0.127274, 0.005730, -0.991851, -0.140277, 0.001032, -0.990112, -0.134, 0.003, 10.9, 34.5, 396.9, -0.094, 0.034, -0.056
44, 31075, 10.877, 0.98, 1, -0.127373, 0.003509, -0.991849, -0.166900, 0.008508, -0.985937, -0.148, 0.006, 10.8, 34.5, 396.3, -0.093, 0.036, -0.055
45, 31075, 10.958, 0.98, 1, -0.052818, 0.035996, -0.997955, -0.118731, 0.034478, -0.992328, -0.086, 0.035, 10.7, 34.3, 393.9, -0.089, 0.031, -0.055
46, 31075, 11.055, 0.98, 1, -0.036956, 0.056310, -0.997729, -0.089282, 0.014603, -0.995899, -0.063, 0.036, 10.8, 34.5, 394.2, -0.083, 0.033, -0.056
47, 31075, 11.138, 0.98, 1, -0.042239, 0.041720, -0.998236, -0.092814, 0.031271, -0.995192, -0.068, 0.037, 10.8, 34.5, 393.9, -0.087, 0.032, -0.055
48, 31075, 11.236, 0.98, 1, -0.125083, 0.011633, -0.992078, -0.142168, 0.009086, -0.989801, -0.134, 0.010, 11.0, 34.8, 397.7, -0.088, 0.037, -0.056
49, 31075, 11.322, 0.98, 1, -0.114925, 0.016692, -0.993234, -0.130082, -0.007822, -0.991472, -0.123, 0.004, 10.8, 34.7, 395.3, -0.083, 0.035, -0.056
50, 31075, 11.402, 0.98, 1, -0.049114, 0.049479, -0.997567, -0.116469, 0.016755, -0.993053, -0.083, 0.033, 10.7, 34.7, 394.5, -0.085, 0.034, -0.054
51, 31075, 11.484, 0.98, 1, -0.050918, 0.040519, -0.997881, -0.122663, 0.022834, -0.992186, -0.087, 0.032, 10.7, 34.9, 395.4, -0.084, 0.035, -0.055
52, 31075, 11.591, 0.98, 1, -0.071285, 0.048228, -0.996289, -0.064496, 0.020697, -0.997703, -0.068, 0.035, 10.5, 34.7, 395.0, -0.083, 0.036, -0.056
53, 31075, 11.671, 0.98, 1, -0.043002, 0.037007, -0.998389, -0.083071, 0.016306, -0.996410, -0.063, 0.027, 10.5, 34.8, 395.3, -0.083, 0.037, -0.057
