frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 23985, 35.092, 0.98, 1, 0.129460, 0.067393, -0.989292, -0.036387, 0.077685, -0.996314, 0.047, 0.073, -30.3, 98.6, 497.0, -0.077, -0.052, 0.062
2, 23985, 35.574, 0.98, 1, 0.109223, 0.105156, -0.988440, 0.016171, 0.110009, -0.993799, 0.063, 0.108, -23.5, 101.0, 498.0, -0.037, -0.073, 0.045
3, 23985, 35.676, 0.98, 1, 0.095293, 0.120761, -0.988097, -0.000767, 0.095883, -0.995392, 0.048, 0.109, -17.3, 100.9, 496.3, -0.037, -0.079, 0.040
4, 23985, 35.796, 0.98, 1, 0.057498, 0.113195, -0.991908, -0.037565, 0.105408, -0.993719, 0.010, 0.110, -11.9, 101.0, 494.1, -0.035, -0.063, 0.027
5, 23985, 35.882, 0.98, 1, 0.070315, 0.093189, -0.993162, -0.033223, 0.093675, -0.995048, 0.019, 0.094, -12.7, 101.5, 493.8, -0.052, -0.029, 0.004
6, 23985, 35.977, 0.98, 1, 0.047034, 0.100335, -0.993841, -0.019452, 0.091668, -0.995600, 0.014, 0.096, -15.7, 102.5, 497.1, -0.050, -0.006, -0.015
7, 23985, 36.107, 0.98, 1, 0.055477, 0.065527, -0.996307, -0.057665, 0.098505, -0.993464, -0.001, 0.082, -20.6, 100.9, 497.4, -0.072, 0.012, -0.032
8, 23985, 36.222, 0.98, 1, 0.130424, 0.058317, -0.989742, -0.002701, 0.061690, -0.998092, 0.064, 0.060, -25.0, 98.0, 497.2, -0.095, 0.030, -0.046
9, 23985, 36.313, 0.98, 1, 0.081287, 0.079782, -0.993492, -0.018316, 0.076676, -0.996888, 0.032, 0.078, -27.6, 97.9, 494.7, -0.084, 0.040, -0.053
10, 23985, 36.421, 0.98, 1, 0.089019, 0.087970, -0.992138, -0.064363, 0.093864, -0.993502, 0.012, 0.091, -29.2, 98.4, 495.7, -0.073, 0.043, -0.063
11, 23985, 36.555, 0.98, 1, 0.062716, 0.094627, -0.993535, -0.063180, 0.089760, -0.993957, -0.000, 0.093, -28.9, 100.8, 498.7, -0.058, 0.040, -0.063
12, 23985, 36.651, 0.98, 1, 0.098222, 0.100598, -0.990067, -0.045608, 0.115835, -0.992221, 0.027, 0.109, -27.9, 100.6, 499.2, -0.066, 0.034, -0.060
13, 23985, 36.747, 0.98, 1, 0.086205, 0.074527, -0.993486, -0.045981, 0.096470, -0.994273, 0.020, 0.086, -27.4, 100.2, 499.8, -0.079, 0.037, -0.057
14, 23985, 36.882, 0.98, 1, 0.124242, 0.065476, -0.990089, -0.009861, 0.080121, -0.996736, 0.058, 0.073, -27.2, 99.7, 499.5, -0.086, 0.031, -0.055
15, 23985, 37.026, 0.98, 1, 0.161937, 0.047619, -0.985652, 0.062152, 0.056064, -0.996491, 0.113, 0.052, -26.5, 98.4, 499.1, -0.096, 0.029, -0.052
16, 23985, 37.148, 0.98, 1, 0.179177, 0.057651, -0.982126, 0.055535, 0.077282, -0.995461, 0.118, 0.068, -25.8, 98.7, 498.1, -0.078, 0.026, -0.052
17, 23985, 37.246, 0.98, 1, 0.137196, 0.073681, -0.987800, 0.050778, 0.069548, -0.996285, 0.094, 0.072, -25.3, 98.7, 496.5, -0.072, 0.022, -0.052
18, 23985, 37.390, 0.98, 1, 0.129965, 0.057040, -0.989877, 0.027357, 0.082971, -0.996176, 0.079, 0.070, -25.0, 98.9, 498.4, -0.074, 0.018, -0.048
19, 23985, 37.517, 0.98, 1, 0.163151, 0.060805, -0.984726, 0.036036, 0.079621, -0.996174, 0.100, 0.071, -24.8, 98.5, 498.2, -0.083, 0.021, -0.050
20, 23985, 37.642, 0.98, 1, 0.157865, 0.048587, -0.986265, 0.056548, 0.062216, -0.996459, 0.108, 0.056, -24.5, 98.4, 499.4, -0.086, 0.016, -0.046
21, 23985, 37.758, 0.98, 1, 0.190482, 0.061767, -0.979746, 0.027184, 0.060909, -0.997773, 0.110, 0.062, -24.0, 97.9, 498.0, -0.091, 0.013, -0.045
22, 23985, 37.890, 0.98, 1, 0.127570, 0.044081, -0.990849, 0.035446, 0.062960, -0.997386, 0.082, 0.054, -24.0, 97.9, 498.4, -0.092, 0.013, -0.040
23, 23985, 37.994, 0.98, 1, 0.152172, 0.057341, -0.986689, 0.040530, 0.052080, -0.997820, 0.097, 0.055, -23.8, 98.1, 498.4, -0.092, 0.011, -0.041
