frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 31186, 5.252, 0.98, 1, 0.040008, 0.114882, -0.992573, -0.076328, 0.076895, -0.994113, -0.018, 0.096, -4.4, 34.6, 301.0, -0.042, -0.017, 0.013
2, 31186, 5.684, 0.98, 1, 0.010163, 0.094533, -0.995470, -0.040044, 0.057064, -0.997567, -0.015, 0.076, -4.6, 34.3, 295.7, -0.043, -0.027, 0.019
3, 31186, 5.786, 0.98, 1, 0.012355, 0.091931, -0.995689, -0.056596, 0.050858, -0.997101, -0.022, 0.072, -4.6, 34.4, 294.5, -0.044, -0.032, 0.022
4, 31186, 5.886, 0.98, 1, -0.007037, 0.097574, -0.995203, -0.040569, 0.070857, -0.996661, -0.024, 0.084, -4.9, 34.6, 295.3, -0.047, -0.031, 0.024
5, 31186, 5.979, 0.98, 1, -0.007435, 0.095828, -0.995370, -0.056413, 0.048789, -0.997215, -0.032, 0.072, -5.4, 34.8, 296.4, -0.051, -0.032, 0.025
6, 31186, 6.085, 0.98, 1, -0.005055, 0.103545, -0.994612, -0.071175, 0.069362, -0.995049, -0.038, 0.087, -6.0, 34.4, 295.6, -0.052, -0.031, 0.023
7, 31186, 6.187, 0.98, 1, -0.023039, 0.116774, -0.992891, -0.076846, 0.068786, -0.994667, -0.050, 0.093, -6.1, 34.8, 295.2, -0.050, -0.033, 0.023
8, 31186, 6.289, 0.98, 1, -0.008170, 0.096962, -0.995255, -0.084360, 0.069516, -0.994007, -0.046, 0.083, -6.2, 34.2, 295.3, -0.052, -0.032, 0.024
9, 31186, 6.363, 0.98, 1, -0.016958, 0.114641, -0.993262, -0.087281, 0.071259, -0.993632, -0.052, 0.093, -6.1, 34.8, 295.1, -0.049, -0.032, 0.025
10, 31186, 6.454, 0.98, 1, 0.000321, 0.099306, -0.995057, -0.091944, 0.069843, -0.993312, -0.046, 0.085, -6.2, 34.3, 294.4, -0.049, -0.033, 0.026
11, 31186, 6.552, 0.98, 1, -0.020947, 0.091971, -0.995541, -0.086104, 0.076464, -0.993348, -0.054, 0.084, -6.5, 34.6, 295.4, -0.051, -0.033, 0.027
12, 31186, 6.643, 0.98, 1, -0.020446, 0.084215, -0.996238, -0.087576, 0.061004, -0.994288, -0.054, 0.073, -7.0, 34.2, 296.3, -0.055, -0.032, 0.026
13, 31186, 6.718, 0.98, 1, -0.043077, 0.037363, -0.998373, -0.096744, 0.013423, -0.995219, -0.070, 0.025, -7.0, 34.3, 296.8, -0.059, -0.033, 0.027
14, 31186, 6.844, 0.98, 1, -0.061415, 0.032776, -0.997574, -0.114049, 0.001153, -0.993474, -0.088, 0.017, -7.0, 34.0, 296.4, -0.059, -0.035, 0.027
15, 31186, 6.945, 0.98, 1, -0.062301, 0.043325, -0.997117, -0.137036, -0.004910, -0.990554, -0.100, 0.019, -7.3, 34.4, 296.9, -0.054, -0.031, 0.026
16, 31186, 7.035, 0.98, 1, 0.028922, 0.046041, -0.998521, -0.036393, 0.049623, -0.998105, -0.004, 0.048, -7.3, 33.8, 294.8, -0.055, -0.031, 0.027
17, 31186, 7.125, 0.98, 1, 0.053644, 0.026979, -0.998196, -0.000870, 0.055816, -0.998441, 0.026, 0.041, -7.2, 34.1, 295.1, -0.056, -0.032, 0.026
18, 31186, 7.220, 0.98, 1, 0.119403, 0.040376, -0.992025, 0.053839, 0.058455, -0.996837, 0.087, 0.050, -6.7, 33.9, 295.2, -0.058, -0.032, 0.030
19, 31186, 7.311, 0.98, 1, 0.127298, 0.037805, -0.991144, 0.056906, 0.063573, -0.996353, 0.092, 0.051, -6.4, 34.3, 294.9, -0.059, -0.034, 0.031
20, 31186, 7.402, 0.98, 1, 0.119923, 0.039972, -0.991978, 0.062457, 0.065625, -0.995888, 0.091, 0.053, -6.4, 34.0, 294.7, -0.060, -0.035, 0.032
21, 31186, 7.495, 0.98, 1, 0.109139, 0.035094, -0.993407, 0.029569, 0.061161, -0.997690, 0.070, 0.048, -6.3, 34.6, 295.4, -0.057, -0.036, 0.032
22, 31186, 7.590, 0.98, 1, 0.125908, 0.045044, -0.991019, 0.041099, 0.059597, -0.997376, 0.084, 0.053, -6.1, 34.5, 295.0, -0.055, -0.037, 0.031
23, 31186, 7.682, 0.98, 1, 0.110710, 0.037609, -0.993141, 0.045086, 0.054791, -0.997479, 0.078, 0.046, -5.9, 34.6, 295.3, -0.057, -0.037, 0.031
24, 31186, 7.773, 0.98, 1, 0.121423, 0.036370, -0.991934, 0.040795, 0.053501, -0.997734, 0.081, 0.045, -5.9, 34.4, 294.8, -0.060, -0.037, 0.030
25, 31186, 7.872, 0.98, 1, 0.115513, 0.036777, -0.992625, 0.040867, 0.069114, -0.996771, 0.078, 0.053, -5.8, 34.5, 295.3, -0.058, -0.038, 0.031
26, 31186, 7.956, 0.98, 1, 0.120828, 0.036571, -0.992000, 0.034887, 0.060377, -0.997566, 0.078, 0.049, -5.8, 34.4, 295.0, -0.062, -0.039, 0.030
27, 31186, 8.039, 0.98, 1, 0.126157, 0.039624, -0.991219, 0.053640, 0.061145, -0.996687, 0.090, 0.051, -5.9, 34.7, 294.9, -0.059, -0.041, 0.028
28, 31186, 8.120, 0.98, 1, 0.111995, 0.033591, -0.993141, 0.052002, 0.074574, -0.995859, 0.082, 0.054, -6.0, 34.7, 294.5, -0.060, -0.044, 0.027
29, 31186, 8.223, 0.98, 1, 0.118777, 0.035678, -0.992280, 0.040811, 0.059846, -0.997373, 0.080, 0.048, -6.2, 34.7, 294.4, -0.062, -0.043, 0.027
30, 31186, 8.317, 0.98, 1, 0.100193, 0.036771, -0.994288, 0.050408, 0.065457, -0.996581, 0.076, 0.051, -6.3, 34.8, 294.2, -0.058, -0.044, 0.027
31, 31186, 8.416, 0.98, 1, 0.113358, 0.048097, -0.992389, 0.063585, 0.068032, -0.995655, 0.089, 0.058, -6.4, 34.8, 294.2, -0.058, -0.043, 0.027
32, 31186, 8.500, 0.98, 1, 0.102405, 0.043286, -0.993800, 0.039373, 0.054222, -0.997752, 0.071, 0.049, -6.5, 34.8, 293.8, -0.057, -0.043, 0.026
33, 31186, 8.607, 0.98, 1, 0.017445, 0.078739, -0.996743, -0.060915, 0.042460, -0.997239, -0.022, 0.061, -6.8, 34.8, 294.4, -0.061, -0.043, 0.022
34, 31186, 8.709, 0.98, 1, -0.003731, 0.072799, -0.997340, -0.060111, 0.040093, -0.997386, -0.032, 0.057, -6.9, 34.7, 294.9, -0.064, -0.043, 0.022
35, 31186, 8.794, 0.98, 1, -0.054752, 0.063212, -0.996497, -0.115524, 0.031990, -0.992789, -0.085, 0.048, -7.2, 35.0, 296.8, -0.063, -0.041, 0.020
36, 31186, 8.874, 0.98, 1, -0.050152, 0.075441, -0.995888, -0.105623, 0.029011, -0.993983, -0.078, 0.052, -7.4, 35.2, 296.9, -0.057, -0.038, 0.020
37, 31186, 8.984, 0.98, 1, -0.047597, 0.062698, -0.996897, -0.113709, 0.029266, -0.993083, -0.081, 0.046, -7.5, 35.0, 297.0, -0.057, -0.038, 0.019
38, 31186, 9.070, 0.98, 1, -0.048283, 0.065835, -0.996662, -0.111387, 0.031510, -0.993277, -0.080, 0.049, -7.5, 35.1, 297.5, -0.059, -0.037, 0.018
39, 31186, 9.151, 0.98, 1, -0.016919, 0.097932, -0.995049, -0.060495, 0.061423, -0.996277, -0.039, 0.080, -7.4, 34.8, 295.5, -0.055, -0.039, 0.019
