frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 12134, 15.368, 0.98, 1, -0.002029, 0.055168, -0.998475, -0.052489, 0.073527, -0.995911, -0.027, 0.064, 3.6, 11.8, 332.6, -0.028, 0.006, -0.091
2, 12134, 16.302, 0.98, 1, -0.003870, 0.065471, -0.997847, 0.002166, 0.092128, -0.995745, -0.001, 0.079, 4.0, 11.9, 336.1, -0.015, 0.013, -0.098
3, 12134, 16.450, 0.98, 1, -0.002664, 0.071860, -0.997411, 0.019515, 0.094722, -0.995313, 0.008, 0.083, 4.0, 11.9, 336.1, -0.015, 0.014, -0.103
4, 12134, 16.604, 0.98, 1, 0.030874, 0.057566, -0.997864, 0.085813, 0.083837, -0.992778, 0.059, 0.071, 4.2, 12.1, 337.4, -0.014, 0.013, -0.101
5, 12134, 16.769, 0.98, 1, 0.048168, 0.064703, -0.996741, 0.080775, 0.097741, -0.991928, 0.065, 0.082, 4.7, 12.1, 337.8, -0.008, 0.009, -0.102
6, 12134, 16.938, 0.98, 1, 0.029902, 0.063630, -0.997526, 0.061636, 0.068785, -0.995726, 0.046, 0.066, 5.1, 12.2, 337.2, -0.011, 0.011, -0.100
7, 12134, 17.105, 0.98, 1, -0.044659, 0.079863, -0.995805, -0.041352, 0.075996, -0.996250, -0.043, 0.078, 5.3, 12.2, 337.2, -0.012, 0.007, -0.101
8, 12134, 17.329, 0.98, 1, 0.077829, 0.080608, -0.993703, 0.074243, 0.089310, -0.993233, 0.076, 0.085, 5.6, 12.1, 336.6, -0.009, 0.007, -0.098
9, 12134, 17.564, 0.98, 1, 0.053325, 0.077577, -0.995559, 0.072691, 0.088791, -0.993394, 0.063, 0.083, 5.4, 12.0, 337.0, -0.006, 0.007, -0.099
10, 12134, 17.793, 0.98, 1, 0.058277, 0.096464, -0.993629, 0.053099, 0.082267, -0.995195, 0.056, 0.090, 5.1, 12.1, 336.7, -0.010, 0.008, -0.100
