frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 10208, 20.742, 0.98, 1, -0.004261, 0.314109, -0.949377, -0.030730, 0.309344, -0.950454, -0.018, 0.317, -20.6, -11.8, 375.8, 0.211, -0.005, -0.031
2, 10208, 21.321, 0.98, 1, 0.053568, 0.308845, -0.949603, 0.004713, 0.298882, -0.954278, 0.031, 0.309, -23.8, -12.2, 376.9, 0.213, -0.003, -0.035
3, 10208, 21.428, 0.98, 1, 0.051162, 0.325779, -0.944061, -0.003798, 0.301223, -0.953546, 0.025, 0.319, -23.7, -12.4, 376.5, 0.217, -0.004, -0.035
4, 10208, 21.533, 0.98, 1, 0.058477, 0.305308, -0.950457, -0.010828, 0.301857, -0.953292, 0.025, 0.309, -23.1, -12.3, 375.3, 0.216, -0.010, -0.034
5, 10208, 21.637, 0.98, 1, 0.052832, 0.304867, -0.950928, 0.012195, 0.308030, -0.951299, 0.034, 0.312, -22.3, -12.1, 375.5, 0.220, -0.019, -0.033
6, 10208, 21.732, 0.98, 1, 0.077602, 0.289891, -0.953908, -0.006273, 0.290475, -0.956862, 0.037, 0.295, -21.7, -12.1, 374.3, 0.218, -0.027, -0.029
7, 10208, 21.835, 0.98, 1, 0.072233, 0.292058, -0.953669, 0.014320, 0.298874, -0.954185, 0.045, 0.300, -21.6, -12.2, 374.4, 0.219, -0.030, -0.028
8, 10208, 21.940, 0.98, 1, 0.053777, 0.315880, -0.947274, 0.009993, 0.308927, -0.951033, 0.034, 0.318, -21.8, -12.3, 375.6, 0.219, -0.029, -0.027
9, 10208, 22.068, 0.98, 1, 0.154529, 0.293270, -0.943458, 0.095691, 0.307841, -0.946614, 0.132, 0.308, -20.8, -12.4, 373.2, 0.213, -0.045, -0.024
10, 10208, 22.175, 0.98, 1, 0.152014, 0.258797, -0.953895, 0.078944, 0.296491, -0.951767, 0.121, 0.284, -20.1, -12.7, 373.0, 0.210, -0.058, -0.021
11, 10208, 22.280, 0.98, 1, 0.142147, 0.274080, -0.951144, 0.092451, 0.287170, -0.953408, 0.123, 0.287, -20.2, -13.0, 372.5, 0.209, -0.058, -0.018
12, 10208, 22.392, 0.98, 1, 0.139748, 0.263158, -0.954578, 0.085974, 0.281237, -0.955779, 0.118, 0.278, -20.2, -13.3, 372.9, 0.205, -0.060, -0.020
13, 10208, 22.497, 0.98, 1, 0.146970, 0.244193, -0.958525, 0.088801, 0.280488, -0.955741, 0.123, 0.268, -19.3, -13.6, 372.3, 0.200, -0.072, -0.019
14, 10208, 22.605, 0.98, 1, 0.150354, 0.256258, -0.954843, 0.081960, 0.300009, -0.950409, 0.121, 0.284, -18.8, -13.8, 372.1, 0.195, -0.073, -0.019
15, 10208, 22.718, 0.98, 1, 0.149468, 0.236069, -0.960172, 0.053688, 0.278449, -0.958949, 0.105, 0.262, -18.0, -13.7, 370.9, 0.200, -0.073, -0.017
16, 10208, 22.827, 0.98, 1, 0.129038, 0.259772, -0.957010, 0.044862, 0.308915, -0.950031, 0.091, 0.290, -16.8, -13.8, 371.2, 0.204, -0.069, -0.016
