frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
2, 20524, 14.284, 0.98, 1, 0.155652, 0.056883, -0.986173, -0.115375, 0.058494, -0.991598, 0.020, 0.058, -2.0, 44.0, 422.4, -0.159, -0.043, 0.025
3, 20524, 14.371, 0.98, 1, 0.147428, 0.047211, -0.987945, -0.112488, 0.056989, -0.992018, 0.018, 0.053, -1.8, 44.1, 423.9, -0.140, -0.051, 0.035
4, 20524, 14.454, 0.98, 1, 0.158885, 0.039087, -0.986523, -0.057428, 0.054624, -0.996854, 0.051, 0.047, -1.1, 44.0, 423.2, -0.138, -0.063, 0.037
5, 20524, 14.546, 0.98, 1, 0.117771, 0.072816, -0.990368, -0.081688, 0.065082, -0.994531, 0.018, 0.069, -1.1, 44.1, 422.7, -0.133, -0.060, 0.043
6, 20524, 14.632, 0.98, 1, 0.165909, 0.057122, -0.984485, -0.052513, 0.074870, -0.995810, 0.057, 0.067, -0.7, 43.8, 422.2, -0.140, -0.069, 0.044
7, 20524, 14.707, 0.98, 1, 0.229065, 0.025941, -0.973065, -0.034832, 0.016095, -0.999264, 0.098, 0.021, -0.4, 43.7, 420.2, -0.137, -0.077, 0.043
8, 20524, 14.787, 0.98, 1, 0.214709, 0.052995, -0.975239, -0.053345, 0.028686, -0.998164, 0.082, 0.041, -0.3, 43.6, 422.3, -0.137, -0.076, 0.044
9, 20524, 14.867, 0.98, 1, 0.123383, 0.031723, -0.991852, -0.098024, 0.076247, -0.992259, 0.013, 0.054, -0.4, 43.6, 422.1, -0.140, -0.080, 0.043
10, 20524, 14.946, 0.98, 1, 0.107255, 0.047101, -0.993115, -0.087299, 0.033861, -0.995606, 0.010, 0.041, -0.5, 43.8, 422.8, -0.142, -0.086, 0.042
11, 20524, 15.024, 0.98, 1, 0.071529, 0.058114, -0.995744, -0.132371, 0.082872, -0.987730, -0.031, 0.071, -1.2, 43.9, 422.7, -0.131, -0.079, 0.039
12, 20524, 15.107, 0.98, 1, 0.034418, 0.087161, -0.995600, -0.114466, 0.080314, -0.990175, -0.040, 0.084, -2.0, 43.8, 420.7, -0.128, -0.063, 0.034
13, 20524, 15.190, 0.98, 1, 0.071749, 0.087570, -0.993571, -0.142287, 0.055109, -0.988290, -0.036, 0.072, -2.7, 43.9, 420.8, -0.135, -0.056, 0.029
14, 20524, 15.280, 0.98, 1, 0.045307, 0.059454, -0.997202, -0.147661, 0.059424, -0.987251, -0.052, 0.060, -2.7, 43.8, 421.8, -0.143, -0.052, 0.033
15, 20524, 15.357, 0.98, 1, 0.031406, 0.069776, -0.997068, -0.119633, 0.097649, -0.988004, -0.044, 0.084, -2.4, 43.6, 420.6, -0.134, -0.062, 0.032
16, 20524, 15.535, 0.98, 1, 0.091156, 0.032046, -0.995321, -0.107204, 0.079922, -0.991020, -0.008, 0.056, -2.4, 43.6, 420.1, -0.144, -0.065, 0.031
17, 20524, 15.619, 0.98, 1, 0.085056, 0.040451, -0.995555, -0.128657, 0.064856, -0.989566, -0.022, 0.053, -2.4, 43.3, 419.1, -0.137, -0.060, 0.033
18, 20524, 15.697, 0.98, 1, 0.045328, 0.074466, -0.996193, -0.137781, 0.032157, -0.989941, -0.047, 0.054, -2.6, 43.5, 421.9, -0.142, -0.057, 0.036
19, 20524, 15.784, 0.98, 1, 0.071299, 0.036273, -0.996795, -0.161716, 0.044903, -0.985815, -0.046, 0.041, -2.5, 43.4, 420.9, -0.136, -0.061, 0.037
20, 20524, 15.871, 0.98, 1, 0.057824, 0.043053, -0.997398, -0.117636, 0.086619, -0.989272, -0.030, 0.065, -2.6, 43.5, 419.5, -0.134, -0.058, 0.034
21, 20524, 15.959, 0.98, 1, 0.102187, 0.054266, -0.993284, -0.067137, 0.032823, -0.997204, 0.018, 0.044, -2.7, 43.6, 421.7, -0.144, -0.060, 0.033
22, 20524, 16.104, 0.98, 1, 0.089501, 0.085976, -0.992269, -0.097904, 0.082078, -0.991805, -0.004, 0.084, -2.9, 43.4, 419.3, -0.134, -0.053, 0.034
23, 20524, 16.185, 0.98, 1, 0.227563, 0.072728, -0.971044, -0.014802, 0.057901, -0.998213, 0.108, 0.066, -2.3, 43.5, 419.9, -0.140, -0.062, 0.033
24, 20524, 16.265, 0.98, 1, 0.199275, 0.078787, -0.976771, -0.038830, 0.103456, -0.993876, 0.081, 0.092, -2.5, 43.7, 420.7, -0.141, -0.056, 0.034
25, 20524, 16.351, 0.98, 1, 0.194359, 0.032687, -0.980386, -0.008929, 0.039100, -0.999195, 0.093, 0.036, -2.2, 43.7, 420.2, -0.137, -0.060, 0.037
26, 20524, 16.428, 0.98, 1, 0.201471, 0.059055, -0.977713, -0.061267, 0.079643, -0.994939, 0.071, 0.070, -2.2, 43.8, 422.4, -0.136, -0.056, 0.035
27, 20524, 16.504, 0.98, 1, 0.220910, 0.030888, -0.974805, -0.031872, 0.084426, -0.995920, 0.096, 0.058, -1.8, 43.5, 421.4, -0.138, -0.065, 0.034
28, 20524, 16.587, 0.98, 1, 0.186206, 0.026563, -0.982152, 0.005413, 0.092152, -0.995730, 0.097, 0.060, -1.9, 43.7, 421.7, -0.134, -0.057, 0.041
29, 20524, 16.673, 0.98, 1, 0.207919, 0.049552, -0.976890, -0.049854, 0.027314, -0.998383, 0.080, 0.039, -1.6, 43.5, 421.6, -0.137, -0.065, 0.040
30, 20524, 16.751, 0.98, 1, 0.189318, 0.055036, -0.980372, -0.047495, 0.012609, -0.998792, 0.072, 0.034, -1.5, 43.4, 421.7, -0.135, -0.059, 0.040
31, 20524, 16.829, 0.98, 1, 0.160461, 0.013206, -0.986954, -0.045790, 0.046667, -0.997860, 0.058, 0.030, -1.3, 43.6, 423.0, -0.140, -0.061, 0.042
32, 20524, 16.906, 0.98, 1, 0.193159, 0.036639, -0.980483, -0.030852, 0.061798, -0.997612, 0.082, 0.050, -1.3, 43.5, 422.3, -0.134, -0.068, 0.040
33, 20524, 17.000, 0.98, 1, 0.185041, 0.032289, -0.982200, -0.022042, 0.061378, -0.997871, 0.082, 0.047, -1.3, 43.5, 422.2, -0.139, -0.071, 0.040
34, 20524, 17.087, 0.98, 1, 0.185093, 0.076144, -0.979767, -0.081306, 0.023542, -0.996411, 0.052, 0.050, -1.1, 43.2, 420.9, -0.137, -0.069, 0.044
35, 20524, 17.171, 0.98, 1, 0.219149, 0.046873, -0.974565, -0.020614, 0.085468, -0.996128, 0.100, 0.067, -1.1, 43.3, 422.3, -0.144, -0.068, 0.043
36, 20524, 17.264, 0.98, 1, 0.200076, 0.027126, -0.979405, -0.058694, 0.018159, -0.998111, 0.071, 0.023, -1.0, 43.1, 421.7, -0.137, -0.066, 0.043
37, 20524, 17.353, 0.98, 1, 0.195771, 0.006131, -0.980630, 0.057048, 0.024809, -0.998063, 0.127, 0.016, -0.7, 43.3, 420.3, -0.140, -0.073, 0.041
38, 20524, 17.441, 0.98, 1, 0.174460, 0.030537, -0.984191, -0.079171, 0.048156, -0.995697, 0.048, 0.040, -0.5, 43.6, 423.2, -0.144, -0.075, 0.042
39, 20524, 17.529, 0.98, 1, 0.173331, 0.059390, -0.983071, -0.062117, 0.047310, -0.996947, 0.056, 0.054, -0.4, 43.7, 422.7, -0.136, -0.071, 0.041
40, 20524, 17.622, 0.98, 1, 0.095718, 0.053235, -0.993984, -0.085221, 0.099572, -0.991374, 0.005, 0.077, -0.4, 43.8, 422.8, -0.132, -0.073, 0.040
41, 20524, 17.711, 0.98, 1, 0.073245, 0.094702, -0.992807, -0.106227, 0.071873, -0.991741, -0.017, 0.084, -0.4, 44.0, 423.0, -0.134, -0.073, 0.037
42, 20524, 17.796, 0.98, 1, 0.111455, 0.038865, -0.993009, -0.127045, 0.058776, -0.990154, -0.008, 0.049, -0.4, 44.0, 423.2, -0.131, -0.074, 0.038
43, 20524, 17.884, 0.98, 1, 0.118440, 0.050718, -0.991665, -0.115969, 0.068502, -0.990888, 0.001, 0.060, -0.5, 43.7, 420.4, -0.129, -0.073, 0.037
44, 20524, 17.969, 0.98, 1, 0.081719, 0.044454, -0.995664, -0.057785, 0.070791, -0.995816, 0.012, 0.058, -0.3, 43.5, 419.9, -0.131, -0.077, 0.035
45, 20524, 18.054, 0.98, 1, 0.099220, 0.046549, -0.993976, -0.092756, 0.042007, -0.994802, 0.003, 0.044, -0.5, 44.0, 423.2, -0.135, -0.070, 0.041
46, 20524, 18.136, 0.98, 1, 0.101181, 0.080460, -0.991609, -0.074388, 0.071475, -0.994665, 0.013, 0.076, -0.5, 43.9, 421.7, -0.134, -0.075, 0.040
47, 20524, 18.220, 0.98, 1, 0.120135, 0.059508, -0.990972, -0.132647, 0.081610, -0.987798, -0.006, 0.071, -0.5, 44.1, 423.9, -0.130, -0.065, 0.039
48, 20524, 18.304, 0.98, 1, 0.083264, 0.110140, -0.990422, -0.109934, 0.083505, -0.990425, -0.013, 0.097, -0.5, 43.8, 421.2, -0.129, -0.069, 0.036
49, 20524, 18.389, 0.98, 1, 0.073441, 0.071078, -0.994763, -0.129984, 0.099468, -0.986514, -0.029, 0.086, -0.4, 44.0, 421.3, -0.129, -0.070, 0.040
50, 20524, 18.473, 0.98, 1, 0.092974, 0.105124, -0.990103, -0.107080, 0.093085, -0.989883, -0.007, 0.100, -0.3, 44.1, 422.3, -0.133, -0.069, 0.040
51, 20524, 18.629, 0.98, 1, 0.081124, 0.100071, -0.991668, -0.097727, 0.078206, -0.992136, -0.008, 0.090, -0.2, 44.1, 422.3, -0.130, -0.067, 0.040
52, 20524, 18.722, 0.98, 1, 0.137709, 0.065224, -0.988323, -0.117890, 0.068739, -0.990645, 0.010, 0.068, -0.4, 44.2, 422.2, -0.133, -0.062, 0.040
53, 20524, 18.811, 0.98, 1, 0.078947, 0.106075, -0.991219, -0.081238, 0.086860, -0.992903, -0.001, 0.097, -0.3, 44.1, 421.0, -0.130, -0.067, 0.038
54, 20524, 18.895, 0.98, 1, 0.100387, 0.078135, -0.991876, -0.131973, 0.079723, -0.988042, -0.016, 0.080, -0.4, 44.2, 421.3, -0.133, -0.067, 0.040
55, 20524, 18.986, 0.98, 1, 0.129796, 0.050543, -0.990252, -0.113616, 0.022960, -0.993259, 0.008, 0.037, -0.3, 44.3, 421.5, -0.130, -0.065, 0.038
56, 20524, 19.073, 0.98, 1, 0.143015, 0.067575, -0.987411, -0.110663, 0.023567, -0.993579, 0.016, 0.046, -0.2, 44.5, 423.0, -0.140, -0.073, 0.041
57, 20524, 19.162, 0.98, 1, 0.223352, 0.096680, -0.969931, -0.011616, 0.103536, -0.994558, 0.107, 0.102, -0.1, 44.3, 421.0, -0.129, -0.070, 0.045
58, 20524, 19.247, 0.98, 1, 0.216451, 0.079134, -0.973081, -0.033570, 0.055145, -0.997914, 0.093, 0.068, 0.1, 44.3, 421.7, -0.134, -0.071, 0.041
59, 20524, 19.337, 0.98, 1, 0.204679, 0.033769, -0.978247, -0.010597, 0.052971, -0.998540, 0.098, 0.044, -0.1, 44.5, 423.1, -0.135, -0.071, 0.046
60, 20524, 19.428, 0.98, 1, 0.207974, 0.062246, -0.976152, -0.025908, 0.027167, -0.999295, 0.092, 0.045, 0.2, 44.2, 421.3, -0.128, -0.073, 0.043
61, 20524, 19.512, 0.98, 1, 0.168478, 0.058442, -0.983971, -0.062867, 0.034602, -0.997422, 0.053, 0.047, 0.3, 44.5, 421.7, -0.128, -0.073, 0.044
62, 20524, 19.591, 0.98, 1, 0.218161, 0.080302, -0.972603, -0.037090, 0.018533, -0.999140, 0.092, 0.050, 0.1, 44.2, 419.9, -0.129, -0.073, 0.044
63, 20524, 19.680, 0.98, 1, 0.216330, 0.047218, -0.975178, -0.044553, 0.046550, -0.997922, 0.087, 0.047, -0.1, 44.2, 421.4, -0.134, -0.068, 0.045
64, 20524, 19.767, 0.98, 1, 0.163034, 0.038105, -0.985884, -0.026287, 0.051790, -0.998312, 0.069, 0.045, 0.1, 44.4, 422.8, -0.124, -0.071, 0.045
65, 20524, 19.849, 0.98, 1, 0.212481, 0.062587, -0.975159, -0.043522, 0.054959, -0.997540, 0.085, 0.060, 0.4, 44.4, 422.3, -0.132, -0.074, 0.047
66, 20524, 19.927, 0.98, 1, 0.222836, 0.064531, -0.972718, -0.035874, 0.069532, -0.996934, 0.095, 0.068, 0.5, 44.2, 420.5, -0.130, -0.083, 0.047
67, 20524, 20.005, 0.98, 1, 0.230855, 0.042732, -0.972049, -0.069921, 0.024904, -0.997242, 0.082, 0.034, 0.4, 44.4, 423.0, -0.132, -0.073, 0.048
68, 20524, 20.087, 0.98, 1, 0.193808, 0.057468, -0.979355, -0.039726, 0.006393, -0.999190, 0.078, 0.032, 0.7, 44.4, 422.2, -0.128, -0.077, 0.050
69, 20524, 20.171, 0.98, 1, 0.218861, 0.031419, -0.975250, -0.049596, 0.074680, -0.995974, 0.086, 0.054, 1.0, 44.4, 421.9, -0.128, -0.075, 0.054
70, 20524, 20.252, 0.98, 1, 0.206601, 0.069988, -0.975919, -0.048156, 0.061995, -0.996914, 0.080, 0.067, 1.3, 44.5, 422.2, -0.128, -0.080, 0.053
71, 20524, 20.336, 0.98, 1, 0.241218, 0.047993, -0.969284, -0.052408, 0.029374, -0.998194, 0.096, 0.039, 1.3, 44.4, 420.9, -0.127, -0.083, 0.052
72, 20524, 20.428, 0.98, 1, 0.210752, 0.052512, -0.976128, -0.036608, 0.044672, -0.998331, 0.088, 0.049, 1.3, 44.4, 421.7, -0.130, -0.077, 0.052
73, 20524, 20.514, 0.98, 1, 0.228363, 0.059317, -0.971767, -0.060337, 0.049225, -0.996964, 0.085, 0.055, 1.0, 44.4, 423.6, -0.133, -0.078, 0.048
74, 20524, 20.596, 0.98, 1, 0.205984, 0.025557, -0.978222, -0.040079, 0.009044, -0.999156, 0.084, 0.017, 1.2, 44.4, 421.0, -0.129, -0.080, 0.052
75, 20524, 20.680, 0.98, 1, 0.228064, 0.073156, -0.970894, -0.051336, 0.040149, -0.997874, 0.090, 0.057, 1.3, 44.7, 423.0, -0.131, -0.083, 0.053
76, 20524, 20.774, 0.98, 1, 0.228103, 0.034354, -0.973031, -0.046253, 0.068874, -0.996553, 0.092, 0.052, 1.3, 44.6, 422.1, -0.123, -0.085, 0.054
77, 20524, 20.853, 0.98, 1, 0.195357, 0.053957, -0.979247, -0.049447, 0.042112, -0.997889, 0.074, 0.049, 1.4, 44.5, 421.6, -0.125, -0.087, 0.053
