frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 23453, 29.468, 0.98, 1, -0.060955, 0.057284, -0.996495, -0.067091, 0.076371, -0.994820, -0.064, 0.067, -8.8, 31.7, 387.4, -0.040, 0.009, -0.025
2, 23453, 29.971, 0.98, 1, -0.054590, 0.063327, -0.996499, -0.058482, 0.058790, -0.996556, -0.057, 0.061, -10.1, 31.5, 385.9, -0.046, 0.010, -0.025
3, 23453, 30.069, 0.98, 1, -0.057620, 0.069754, -0.995899, -0.096378, 0.071594, -0.992767, -0.077, 0.071, -10.4, 31.5, 387.3, -0.051, 0.008, -0.026
4, 23453, 30.163, 0.98, 1, 0.050058, 0.074666, -0.995951, -0.016500, 0.077606, -0.996848, 0.017, 0.076, -9.9, 31.4, 384.4, -0.046, 0.002, -0.023
5, 23453, 30.257, 0.98, 1, 0.023161, 0.074039, -0.996986, -0.007587, 0.093494, -0.995591, 0.008, 0.084, -9.9, 31.3, 384.3, -0.050, 0.004, -0.022
6, 23453, 30.361, 0.98, 1, 0.008170, 0.077122, -0.996988, -0.009325, 0.059239, -0.998200, -0.001, 0.068, -10.1, 31.4, 385.4, -0.046, 0.007, -0.021
7, 23453, 30.462, 0.98, 1, 0.089343, 0.094455, -0.991512, 0.039462, 0.091114, -0.995058, 0.065, 0.093, -10.3, 31.4, 385.4, -0.049, 0.006, -0.019
8, 23453, 30.562, 0.98, 1, 0.023184, 0.085482, -0.996070, -0.029243, 0.076246, -0.996660, -0.003, 0.081, -10.8, 31.7, 385.5, -0.042, 0.009, -0.022
9, 23453, 30.653, 0.98, 1, 0.011388, 0.066041, -0.997752, -0.048483, 0.066758, -0.996591, -0.019, 0.066, -11.1, 31.6, 384.9, -0.045, 0.008, -0.023
10, 23453, 30.753, 0.98, 1, 0.055256, 0.087315, -0.994647, 0.021713, 0.073914, -0.997028, 0.039, 0.081, -11.3, 31.4, 385.9, -0.048, 0.009, -0.022
11, 23453, 30.855, 0.98, 1, 0.046020, 0.062687, -0.996972, 0.036489, 0.064991, -0.997218, 0.041, 0.064, -10.9, 31.6, 386.2, -0.043, 0.009, -0.020
12, 23453, 30.951, 0.98, 1, 0.082010, 0.069236, -0.994224, 0.033782, 0.053401, -0.998002, 0.058, 0.061, -11.1, 31.5, 386.1, -0.048, 0.012, -0.019
13, 23453, 31.072, 0.98, 1, 0.007079, 0.065839, -0.997805, -0.045888, 0.060279, -0.997126, -0.019, 0.063, -11.2, 31.6, 386.8, -0.042, 0.011, -0.023
14, 23453, 31.172, 0.98, 1, 0.049498, 0.081748, -0.995423, 0.005435, 0.070627, -0.997488, 0.028, 0.076, -11.4, 31.6, 385.2, -0.038, 0.010, -0.022
15, 23453, 31.269, 0.98, 1, 0.069059, 0.061813, -0.995696, 0.039300, 0.062822, -0.997251, 0.054, 0.062, -11.4, 31.5, 385.6, -0.046, 0.010, -0.021
16, 23453, 31.372, 0.98, 1, 0.063918, 0.065813, -0.995783, 0.048711, 0.065353, -0.996673, 0.056, 0.066, -11.8, 31.5, 386.6, -0.048, 0.014, -0.020
17, 23453, 31.510, 0.98, 1, 0.073729, 0.060758, -0.995426, 0.056563, 0.068503, -0.996046, 0.065, 0.065, -11.9, 31.7, 386.5, -0.040, 0.015, -0.020
