frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 24629, 17.171, 0.98, 1, 0.022632, 0.206424, -0.978201, -0.135580, 0.142424, -0.980476, -0.058, 0.176, -3.8, 25.1, 441.7, 0.084, 0.043, -0.024
2, 24629, 17.732, 0.98, 1, -0.022031, 0.218236, -0.975647, -0.137682, 0.169128, -0.975930, -0.082, 0.196, -2.6, 24.9, 442.4, 0.091, 0.040, -0.016
3, 24629, 17.836, 0.98, 1, -0.007804, 0.229092, -0.973373, -0.171304, 0.218923, -0.960587, -0.092, 0.228, -2.7, 24.9, 442.2, 0.096, 0.039, -0.017
4, 24629, 17.944, 0.98, 1, -0.016208, 0.195930, -0.980484, -0.195662, 0.202578, -0.959520, -0.109, 0.203, -3.0, 25.0, 442.5, 0.098, 0.040, -0.018
5, 24629, 18.051, 0.98, 1, -0.017025, 0.235802, -0.971652, -0.189758, 0.197499, -0.961762, -0.107, 0.220, -3.4, 25.2, 442.0, 0.100, 0.042, -0.020
6, 24629, 18.156, 0.98, 1, -0.040427, 0.222267, -0.974147, -0.172040, 0.220243, -0.960154, -0.109, 0.225, -4.0, 25.0, 442.0, 0.098, 0.044, -0.025
7, 24629, 18.258, 0.98, 1, -0.022098, 0.196542, -0.980246, -0.206163, 0.190964, -0.959703, -0.117, 0.197, -4.3, 25.0, 441.5, 0.099, 0.048, -0.027
8, 24629, 18.367, 0.98, 1, 0.052278, 0.215725, -0.975054, -0.116368, 0.238234, -0.964211, -0.033, 0.230, -4.7, 25.1, 443.0, 0.103, 0.052, -0.028
9, 24629, 18.487, 0.98, 1, 0.043013, 0.213067, -0.976090, -0.128074, 0.195840, -0.972236, -0.044, 0.207, -5.3, 25.2, 442.3, 0.099, 0.055, -0.029
10, 24629, 18.615, 0.98, 1, 0.090333, 0.191570, -0.977313, -0.091841, 0.238546, -0.966779, -0.001, 0.218, -5.5, 25.2, 441.8, 0.098, 0.057, -0.029
11, 24629, 18.738, 0.98, 1, 0.096615, 0.179714, -0.978963, -0.099615, 0.202806, -0.974139, -0.002, 0.193, -6.0, 25.3, 442.3, 0.102, 0.057, -0.031
