frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 910, 13.865, 0.98, 1, 0.174631, -0.013142, -0.984546, 0.131657, -0.055907, -0.989717, 0.154, -0.035, -90.7, 94.1, 428.7, -0.132, -0.237, -0.023
2, 910, 14.318, 0.98, 1, 0.185175, -0.077707, -0.979628, 0.272744, -0.188504, -0.943439, 0.234, -0.138, -91.6, 94.5, 427.9, -0.155, -0.225, -0.012
3, 910, 14.418, 0.98, 1, 0.302797, -0.057444, -0.951322, 0.246998, 0.060339, -0.967136, 0.279, 0.002, -93.0, 97.1, 433.4, -0.150, -0.228, 0.018
4, 910, 14.526, 0.98, 1, -0.079854, -0.032420, -0.996279, -0.109069, -0.037234, -0.993337, -0.095, -0.035, -17.0, 115.4, 442.3, -0.131, 0.061, -0.016
5, 910, 14.945, 0.82, 1, -0.034555, -0.169682, -0.984893, -0.205622, 0.135486, -0.969207, -0.122, -0.017, -14.5, 105.9, 426.3, -0.075, 0.108, -0.003
6, 910, 15.033, 0.98, 1, -0.090475, -0.027682, -0.995514, -0.120472, -0.020280, -0.992510, -0.106, -0.024, -14.1, 97.7, 424.6, -0.163, 0.069, -0.025
7, 910, 15.125, 0.98, 1, 0.031216, 0.025177, -0.999196, -0.039276, -0.004421, -0.999219, -0.004, 0.010, -12.0, 104.1, 443.1, -0.124, 0.077, -0.048
8, 910, 15.218, 0.98, 1, 0.045333, -0.004949, -0.998960, -0.002000, 0.019337, -0.999811, 0.022, 0.007, -7.6, 108.9, 444.6, -0.109, 0.049, -0.046
9, 910, 15.313, 0.98, 1, 0.077236, -0.028468, -0.996606, 0.018168, -0.020283, -0.999629, 0.048, -0.024, -3.4, 111.7, 449.4, -0.136, 0.014, -0.033
10, 910, 15.414, 0.98, 1, 0.111226, -0.040171, -0.992983, 0.019069, -0.062340, -0.997873, 0.065, -0.051, -2.3, 108.7, 448.7, -0.155, -0.032, -0.034
