frame, face_id, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 20217, 67.189, 0.98, 1, 0.122591, -0.112157, -0.986099, -0.054558, -0.045397, -0.997478, 0.034, -0.079, -3.1, 45.1, 463.5, -0.249, -0.072, 0.044
2, 20217, 68.387, 0.98, 1, 0.078939, -0.055231, -0.995348, -0.094718, -0.084473, -0.991914, -0.008, -0.070, -4.8, 47.4, 478.6, -0.257, -0.076, 0.036
3, 20217, 68.499, 0.98, 1, 0.071132, -0.054577, -0.995973, -0.102006, -0.126093, -0.986760, -0.016, -0.091, -5.5, 47.4, 478.5, -0.262, -0.076, 0.037
4, 20217, 68.601, 0.98, 1, 0.047403, -0.018154, -0.998711, -0.142101, -0.063548, -0.987810, -0.048, -0.041, -6.2, 47.3, 476.6, -0.256, -0.070, 0.045
5, 20217, 68.688, 0.98, 1, 0.098301, -0.014926, -0.995045, -0.048944, -0.029221, -0.998374, 0.025, -0.022, -7.2, 48.9, 478.7, -0.252, -0.090, 0.044
6, 20217, 68.774, 0.98, 1, 0.056079, -0.013940, -0.998329, -0.085576, -0.075803, -0.993444, -0.015, -0.045, -8.1, 50.4, 475.6, -0.244, -0.103, 0.039
7, 20217, 68.853, 0.98, 1, 0.071528, -0.080714, -0.994168, -0.107254, -0.051599, -0.992892, -0.018, -0.066, -8.4, 51.9, 475.9, -0.242, -0.101, 0.038
8, 20217, 68.932, 0.98, 1, 0.081060, -0.030975, -0.996228, -0.035631, -0.036358, -0.998703, 0.023, -0.034, -7.0, 52.8, 478.6, -0.252, -0.113, 0.041
9, 20217, 69.076, 0.98, 1, 0.049592, -0.075642, -0.995901, -0.081560, -0.088340, -0.992746, -0.016, -0.082, -3.8, 52.3, 477.0, -0.262, -0.120, 0.055
10, 20217, 69.154, 0.98, 1, 0.204830, -0.069420, -0.976333, -0.093493, -0.055496, -0.994072, 0.056, -0.063, -3.2, 52.6, 475.5, -0.254, -0.116, 0.063
11, 20217, 69.231, 0.98, 1, 0.230931, -0.077631, -0.969868, -0.034397, -0.036392, -0.998745, 0.100, -0.058, -3.1, 53.8, 475.1, -0.240, -0.126, 0.062
12, 20217, 69.309, 0.98, 1, 0.217239, -0.065390, -0.973926, -0.039195, -0.096796, -0.994532, 0.090, -0.082, -3.4, 53.9, 476.0, -0.249, -0.128, 0.058
13, 20217, 69.392, 0.98, 1, 0.188200, -0.076351, -0.979158, -0.048193, -0.081917, -0.995473, 0.071, -0.080, -3.2, 53.6, 474.3, -0.243, -0.123, 0.061
14, 20217, 69.477, 0.98, 1, 0.207547, -0.092403, -0.973851, 0.001639, -0.069378, -0.997589, 0.106, -0.082, -3.3, 53.4, 472.2, -0.247, -0.126, 0.058
15, 20217, 69.561, 0.98, 1, 0.221901, -0.064165, -0.972956, -0.062041, -0.056951, -0.996447, 0.081, -0.061, -3.2, 53.1, 469.0, -0.230, -0.129, 0.062
16, 20217, 69.643, 0.98, 1, 0.154519, -0.108851, -0.981975, -0.050884, -0.066973, -0.996456, 0.052, -0.089, -3.8, 53.8, 475.2, -0.243, -0.130, 0.060
17, 20217, 69.802, 0.98, 1, 0.191371, -0.093563, -0.977048, -0.034567, -0.097080, -0.994676, 0.079, -0.096, -3.3, 53.5, 471.9, -0.243, -0.139, 0.062
18, 20217, 69.886, 0.98, 1, 0.198704, -0.086885, -0.976201, -0.029657, -0.070540, -0.997068, 0.085, -0.080, -3.1, 53.8, 474.6, -0.243, -0.147, 0.067
19, 20217, 69.962, 0.98, 1, 0.244405, -0.133361, -0.960459, 0.010463, -0.074858, -0.997139, 0.129, -0.106, -2.6, 53.8, 474.9, -0.250, -0.154, 0.067
20, 20217, 70.039, 0.98, 1, 0.247463, -0.057147, -0.967211, -0.041401, -0.063913, -0.997096, 0.105, -0.062, -1.7, 53.8, 473.1, -0.233, -0.138, 0.054
21, 20217, 70.123, 0.98, 1, 0.219894, -0.076401, -0.972527, -0.026277, -0.061185, -0.997781, 0.098, -0.070, -1.7, 54.0, 474.1, -0.244, -0.143, 0.061
22, 20217, 70.206, 0.98, 1, 0.223194, -0.069286, -0.972308, -0.041834, -0.076182, -0.996216, 0.092, -0.074, -1.2, 54.4, 474.7, -0.237, -0.151, 0.068
23, 20217, 70.282, 0.98, 1, 0.174778, -0.048482, -0.983414, -0.058375, -0.064444, -0.996212, 0.059, -0.057, -0.6, 54.6, 475.7, -0.236, -0.140, 0.051
24, 20217, 70.362, 0.98, 1, 0.256182, -0.095021, -0.961947, 0.002846, -0.078183, -0.996935, 0.131, -0.088, -0.8, 54.3, 474.3, -0.236, -0.141, 0.060
25, 20217, 70.444, 0.98, 1, 0.145057, -0.087978, -0.985504, -0.045614, -0.074193, -0.996200, 0.050, -0.082, -0.6, 54.5, 474.1, -0.228, -0.151, 0.064
26, 20217, 70.527, 0.98, 1, 0.104905, -0.023499, -0.994205, -0.046120, -0.070363, -0.996455, 0.030, -0.047, -0.3, 55.3, 478.3, -0.238, -0.145, 0.048
27, 20217, 70.671, 0.98, 1, 0.135853, -0.024529, -0.990425, -0.028523, -0.049139, -0.998385, 0.054, -0.037, -0.6, 54.7, 473.4, -0.231, -0.146, 0.056
28, 20217, 70.750, 0.98, 1, 0.144435, -0.040946, -0.988667, -0.053857, -0.063742, -0.996512, 0.046, -0.053, -0.5, 54.8, 473.7, -0.238, -0.153, 0.063
29, 20217, 70.831, 0.98, 1, 0.103727, -0.000725, -0.994606, -0.115659, -0.060636, -0.991436, -0.006, -0.031, -0.4, 55.1, 475.5, -0.240, -0.138, 0.049
30, 20217, 70.913, 0.98, 1, 0.100596, -0.019791, -0.994730, -0.071984, -0.008504, -0.997370, 0.014, -0.014, -0.9, 55.2, 476.0, -0.242, -0.152, 0.053
31, 20217, 70.993, 0.98, 1, 0.088572, -0.003937, -0.996062, -0.081747, -0.074346, -0.993876, 0.003, -0.039, -1.0, 55.4, 477.7, -0.245, -0.138, 0.039
32, 20217, 71.071, 0.98, 1, 0.080950, -0.023101, -0.996450, -0.082955, -0.065979, -0.994367, -0.001, -0.045, -1.3, 55.0, 476.3, -0.249, -0.144, 0.048
33, 20217, 71.155, 0.98, 1, 0.042476, -0.022878, -0.998836, -0.075410, 0.028297, -0.996751, -0.017, 0.003, -1.4, 55.2, 475.5, -0.239, -0.145, 0.056
34, 20217, 71.243, 0.98, 1, 0.078300, -0.032351, -0.996405, -0.085830, -0.036386, -0.995645, -0.004, -0.034, -1.2, 55.3, 476.3, -0.246, -0.158, 0.055
